Year,Units,Type of expenditure,Area of spending,Value
2000,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,4.143592460699553
2001,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,6.732867558743425
2002,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,4.29540963889923
2003,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,3.5213216023019385
2004,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,3.669700285569404
2005,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,4.568530439489318
2006,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,2.8441270420585565
2007,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,2.9028475629942383
2008,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,3.364400117754004
2009,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,4.481171850531236
2010,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,7.998789027955925
2011,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,4.045185991647323
2012,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,2.5115767993093168
2013,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,2.573874086079709
2014,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,7.5855150719540285
2015,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,7.034249731224081
2016,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,1.827927997916162
2017,General government expenditure (GBP (£million) per capita),Environmental protection,Pollution abatement,0.8328260665473454
2000,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,3.97377309755613
2001,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,4.719773992184461
2002,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,5.828281313957387
2003,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,5.4496643845149055
2004,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,5.571272251728095
2005,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,6.720374487074866
2006,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,7.0692175033825375
2007,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,10.176274602856207
2008,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,8.508050297781763
2009,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,7.661358325101791
2010,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,9.098224173232738
2011,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,8.0587689677349
2012,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,6.81265206812652
2013,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,7.893213863977772
2014,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,7.678398929977956
2015,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,8.493318998617724
2016,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,8.819752589945482
2017,General government expenditure (GBP (£million) per capita),Environmental protection,Protection of biodiversity and landscape,8.37368754183058
2000,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,4.024718906499157
2001,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,4.9904420347470095
2002,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,6.182020931278499
2003,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,6.656974648161283
2004,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,7.639648776321759
2005,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,8.690139422941638
2006,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,8.877621980992025
2007,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,10.469820985630905
2008,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,8.15220028532701
2009,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,8.721420483291977
2010,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,12.396529609063167
2011,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,9.196477527885712
2012,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,10.470135782120712
2013,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,9.64032839513491
2014,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,9.241943873380723
2015,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,11.780064506220244
2016,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,10.190698588382602
2017,General government expenditure (GBP (£million) per capita),Environmental protection,Research and development environmental protection,12.568102458805392
2000,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,14.179916822475931
2001,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,11.418808045607564
2002,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,17.93965202128502
2003,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,24.71632400853837
2004,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,17.998211855133572
2005,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,25.937997096665807
2006,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,23.96957934867847
2007,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,27.185656671412328
2008,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,25.540325893911405
2009,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,34.387773949775536
2010,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,31.644611572749945
2011,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,28.91675923716641
2012,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,28.83604112707009
2013,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,23.882431671442628
2014,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,27.04468332796671
2015,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,25.264936261710954
2016,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,28.22625483448874
2017,General government expenditure (GBP (£million) per capita),Environmental protection,Environmental protection not elsewhere classified,26.756430174348353
2000,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,206.653183009233
2001,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,167.8141863887808
2002,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,180.82832342581662
2003,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,198.04918783232472
2004,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,194.46075422349145
2005,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,210.56621637950585
2006,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,216.0878950336281
2007,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,224.4488258960096
2008,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,241.44423345054818
2009,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,248.1027296600573
2010,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,247.3569738445973
2011,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,237.73368454817958
2012,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,232.6818931010125
2013,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,204.0692169339076
2014,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,202.62613627919652
2015,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,198.51021348487174
2016,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,189.2362459842707
2017,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",,194.65416519029318
2000,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,59.844343571742726
2001,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,53.20318711620117
2002,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,57.69324711070535
2003,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,61.924955606195525
2004,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,62.70183351570632
2005,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,66.64095488907243
2006,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,71.25113641781377
2007,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,79.94246490897615
2008,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,92.35925323257385
2009,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,98.90701166871452
2010,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,97.02116811000722
2011,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,93.29210193236636
2012,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,91.32721136488503
2013,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,67.80988274053635
2014,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,62.34054937705893
2015,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,57.08800491475964
2016,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,52.47676627350982
2017,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Recreational and sporting services,52.98288012453021
2000,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,77.86217800126006
2001,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,71.8454485476968
2002,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,73.94842476379458
2003,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,83.18703080485675
2004,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,81.45066588379727
2005,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,88.82150122572348
2006,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,88.69401960639256
2007,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,88.04760670003309
2008,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,90.24032815841149
2009,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,88.86854426161051
2010,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,90.854770990846
2011,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,85.86539327582638
2012,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,84.12212542186641
2013,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,82.50436388651869
2014,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,81.79971763307161
2015,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,81.93825833205345
2016,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,79.4387042427732
2017,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Cultural services,79.30018382742631
2000,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,49.9438747004811
2001,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,48.21274508145415
2002,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,54.492745811133354
2003,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,58.235952022831576
2004,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,56.11305345752489
2005,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,59.17571130860258
2006,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,59.858188208874
2007,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,59.80192142415658
2008,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,61.83702716429595
2009,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,63.73222187422202
2010,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,63.113950875963
2011,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,64.09091555516228
2012,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,64.61031316223217
2013,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,61.305000959353066
2014,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,67.21695192331511
2015,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,70.37321455997542
2016,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,69.61359125397385
2017,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Broadcasting and publishing services,71.03249233042905
2000,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.0
2001,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.016916752660159354
2002,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.16844743681957766
2003,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.16768198106199705
2004,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.1668045584349729
2005,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.19863175823866602
2006,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.2466006105831118
2007,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.22831385326920975
2008,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.2426250084918753
2009,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.256984765621863
2010,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.7488906062030449
2011,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.7742738812137454
2012,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.8790518797582607
2013,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,0.8891565024638994
2014,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,1.068164367275159
2015,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,1.4129933957917369
2016,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,1.5842042648606738
2017,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion",Religious and other community services,1.9079288069993727
2000,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.0509458089430273
2001,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.016916752660159354
2002,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.033689487363915534
2003,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.08384099053099853
2004,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",0.03336091168699458
2005,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",1.075922023792774
2006,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",1.8084044776094863
2007,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.1689816060574927
2008,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.490950087183253
2009,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.248616699191301
2010,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.6609517284235853
2011,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.2280125969620017
2012,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.1348402794129187
2013,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",1.8407099524691253
2014,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",1.9970029475144282
2015,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",1.9966211027491936
2016,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",2.8637538634019872
2017,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Research and development recreation, culture and religion",3.0738853001656565
2000,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",18.95184092680616
2001,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-5.481027861891632
2002,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-5.508231184000188
2003,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-5.550273573152103
2004,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-6.0049641036590256
2005,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-5.346504825924092
2006,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-5.770454287644816
2007,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-5.740462596482987
2008,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-5.725950200408257
2009,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-5.9106496093028476
2010,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-7.042758466845656
2011,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-8.5170126933512
2012,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-10.391649007142297
2013,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-10.279897107433506
2014,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-11.796249969038715
2015,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-14.298878820457688
2016,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-16.74077391424885
2017,General government expenditure (GBP (£million) per capita),"Recreation, culture and religion","Recreation, culture and religion not elsewhere classified",-13.64320519925742
2000,Central government expenditure (GBP (£million) per capita),,,126.09087713399256
2001,Central government expenditure (GBP (£million) per capita),,,133.06717642481348
2002,Central government expenditure (GBP (£million) per capita),,,152.86604891376672
2003,Central government expenditure (GBP (£million) per capita),,,171.45482563589198
2004,Central government expenditure (GBP (£million) per capita),,,160.9163575222184
2005,Central government expenditure (GBP (£million) per capita),,,319.58194635949366
2006,Central government expenditure (GBP (£million) per capita),,,211.7806043687764
2007,Central government expenditure (GBP (£million) per capita),,,234.98387941114598
2008,Central government expenditure (GBP (£million) per capita),,,237.56223331467817
2009,Central government expenditure (GBP (£million) per capita),,,259.05670529468927
2010,Central government expenditure (GBP (£million) per capita),,,264.4699208884711
2011,Central government expenditure (GBP (£million) per capita),,,244.82856154134228
2012,Central government expenditure (GBP (£million) per capita),,,250.26293069617768
2013,Central government expenditure (GBP (£million) per capita),,,223.24067906598012
2014,Central government expenditure (GBP (£million) per capita),,,248.5107621430164
2015,Central government expenditure (GBP (£million) per capita),,,245.76869912455842
2016,Central government expenditure (GBP (£million) per capita),,,241.54545219130486
2017,Central government expenditure (GBP (£million) per capita),,,243.38206122937245
2000,Central government expenditure (GBP (£million) per capita),Environmental protection,,39.02448965035891
2001,Central government expenditure (GBP (£million) per capita),Environmental protection,,42.90088474616413
2002,Central government expenditure (GBP (£million) per capita),Environmental protection,,52.11763695197733
2003,Central government expenditure (GBP (£million) per capita),Environmental protection,,59.141434720566366
2004,Central government expenditure (GBP (£million) per capita),Environmental protection,,54.86201926926259
2005,Central government expenditure (GBP (£million) per capita),Environmental protection,,204.12723688326903
2006,Central government expenditure (GBP (£million) per capita),Environmental protection,,93.33011108535506
2007,Central government expenditure (GBP (£million) per capita),Environmental protection,,111.30300346873976
2008,Central government expenditure (GBP (£million) per capita),Environmental protection,,96.58092838033251
2009,Central government expenditure (GBP (£million) per capita),Environmental protection,,117.44203788919138
2010,Central government expenditure (GBP (£million) per capita),Environmental protection,,119.36041555461723
2011,Central government expenditure (GBP (£million) per capita),Environmental protection,,103.31025786480545
2012,Central government expenditure (GBP (£million) per capita),Environmental protection,,104.85833137116396
2013,Central government expenditure (GBP (£million) per capita),Environmental protection,,98.18159695627692
2014,Central government expenditure (GBP (£million) per capita),Environmental protection,,117.23490946919969
2015,Central government expenditure (GBP (£million) per capita),Environmental protection,,110.02918138534788
2016,Central government expenditure (GBP (£million) per capita),Environmental protection,,106.30924581214079
2017,Central government expenditure (GBP (£million) per capita),Environmental protection,,106.69259027077446
2000,Central government expenditure (GBP (£million) per capita),Environmental protection,Waste management,11.140150222208636
