Year,Country,Sex,Cause of death,Value
2015,Wales,Male,Victim of earthquake,0.0
2015,Wales,Male,Victim of volcanic eruption,0.0
2015,Wales,Male,"Victim of avalanche, landslide and other earth movements",0.0
2015,Wales,Male,Victim of cataclysmic storm,0.0
2015,Wales,Male,Victim of flood,0.0
2015,Wales,Male,Exposure to other and unspecified forces of nature,0.0
2015,Wales,Female,,0.635515801
2015,Wales,Female,Exposure to excessive natural heat,0.0
2015,Wales,Female,Exposure to excessive natural cold,0.635515801
2015,Wales,Female,Exposure to sunlight,0.0
2015,Wales,Female,Victim of lightning,0.0
2015,Wales,Female,Victim of earthquake,0.0
2015,Wales,Female,Victim of volcanic eruption,0.0
2015,Wales,Female,"Victim of avalanche, landslide and other earth movements",0.0
2015,Wales,Female,Victim of cataclysmic storm,0.0
2015,Wales,Female,Victim of flood,0.0
2015,Wales,Female,Exposure to other and unspecified forces of nature,0.0
2015,,,Exposure to excessive natural heat,0.051826528
2015,,,Exposure to excessive natural cold,0.500989774
2015,,,Exposure to sunlight,0.0
2015,,,Victim of lightning,0.034551019
2015,,,Victim of earthquake,0.0
2015,,,Victim of volcanic eruption,0.0
2015,,,"Victim of avalanche, landslide and other earth movements",0.0
2015,,,Victim of cataclysmic storm,0.0
2015,,,Victim of flood,0.0
2015,,,Exposure to other and unspecified forces of nature,0.034551019
2015,,Male,,0.560325188
2015,,Male,Exposure to excessive natural heat,0.035020324
2015,,Male,Exposure to excessive natural cold,0.455264215
2015,,Male,Exposure to sunlight,0.0
2015,,Male,Victim of lightning,0.070040648
2015,,Male,Victim of earthquake,0.0
2015,,Male,Victim of volcanic eruption,0.0
2015,,Male,"Victim of avalanche, landslide and other earth movements",0.0
2015,,Male,Victim of cataclysmic storm,0.0
2015,,Male,Victim of flood,0.0
2015,,Male,Exposure to other and unspecified forces of nature,0.0
2015,,Female,,0.681882511
2015,,Female,Exposure to excessive natural heat,0.06818825099999999
2015,,Female,Exposure to excessive natural cold,0.545506009
2015,,Female,Exposure to sunlight,0.0
2015,,Female,Victim of lightning,0.0
2015,,Female,Victim of earthquake,0.0
2015,,Female,Victim of volcanic eruption,0.0
2015,,Female,"Victim of avalanche, landslide and other earth movements",0.0
2015,,Female,Victim of cataclysmic storm,0.0
2015,,Female,Victim of flood,0.0
2015,,Female,Exposure to other and unspecified forces of nature,0.06818825099999999
2015,,,,0.621918341
2016,England,,,0.8684942790000001
2016,England,,Exposure to excessive natural heat,0.036187262000000005
2016,England,,Exposure to excessive natural cold,0.633277078
2016,England,,Exposure to sunlight,0.0
2016,England,,Victim of lightning,0.0
2016,England,,Victim of earthquake,0.0
2016,England,,Victim of volcanic eruption,0.0
2016,England,,"Victim of avalanche, landslide and other earth movements",0.018093631000000002
2016,England,,Victim of cataclysmic storm,0.0
2016,England,,Victim of flood,0.018093631000000002
2016,England,,Exposure to other and unspecified forces of nature,0.162842677
2016,England,Male,,1.025606463
2016,England,Male,Exposure to excessive natural heat,0.073257605
2016,England,Male,Exposure to excessive natural cold,0.80583365
2016,England,Male,Exposure to sunlight,0.0
2016,England,Male,Victim of lightning,0.0
2016,England,Male,Victim of earthquake,0.0
2016,England,Male,Victim of volcanic eruption,0.0
2016,England,Male,"Victim of avalanche, landslide and other earth movements",0.0
2016,England,Male,Victim of cataclysmic storm,0.0
2016,England,Male,Victim of flood,0.0
2016,England,Male,Exposure to other and unspecified forces of nature,0.146515209
2016,England,Female,,0.715124786
2016,England,Female,Exposure to excessive natural heat,0.0
2016,England,Female,Exposure to excessive natural cold,0.464831111
2016,England,Female,Exposure to sunlight,0.0
2016,England,Female,Victim of lightning,0.0
2016,England,Female,Victim of earthquake,0.0
2016,England,Female,Victim of volcanic eruption,0.0
2016,England,Female,"Victim of avalanche, landslide and other earth movements",0.035756239
2016,England,Female,Victim of cataclysmic storm,0.0
2016,England,Female,Victim of flood,0.035756239
2016,England,Female,Exposure to other and unspecified forces of nature,0.178781196
2016,Wales,,,1.6060902940000001
2016,Wales,,Exposure to excessive natural heat,0.0
2016,Wales,,Exposure to excessive natural cold,1.6060902940000001
2016,Wales,,Exposure to sunlight,0.0
2016,Wales,,Victim of lightning,0.0
2016,Wales,,Victim of earthquake,0.0
2016,Wales,,Victim of volcanic eruption,0.0
2016,Wales,,"Victim of avalanche, landslide and other earth movements",0.0
2016,Wales,,Victim of cataclysmic storm,0.0
2016,Wales,,Victim of flood,0.0
2016,Wales,,Exposure to other and unspecified forces of nature,0.0
2016,Wales,Male,,2.607497337
2016,Wales,Male,Exposure to excessive natural heat,0.0
2016,Wales,Male,Exposure to excessive natural cold,2.607497337
2016,Wales,Male,Exposure to sunlight,0.0
2016,Wales,Male,Victim of lightning,0.0
2016,Wales,Male,Victim of earthquake,0.0
2016,Wales,Male,Victim of volcanic eruption,0.0
2016,Wales,Male,"Victim of avalanche, landslide and other earth movements",0.0
2016,Wales,Male,Victim of cataclysmic storm,0.0
2016,Wales,Male,Victim of flood,0.0
2016,Wales,Male,Exposure to other and unspecified forces of nature,0.0
2016,Wales,Female,,0.633267305
2016,Wales,Female,Exposure to excessive natural heat,0.0
2016,Wales,Female,Exposure to excessive natural cold,0.633267305
2016,Wales,Female,Exposure to sunlight,0.0
2016,Wales,Female,Victim of lightning,0.0
2016,Wales,Female,Victim of earthquake,0.0
2016,Wales,Female,Victim of volcanic eruption,0.0
2016,Wales,Female,"Victim of avalanche, landslide and other earth movements",0.0
2016,Wales,Female,Victim of cataclysmic storm,0.0
2016,Wales,Female,Victim of flood,0.0
2016,Wales,Female,Exposure to other and unspecified forces of nature,0.0
2016,,,Exposure to excessive natural heat,0.034257592999999996
2016,,,Exposure to excessive natural cold,0.599507886
2016,,,Exposure to sunlight,0.0
2016,,,Victim of lightning,0.0
2016,,,Victim of earthquake,0.0
2016,,,Victim of volcanic eruption,0.0
2016,,,"Victim of avalanche, landslide and other earth movements",0.017128797
2016,,,Victim of cataclysmic storm,0.0
2016,,,Victim of flood,0.017128797
2016,,,Exposure to other and unspecified forces of nature,0.15415917099999998
2016,,Male,,0.971043551
2016,,Male,Exposure to excessive natural heat,0.06936025400000001
2016,,Male,Exposure to excessive natural cold,0.76296279
2016,,Male,Exposure to sunlight,0.0
2016,,Male,Victim of lightning,0.0
2016,,Male,Victim of earthquake,0.0
2016,,Male,Victim of volcanic eruption,0.0
2016,,Male,"Victim of avalanche, landslide and other earth movements",0.0
2016,,Male,Victim of cataclysmic storm,0.0
2016,,Male,Victim of flood,0.0
2016,,Male,Exposure to other and unspecified forces of nature,0.138720507
2016,,Female,,0.6769046459999999
2016,,Female,Exposure to excessive natural heat,0.0
2016,,Female,Exposure to excessive natural cold,0.43998802
2016,,Female,Exposure to sunlight,0.0
2016,,Female,Victim of lightning,0.0
2016,,Female,Victim of earthquake,0.0
2016,,Female,Victim of volcanic eruption,0.0
2016,,Female,"Victim of avalanche, landslide and other earth movements",0.033845232
2016,,Female,Victim of cataclysmic storm,0.0
2016,,Female,Victim of flood,0.033845232
2016,,Female,Exposure to other and unspecified forces of nature,0.16922616199999999
2016,,,,0.8221822440000001
