Year,Series,Material category,Observation status,Unit multiplier,Units,Value
2018,Material footprint per unit of GDP,,Normal value,Thousandths,Kilograms per constant USD,348.01831929575997
1990,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),889.0
1991,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),880.0
1992,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),796.0
1993,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),752.0
1994,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),719.0
1995,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),655.0
1996,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),695.0
1997,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),805.0
1998,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),902.0
1999,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),914.0
2000,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),865.0
2001,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),881.0
2002,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),812.0
2003,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),765.0
2004,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),836.0
2005,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),758.0
2006,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),731.0
2007,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),688.0
2008,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),612.0
2009,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),559.0
2010,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),516.0
2011,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),515.0
2012,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),501.0
2013,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),528.0
2014,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),557.0
2015,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),585.0
2016,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),515.0
2017,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),459.0
2018,Material footprint per unit of GDP,,Normal value,Units,Tons per GDP (£m),453.0
1990,Material footprint,Biomass,Normal value,Millions,Metric tons,223.076
1991,Material footprint,Biomass,Normal value,Millions,Metric tons,223.854
1992,Material footprint,Biomass,Normal value,Millions,Metric tons,219.603
1993,Material footprint,Biomass,Normal value,Millions,Metric tons,211.72
1994,Material footprint,Biomass,Normal value,Millions,Metric tons,210.079
1995,Material footprint,Biomass,Normal value,Millions,Metric tons,200.69
1996,Material footprint,Biomass,Normal value,Millions,Metric tons,223.534
1997,Material footprint,Biomass,Normal value,Millions,Metric tons,252.335
1998,Material footprint,Biomass,Normal value,Millions,Metric tons,269.067
1999,Material footprint,Biomass,Normal value,Millions,Metric tons,273.075
2000,Material footprint,Biomass,Normal value,Millions,Metric tons,270.481
2001,Material footprint,Biomass,Normal value,Millions,Metric tons,260.938
2002,Material footprint,Biomass,Normal value,Millions,Metric tons,280.069
2003,Material footprint,Biomass,Normal value,Millions,Metric tons,276.739
2004,Material footprint,Biomass,Normal value,Millions,Metric tons,295.43
2005,Material footprint,Biomass,Normal value,Millions,Metric tons,288.585
2006,Material footprint,Biomass,Normal value,Millions,Metric tons,280.28
2007,Material footprint,Biomass,Normal value,Millions,Metric tons,272.537
2008,Material footprint,Biomass,Normal value,Millions,Metric tons,270.041
2009,Material footprint,Biomass,Normal value,Millions,Metric tons,256.694
2010,Material footprint,Biomass,Normal value,Millions,Metric tons,252.072
2011,Material footprint,Biomass,Normal value,Millions,Metric tons,261.938
2012,Material footprint,Biomass,Normal value,Millions,Metric tons,259.161
2013,Material footprint,Biomass,Normal value,Millions,Metric tons,263.203
2014,Material footprint,Biomass,Normal value,Millions,Metric tons,281.113
2015,Material footprint,Biomass,Normal value,Millions,Metric tons,281.6
2016,Material footprint,Biomass,Normal value,Millions,Metric tons,257.725
2017,Material footprint,Biomass,Normal value,Millions,Metric tons,252.425
2018,Material footprint,Biomass,Normal value,Millions,Metric tons,246.871
1990,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,40.586
1991,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,39.776
1992,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,36.859
1993,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,36.046
1994,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,37.369
1995,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,35.285
1996,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,38.388
1997,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,47.843
1998,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,59.356
1999,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,64.45
2000,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,66.102
2001,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,72.74
2002,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,68.274
2003,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,63.767
2004,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,66.314
2005,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,64.027
2006,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,64.375
2007,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,67.796
2008,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,56.26
2009,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,48.37
2010,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,49.132
2011,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,48.749
2012,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,50.674
2013,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,54.02
2014,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,54.803
2015,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,53.56
2016,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,51.249
2017,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,45.174
2018,Material footprint,Metal ores excluding precious metals,Normal value,Millions,Metric tons,49.497
1990,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,369.919
1991,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,364.13
1992,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,357.659
1993,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,356.035
1994,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,377.765
1995,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,349.157
1996,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,310.765
1997,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,418.479
1998,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,463.243
1999,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,490.312
2000,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,552.788
2001,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,595.119
2002,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,571.586
2003,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,596.932
2004,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,639.17
2005,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,615.696
2006,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,600.033
2007,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,580.562
2008,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,482.148
2009,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,392.241
2010,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,374.938
2011,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,396.114
2012,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,386.379
2013,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,422.311
2014,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,516.363
2015,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,594.097
2016,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,545.295
2017,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,497.023
2018,Material footprint,Non-metallic minerals,Normal value,Millions,Metric tons,496.62
1990,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,451.833
1991,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,435.069
1992,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,351.046
1993,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,330.087
1994,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,302.478
1995,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,281.326
1996,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,369.234
1997,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,426.81
1998,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,539.855
1999,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,565.664
2000,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,476.371
2001,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,499.106
2002,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,424.54
2003,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,372.173
2004,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,463.485
2005,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,397.19
2006,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,407.463
2007,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,381.722
2008,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,347.659
2009,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,315.314
2010,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,278.194
2011,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,258.064
2012,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,255.77
2013,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,284.535
2014,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,260.102
2015,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,266.38
2016,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,216.487
2017,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,175.888
2018,Material footprint,Fossil fuels,Normal value,Millions,Metric tons,178.226
1990,Material footprint per capita,Biomass,Normal value,Units,Metric tons,3.9
1991,Material footprint per capita,Biomass,Normal value,Units,Metric tons,3.9
1992,Material footprint per capita,Biomass,Normal value,Units,Metric tons,3.8
1993,Material footprint per capita,Biomass,Normal value,Units,Metric tons,3.7
1994,Material footprint per capita,Biomass,Normal value,Units,Metric tons,3.6
1995,Material footprint per capita,Biomass,Normal value,Units,Metric tons,3.5
1996,Material footprint per capita,Biomass,Normal value,Units,Metric tons,3.8
1997,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.3
1998,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.6
1999,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.7
2000,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.6
2001,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.4
2002,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.7
2003,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.6
2004,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.9
2005,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.8
2006,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.6
2007,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.4
2008,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.4
2009,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.1
2010,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.0
2011,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.1
2012,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.1
2013,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.1
2014,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.4
2015,Material footprint per capita,Biomass,Normal value,Units,Metric tons,4.3
2016,Material footprint per capita,Biomass,Normal value,Units,Metric tons,3.9
2017,Material footprint per capita,Biomass,Normal value,Units,Metric tons,3.8
2018,Material footprint per capita,Biomass,Normal value,Units,Metric tons,3.7
1990,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.7
1991,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.7
1992,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.6
1993,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.6
1994,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.6
1995,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.6
1996,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.7
1997,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.8
1998,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,1.0
1999,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,1.1
2000,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,1.1
2001,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,1.2
2002,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,1.2
2003,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,1.1
2004,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,1.1
2005,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,1.1
2006,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,1.1
2007,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,1.1
2008,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.9
2009,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.8
2010,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.8
2011,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.8
2012,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.8
2013,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.8
2014,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.8
2015,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.8
2016,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.8
2017,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.7
2018,Material footprint per capita,Metal ores excluding precious metals,Normal value,Units,Metric tons,0.7
1990,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,6.5
1991,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,6.3
1992,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,6.2
1993,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,6.2
1994,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,6.5
1995,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,6.0
1996,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,5.3
1997,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,7.2
1998,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,7.9
1999,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,8.4
2000,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,9.4
2001,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,10.1
2002,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,9.6
2003,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,10.0
2004,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,10.7
2005,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,10.2
2006,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,9.9
2007,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,9.5
2008,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,7.8
2009,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,6.3
2010,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,6.0
2011,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,6.3
2012,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,6.1
2013,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,6.6
2014,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,8.0
2015,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,9.1
2016,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,8.3
2017,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,7.5
2018,Material footprint per capita,Non-metallic minerals,Normal value,Units,Metric tons,7.5
1990,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,7.9
1991,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,7.6
1992,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,6.1
1993,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,5.7
1994,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,5.2
1995,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,4.8
1996,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,6.3
1997,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,7.3
1998,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,9.2
1999,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,9.6
2000,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,8.1
2001,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,8.4
2002,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,7.2
2003,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,6.2
2004,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,7.7
2005,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,6.6
2006,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,6.7
2007,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,6.2
2008,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,5.6
2009,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,5.1
2010,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,4.4
2011,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,4.1
2012,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,4.0
2013,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,4.4
2014,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,4.0
2015,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,4.1
2016,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,3.3
2017,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,2.7
2018,Material footprint per capita,Fossil fuels,Normal value,Units,Metric tons,2.7
1990,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,76.84011168875026
1991,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,83.14347729731615
1992,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,83.79476979875811
1993,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,80.96975693085683
1994,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,78.40738306830876
1995,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,74.83212183414321
1996,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,84.67450753328485
1997,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,90.99142480286895
1998,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,94.52368847302888
1999,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,93.74097464754193
2000,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,91.34651933980074
2001,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,86.73814149150888
2002,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,93.03084553384295
2003,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,91.07646562730253
2004,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,97.46262648712545
2005,Material footprint per unit of GDP,Biomass,Normal value,Thousandths,Kilograms per constant USD,94.96911757618216
