Year,Units,Country,Region,Age group,Sex,GeoCode,Value
2013,Percentage of total public sector employees,,,65 and over,Male,,0.952866952794626
2010,Percentage of total public sector employees,,,65 and over,Female,,0.989896711589911
2014,Percentage of total public sector employees,,,65 and over,Male,,1.01248910873433
2016,Percentage of total public sector employees,,,65 and over,Male,,1.01423676752435
2004,Percentage of total public sector employees,,,65 and over,,,1.01901370731853
2005,Percentage of total public sector employees,,,65 and over,,,1.03957536724542
2015,Percentage of total public sector employees,,,65 and over,Male,,1.05167220942629
2009,Percentage of total public sector employees,,,65 and over,Female,,1.06518807469408
2002,Percentage of total public sector employees,,,65 and over,,,1.07829411406204
2003,Percentage of total public sector employees,,,65 and over,,,1.09359506749872
2016,Percentage of total population,,,16 to 17,Female,,1.10361839514694
2015,Percentage of total population,,,16 to 17,Female,,1.13155830943046
2006,Percentage of total public sector employees,,,65 and over,,,1.15413187464095
2014,Percentage of total population,,,16 to 17,Female,,1.15692039748376
2011,Percentage of total public sector employees,,,65 and over,Female,,1.15735182356278
2016,Percentage of total population,,,16 to 17,Male,,1.16669109491044
2013,Percentage of total population,,,16 to 17,Female,,1.17054729681098
2012,Percentage of total population,,,16 to 17,Female,,1.17357451993979
2015,Percentage of total population,,,16 to 17,Male,,1.19221255513397
2000,Percentage of total population,,,16 to 17,Female,,1.20002584652243
2007,Percentage of total public sector employees,,,65 and over,,,1.20192375808522
2011,Percentage of total population,,,16 to 17,Female,,1.20207514733512
2014,Percentage of total population,,,16 to 17,Male,,1.21773150451898
2012,Percentage of total public sector employees,,,65 and over,Female,,1.22008542737706
2010,Percentage of total population,,,16 to 17,Female,,1.22405618047422
2001,Percentage of total population,,,16 to 17,Female,,1.22864818807417
2013,Percentage of total population,,,16 to 17,Male,,1.23955369053718
2002,Percentage of total population,,,16 to 17,Female,,1.24366475261454
2012,Percentage of total population,,,16 to 17,Male,,1.2445029850861
2003,Percentage of total population,,,16 to 17,Female,,1.25245943510386
2009,Percentage of total population,,,16 to 17,Female,,1.25548811167326
2006,Percentage of total population,,,16 to 17,Female,,1.25592937104792
2000,Percentage of total population,,,16 to 17,Male,,1.25711575395639
2011,Percentage of total population,,,16 to 17,Male,,1.26817280737841
2007,Percentage of total population,,,16 to 17,Female,,1.26956579172141
2004,Percentage of total population,,,16 to 17,Female,,1.27390385819842
2005,Percentage of total population,,,16 to 17,Female,,1.27426958273211
2008,Percentage of total population,,,16 to 17,Female,,1.27956928930185
2010,Percentage of total population,,,16 to 17,Male,,1.28509240105586
2009,Percentage of total population,,,16 to 17,Male,,1.29838851563092
2001,Percentage of total population,,,16 to 17,Male,,1.29848559917836
2003,Percentage of total population,,,16 to 17,Male,,1.30403173806072
2004,Percentage of total population,,,16 to 17,Male,,1.31093449240775
2005,Percentage of total population,,,16 to 17,Male,,1.31371952085498
2002,Percentage of total population,,,16 to 17,Male,,1.31373049110515
2006,Percentage of total population,,,16 to 17,Male,,1.31623969309583
2008,Percentage of total population,,,16 to 17,Male,,1.32879469081892
2007,Percentage of total population,,,16 to 17,Male,,1.33769467331332
2016,Percentage of total public sector employees,,,65 and over,Female,,1.4462593212443
2013,Percentage of total public sector employees,,,65 and over,Female,,1.45857525725972
2015,Percentage of total public sector employees,,,65 and over,Female,,1.47903289539567
2008,Percentage of total public sector employees,,,65 and over,,,1.49228985806973
2014,Percentage of total public sector employees,,,65 and over,Female,,1.56285306217772
2009,Percentage of total public sector employees,,,65 and over,,,1.7323856247763
2010,Percentage of total public sector employees,,,65 and over,,,1.79922100662999
2013,Percentage of total public sector employees,,,18 to 24,Male,,1.81568869607045
2012,Percentage of total public sector employees,,,18 to 24,Male,,1.8492193096363
2011,Percentage of total public sector employees,,,65 and over,,,1.98781367499841
2012,Percentage of total public sector employees,,,65 and over,,,2.04485137893934
2011,Percentage of total public sector employees,,,18 to 24,Male,,2.10676862999639
2014,Percentage of total public sector employees,,,18 to 24,Male,,2.17901150950423
2016,Percentage of total population,,,16 to 17,,,2.27030949005739
2016,Percentage of total public sector employees,,,18 to 24,Male,,2.29001599662047
2015,Percentage of total population,,,16 to 17,,,2.32377086456443
2010,Percentage of total public sector employees,,,18 to 24,Male,,2.34911179403425
2015,Percentage of total public sector employees,,,18 to 24,Male,,2.36883290414454
2014,Percentage of total population,,,16 to 17,,,2.37465190200275
2013,Percentage of total population,,,16 to 17,,,2.41010098734816
2013,Percentage of total public sector employees,,,65 and over,,,2.41144221005435
2007,Percentage of total public sector employees,,,18 to 24,Male,,2.4136074144236
2001,Percentage of total public sector employees,,,18 to 24,Male,,2.41489958969764
2012,Percentage of total population,,,16 to 17,,,2.41807750502589
2008,Percentage of total public sector employees,,,18 to 24,Male,,2.43014484199332
2005,Percentage of total public sector employees,,,18 to 24,Male,,2.43332039000649
2000,Percentage of total population,,,16 to 17,,,2.45714160047882
2006,Percentage of total public sector employees,,,18 to 24,Male,,2.46017026601221
2016,Percentage of total public sector employees,,,65 and over,,,2.46049608876866
2009,Percentage of total public sector employees,,,18 to 24,Male,,2.46938548983044
2004,Percentage of total public sector employees,,,18 to 24,Male,,2.47003190994191
2011,Percentage of total population,,,16 to 17,,,2.47024795471354
2002,Percentage of total public sector employees,,,18 to 24,Male,,2.47269750355243
2010,Percentage of total population,,,16 to 17,,,2.50914858153008
2001,Percentage of total population,,,16 to 17,,,2.52713378725254
2000,Percentage of total public sector employees,,,18 to 24,Male,,2.52801809459258
2015,Percentage of total public sector employees,,,65 and over,,,2.53070510482196
2009,Percentage of total population,,,16 to 17,,,2.55387662730419
2003,Percentage of total population,,,16 to 17,,,2.55649117316458
2002,Percentage of total population,,,16 to 17,,,2.5573952437197
2006,Percentage of total population,,,16 to 17,,,2.57216906414376
2014,Percentage of total public sector employees,,,65 and over,,,2.57534217091205
2003,Percentage of total public sector employees,,,18 to 24,Male,,2.58164566119612
2004,Percentage of total population,,,16 to 17,,,2.58483835060617
2005,Percentage of total population,,,16 to 17,,,2.58798910358709
2007,Percentage of total population,,,16 to 17,,,2.60726046503473
2008,Percentage of total population,,,16 to 17,,,2.60836398012078
2016,Percentage of total population,Northern Ireland,,,,N92000002,2.83654561946344
2015,Percentage of total population,Northern Ireland,,,,N92000002,2.84383356334908
2014,Percentage of total population,Northern Ireland,,,,N92000002,2.8492113659213
2013,Percentage of total population,Northern Ireland,,,,N92000002,2.85423341909903
2001,Percentage of total population,Northern Ireland,,,,N92000002,2.85696469961877
2000,Percentage of total population,Northern Ireland,,,,N92000002,2.85796648154363
2003,Percentage of total population,Northern Ireland,,,,N92000002,2.85885216043781
2004,Percentage of total population,Northern Ireland,,,,N92000002,2.85910190637041
2002,Percentage of total population,Northern Ireland,,,,N92000002,2.8594536199764
2005,Percentage of total population,Northern Ireland,,,,N92000002,2.85985649909135
2012,Percentage of total population,Northern Ireland,,,,N92000002,2.86262167995211
2006,Percentage of total population,Northern Ireland,,,,N92000002,2.86568642213177
2011,Percentage of total population,Northern Ireland,,,,N92000002,2.86689396066012
2007,Percentage of total population,Northern Ireland,,,,N92000002,2.87297712824272
2010,Percentage of total population,Northern Ireland,,,,N92000002,2.87579452568868
2008,Percentage of total population,Northern Ireland,,,,N92000002,2.87777976406874
2009,Percentage of total population,Northern Ireland,,,,N92000002,2.88037102697849
2011,Percentage of total public sector employees,,,18 to 24,Female,,3.32893027346892
2013,Percentage of total public sector employees,,,18 to 24,Female,,3.3582532915526
2012,Percentage of total public sector employees,,,18 to 24,Female,,3.37049484836635
2010,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.56864578463456
2011,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.60244451592151
2009,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.62758835435154
2000,Percentage of total public sector employees,,,18 to 24,Female,,3.70645139637263
2010,Percentage of total public sector employees,,,18 to 24,Female,,3.74302068025099
2008,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.74750166555629
2006,Percentage of total public sector employees,,,18 to 24,Female,,3.76444523181612
2012,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.76554779349122
2014,Percentage of total public sector employees,,,18 to 24,Female,,3.78491502239717
2013,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.79594641016832
2009,Percentage of total public sector employees,,,18 to 24,Female,,3.79833045607092
2017,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.81804895871392
2016,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.82363702890596
2016,Percentage of total public sector employees,,,18 to 24,Female,,3.82551470027012
2014,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.88016603501173
2007,Percentage of total public sector employees,,,18 to 24,Female,,3.89350713532495
2015,Percentage of total public sector employees,Northern Ireland,,,,N92000002,3.90368478657424
2008,Percentage of total public sector employees,,,18 to 24,Female,,3.93221452975154
2005,Percentage of total public sector employees,,,18 to 24,Female,,3.97418121287563
2016,Percentage of total population,England,North East,,,E12000001,4.01664305235917
2015,Percentage of total population,England,North East,,,E12000001,4.03105456833274
2015,Percentage of total public sector employees,,,18 to 24,Female,,4.03275259384159
2014,Percentage of total population,England,North East,,,E12000001,4.05393447645788
2001,Percentage of total public sector employees,,,18 to 24,Female,,4.05599093460766
2013,Percentage of total population,England,North East,,,E12000001,4.07215407240054
2012,Percentage of total population,England,North East,,,E12000001,4.0849364642007
2011,Percentage of total population,England,North East,,,E12000001,4.10276534880342
2010,Percentage of total population,England,North East,,,E12000001,4.12187766573375
2009,Percentage of total population,England,North East,,,E12000001,4.1365578161404
2004,Percentage of total public sector employees,,,18 to 24,Female,,4.14332364660415
2008,Percentage of total population,England,North East,,,E12000001,4.15586418764613
2000,Percentage of total population,,,18 to 24,Female,,4.17554475749058
2007,Percentage of total population,England,North East,,,E12000001,4.17821860489578
2003,Percentage of total public sector employees,,,18 to 24,Female,,4.18755149902477
2006,Percentage of total population,England,North East,,,E12000001,4.19643445902134
2000,Percentage of total population,,,18 to 24,Male,,4.20792423470646
2005,Percentage of total population,England,North East,,,E12000001,4.21617096215739
2001,Percentage of total population,,,18 to 24,Female,,4.21810655034079
2004,Percentage of total population,England,North East,,,E12000001,4.23767568784069
2001,Percentage of total population,,,18 to 24,Male,,4.25636377612673
2003,Percentage of total population,England,North East,,,E12000001,4.25989804727836
2002,Percentage of total population,England,North East,,,E12000001,4.27957723787096
2002,Percentage of total population,,,18 to 24,Female,,4.29230007770314
2002,Percentage of total public sector employees,,,18 to 24,Female,,4.29276054861955
2001,Percentage of total population,England,North East,,,E12000001,4.29700626339214
2000,Percentage of total population,England,North East,,,E12000001,4.3192239114636
2017,Percentage of total public sector employees,England,North East,,,E12000001,4.32955791012056
2016,Percentage of total population,,,18 to 24,Female,,4.33201264427426
2015,Percentage of total public sector employees,England,North East,,,E12000001,4.34148121123677
2002,Percentage of total population,,,18 to 24,Male,,4.34710784145525
2016,Percentage of total public sector employees,England,North East,,,E12000001,4.37248444932308
2003,Percentage of total population,,,18 to 24,Female,,4.38216511849707
2014,Percentage of total public sector employees,England,North East,,,E12000001,4.40353726764122
2015,Percentage of total population,,,18 to 24,Female,,4.41712870246696
2013,Percentage of total public sector employees,England,North East,,,E12000001,4.43146684987976
2003,Percentage of total population,,,18 to 24,Male,,4.44771707712279
2004,Percentage of total population,,,18 to 24,Female,,4.45129907801727
2014,Percentage of total population,,,18 to 24,Female,,4.46108188225934
2012,Percentage of total public sector employees,England,North East,,,E12000001,4.48117226103254
2013,Percentage of total population,,,18 to 24,Female,,4.52387085856732
2005,Percentage of total population,,,18 to 24,Female,,4.52557480908666
2011,Percentage of total public sector employees,England,North East,,,E12000001,4.53522032807976
2004,Percentage of total population,,,18 to 24,Male,,4.53687654006571
2016,Percentage of total population,,,18 to 24,Male,,4.54715230401193
2005,Percentage of total population,,,18 to 24,Male,,4.57021565922033
2006,Percentage of total population,,,18 to 24,Female,,4.58088008747816
2012,Percentage of total population,,,18 to 24,Female,,4.6006759591825
2007,Percentage of total population,,,18 to 24,Female,,4.60884969318275
2006,Percentage of total population,,,18 to 24,Male,,4.60968141041553
2015,Percentage of total population,,,18 to 24,Male,,4.61139061914788
2008,Percentage of total population,,,18 to 24,Female,,4.6304599467014
2009,Percentage of total population,,,18 to 24,Female,,4.63860818561551
2010,Percentage of total population,,,18 to 24,Female,,4.64157942987906
2011,Percentage of total population,,,18 to 24,Female,,4.64341039275488
2014,Percentage of total population,,,18 to 24,Male,,4.64790242085236
2010,Percentage of total public sector employees,England,North East,,,E12000001,4.6594982078853
2007,Percentage of total population,,,18 to 24,Male,,4.66589719430699
2009,Percentage of total population,,,18 to 24,Male,,4.66898057943203
2008,Percentage of total population,,,18 to 24,Male,,4.6705335287533
2013,Percentage of total population,,,18 to 24,Male,,4.68126571175765
2009,Percentage of total public sector employees,England,North East,,,E12000001,4.701852716799
2010,Percentage of total population,,,18 to 24,Male,,4.71051884197339
2012,Percentage of total population,,,18 to 24,Male,,4.73668876696235
2016,Percentage of total population,Wales,,,,W92000004,4.74218169513448
2011,Percentage of total population,,,18 to 24,Male,,4.74659574533644
2015,Percentage of total population,Wales,,,,W92000004,4.7597671351239
2014,Percentage of total population,Wales,,,,W92000004,4.7866741039859
2013,Percentage of total population,Wales,,,,W92000004,4.80833094690836
2012,Percentage of total population,Wales,,,,W92000004,4.8254698255381
2011,Percentage of total population,Wales,,,,W92000004,4.84119614484568
2008,Percentage of total public sector employees,England,North East,,,E12000001,4.84676882078614
2010,Percentage of total population,Wales,,,,W92000004,4.85977921797155
2009,Percentage of total population,Wales,,,,W92000004,4.88089990174506
2008,Percentage of total population,Wales,,,,W92000004,4.89434226044958
2007,Percentage of total population,Wales,,,,W92000004,4.90271420434832
2006,Percentage of total population,Wales,,,,W92000004,4.90845300826357
2005,Percentage of total population,Wales,,,,W92000004,4.91499418108033
2001,Percentage of total population,Wales,,,,W92000004,4.92316616022434
2002,Percentage of total population,Wales,,,,W92000004,4.92351161092629
2003,Percentage of total population,Wales,,,,W92000004,4.92603190970011
2004,Percentage of total population,Wales,,,,W92000004,4.93311767047819
2000,Percentage of total population,Wales,,,,W92000004,4.93643105546278
2013,Percentage of total public sector employees,,,18 to 24,,,5.17394198762306
2012,Percentage of total public sector employees,,,18 to 24,,,5.21971415800266
2011,Percentage of total public sector employees,,,18 to 24,,,5.43569890346532
2016,Percentage of total public sector employees,Wales,,,,W92000004,5.56165386022685
2015,Percentage of total public sector employees,Wales,,,,W92000004,5.58190441444728
2017,Percentage of total public sector employees,Wales,,,,W92000004,5.59006211180124
2010,Percentage of total public sector employees,Wales,,,,W92000004,5.59451457067165
2011,Percentage of total public sector employees,Wales,,,,W92000004,5.61273721453843
2009,Percentage of total public sector employees,Wales,,,,W92000004,5.63599564066635
2008,Percentage of total public sector employees,Wales,,,,W92000004,5.82944703530979
2014,Percentage of total public sector employees,Wales,,,,W92000004,5.88341454611081
2012,Percentage of total public sector employees,Wales,,,,W92000004,5.89538251831657
2013,Percentage of total public sector employees,Wales,,,,W92000004,5.94297492270697
2014,Percentage of total public sector employees,,,18 to 24,,,5.96392653190141
2010,Percentage of total public sector employees,,,18 to 24,,,6.09213247428525
2016,Percentage of total public sector employees,,,18 to 24,,,6.1155306968906
2013,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.16626588801099
2012,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.18504004089282
2010,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.20227520648278
2009,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.21205044371788
2016,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.2202707647274
2015,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.2203575337468
2006,Percentage of total public sector employees,,,18 to 24,,,6.22461549782834
2000,Percentage of total public sector employees,,,18 to 24,,,6.23446949096522
2017,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.26598465473145
2009,Percentage of total public sector employees,,,18 to 24,,,6.26771594590136
2008,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.27914723517654
2014,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.28045479155387
2007,Percentage of total public sector employees,,,18 to 24,,,6.30711454974856
2011,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.32036024445159
2008,Percentage of total public sector employees,,,18 to 24,,,6.36235937174486
2015,Percentage of total public sector employees,,,18 to 24,,,6.40158549798613
2005,Percentage of total public sector employees,,,18 to 24,,,6.40750160288212
2001,Percentage of total public sector employees,,,18 to 24,,,6.47089052430531
2007,Percentage of total population,,,25 to 34,Male,,6.53411846150647
2006,Percentage of total population,,,25 to 34,Male,,6.56236967664411
2008,Percentage of total population,,,25 to 34,Male,,6.56294313455995
2009,Percentage of total population,,,25 to 34,Male,,6.58210409729214
2000,Percentage of total population,,,65 and over,Male,,6.58489746258304
2008,Percentage of total population,,,25 to 34,Female,,6.58916929235569
2007,Percentage of total population,,,25 to 34,Female,,6.59276905269689
2009,Percentage of total population,,,25 to 34,Female,,6.60221155356866
2010,Percentage of total population,,,25 to 34,Male,,6.60799067474389
2005,Percentage of total population,,,25 to 34,Male,,6.60918139913485
2004,Percentage of total public sector employees,,,18 to 24,,,6.61335555654606
2006,Percentage of total population,,,25 to 34,Female,,6.63546213727517
2004,Percentage of total population,,,25 to 34,Male,,6.64541586436406
2001,Percentage of total population,,,65 and over,Male,,6.64561929981715
2010,Percentage of total population,,,25 to 34,Female,,6.65198882539708
2011,Percentage of total population,,,25 to 34,Male,,6.67276657104917
2005,Percentage of total population,,,25 to 34,Female,,6.68654849970394
2012,Percentage of total population,,,25 to 34,Male,,6.68931950899324
2002,Percentage of total population,,,65 and over,Male,,6.69528623416524
2011,Percentage of total population,,,25 to 34,Female,,6.7001995491991
2004,Percentage of total population,,,25 to 34,Female,,6.71202596868302
2013,Percentage of total population,,,25 to 34,Male,,6.73993123913843
2003,Percentage of total population,,,65 and over,Male,,6.74407296639104
2012,Percentage of total population,,,25 to 34,Female,,6.74448626741091
2014,Percentage of total population,,,25 to 34,Male,,6.75027283105503
2002,Percentage of total public sector employees,,,18 to 24,,,6.76545805217198
2003,Percentage of total public sector employees,,,18 to 24,,,6.7691971602209
2003,Percentage of total population,,,25 to 34,Male,,6.7697283258409
2016,Percentage of total population,,,25 to 34,Female,,6.77050381417246
2015,Percentage of total population,,,25 to 34,Male,,6.77052787286211
2015,Percentage of total population,,,25 to 34,Female,,6.78000567470138
2004,Percentage of total population,,,65 and over,Male,,6.78841583013574
2014,Percentage of total population,,,25 to 34,Female,,6.79344682841019
2013,Percentage of total population,,,25 to 34,Female,,6.79664854522816
2016,Percentage of total population,,,25 to 34,Male,,6.8152926513252
2005,Percentage of total population,,,65 and over,Male,,6.81981722030766
2003,Percentage of total population,,,25 to 34,Female,,6.83530208313805
2006,Percentage of total population,,,65 and over,Male,,6.83703358572262
2007,Percentage of total population,,,65 and over,Male,,6.88217165702515
2002,Percentage of total population,,,25 to 34,Male,,6.93643062471939
2008,Percentage of total population,,,65 and over,Male,,6.97353438738742
2002,Percentage of total population,,,25 to 34,Female,,7.00484389321459
2000,Percentage of total population,England,East Midlands,,,E12000004,7.07820432559044
2001,Percentage of total population,England,East Midlands,,,E12000004,7.08747799300242
2009,Percentage of total population,,,65 and over,Male,,7.09346856046064
2002,Percentage of total population,England,East Midlands,,,E12000004,7.11143747253147
2001,Percentage of total population,,,25 to 34,Male,,7.13007605634603
2003,Percentage of total population,England,East Midlands,,,E12000004,7.13500698613882
2007,Percentage of total public sector employees,,,25 to 34,Male,,7.13857825219914
2004,Percentage of total population,England,East Midlands,,,E12000004,7.15838189072546
2005,Percentage of total population,England,East Midlands,,,E12000004,7.16582891482329
2011,Percentage of total population,England,East Midlands,,,E12000004,7.16984688902901
2012,Percentage of total population,England,East Midlands,,,E12000004,7.17012612661825
2013,Percentage of total population,England,East Midlands,,,E12000004,7.17320659422646
2006,Percentage of total population,England,East Midlands,,,E12000004,7.1788370134631
2014,Percentage of total population,England,East Midlands,,,E12000004,7.17901884602495
2010,Percentage of total population,England,East Midlands,,,E12000004,7.18150106336167
2009,Percentage of total population,England,East Midlands,,,E12000004,7.18216847841502
2015,Percentage of total population,England,East Midlands,,,E12000004,7.18328299444598
2007,Percentage of total population,England,East Midlands,,,E12000004,7.18336667668258
2008,Percentage of total population,England,East Midlands,,,E12000004,7.18352319234096
2016,Percentage of total population,England,East Midlands,,,E12000004,7.19661393161783
2001,Percentage of total population,,,25 to 34,Female,,7.20601364680834
2010,Percentage of total population,,,65 and over,Male,,7.21305009399699
2000,Percentage of total population,,,25 to 34,Male,,7.28948011723996
2011,Percentage of total population,,,65 and over,Male,,7.32794560240005
2013,Percentage of total public sector employees,,,25 to 34,Male,,7.33275965193951
2006,Percentage of total public sector employees,,,25 to 34,Male,,7.34040617190433
2000,Percentage of total population,,,25 to 34,Female,,7.39279658099076
2008,Percentage of total public sector employees,,,25 to 34,Male,,7.44183320209504
2013,Percentage of total public sector employees,England,East of England,,,E12000006,7.48883545173479
2015,Percentage of total public sector employees,,,25 to 34,Male,,7.51888870531522
2009,Percentage of total public sector employees,England,East of England,,,E12000006,7.55098863459442
2009,Percentage of total public sector employees,,,25 to 34,Male,,7.56083935640799
2008,Percentage of total public sector employees,England,East of England,,,E12000006,7.5616255829447
2010,Percentage of total public sector employees,England,East of England,,,E12000006,7.58921614461586
2012,Percentage of total population,,,65 and over,Male,,7.59631068378745
2004,Percentage of total public sector employees,,,25 to 34,Male,,7.64162000498341
2014,Percentage of total public sector employees,,,25 to 34,Male,,7.64642236164855
2014,Percentage of total public sector employees,England,East of England,,,E12000006,7.6520483667208
2012,Percentage of total public sector employees,England,East of England,,,E12000006,7.68444368716987
2015,Percentage of total public sector employees,England,East of England,,,E12000006,7.69792046698285
2011,Percentage of total public sector employees,England,East of England,,,E12000006,7.71952396268896
2002,Percentage of total public sector employees,,,25 to 34,Male,,7.75110907305266
2016,Percentage of total public sector employees,England,East of England,,,E12000006,7.75704354189535
2016,Percentage of total public sector employees,,,25 to 34,Male,,7.76886394710829
2003,Percentage of total public sector employees,,,25 to 34,Male,,7.78605077904928
2013,Percentage of total population,,,65 and over,Male,,7.79332662295279
2010,Percentage of total public sector employees,,,25 to 34,Male,,7.79641284933642
2017,Percentage of total public sector employees,England,East of England,,,E12000006,7.81877968578735
2012,Percentage of total public sector employees,,,25 to 34,Male,,7.85414723107756
2001,Percentage of total public sector employees,,,25 to 34,Male,,7.9006008726786
2005,Percentage of total public sector employees,,,25 to 34,Male,,7.90987965283248
2011,Percentage of total public sector employees,,,25 to 34,Male,,7.95620954697528
2014,Percentage of total population,,,65 and over,Male,,7.95679169751445
2014,Percentage of total public sector employees,England,South West,,,E12000009,8.04908861216387
2015,Percentage of total population,,,65 and over,Male,,8.06677201243666
2015,Percentage of total public sector employees,England,South West,,,E12000009,8.09923385625684
