Year,Sex,Abuse perpeprator,Abuse type,Abuse category,Region,Threats or force,Age,Ethnicity,Ethnic group,Marital status,Employment status,Occupation,Highest qualification,Disability status,Hours out of home on an average weekday,Structure of household,Household income,Tenure,Accommodation type,Output area classification,Area type,Level of physical disorder,Employment deprivation index,Value
2014,Male,,,,,,,,,,,,,,,,,,,Rural residents,,,,3.811743419
2014,Male,,,,,,,,,,,,,,,,,,,Cosmopolitans,,,,3.243893768
2014,Male,,,,,,,,,,,,,,,,,,,Ethnicity central,,,,3.787398319
2014,Male,,,,,,,,,,,,,,,,,,,Multicultural metropolitans,,,,3.0137991310000003
2014,Male,,,,,,,,,,,,,,,,,,,Urbanites,,,,4.33074234
2014,Male,,,,,,,,,,,,,,,,,,,Suburbanites,,,,2.1745990180000003
2014,Male,,,,,,,,,,,,,,,,,,,Constrained city dwellers,,,,6.148380849
2014,Male,,,,,,,,,,,,,,,,,,,Hard-pressed living,,,,5.965348607999999
2014,Male,,,,,,,,,,,,,,,,,,,,Urban,,,3.976075012
2014,Male,,,,,,,,,,,,,,,,,,,,Rural,,,3.87706735
2014,Male,,,,,,,,,,,,,,,,,,,,,High,,5.730209032
2014,Male,,,,,,,,,,,,,,,,,,,,,Not high,,3.877483162
2014,Male,,,,,,,,,,,,,,,,,,,,,,20% most deprived output areas,4.76974271
2014,Male,,,,,,,,,,,,,,,,,,,,,,Other output areas,3.9971140189999996
2014,Male,,,,,,,,,,,,,,,,,,,,,,20% least deprived output areas,2.955410169
2014,Male,,,,North East,,,,,,,,,,,,,,,,,,,4.312962853
2014,Male,,,,North West,,,,,,,,,,,,,,,,,,,4.020253489
2014,Male,,,,Yorkshire and the Humber,,,,,,,,,,,,,,,,,,,4.39251269
2014,Male,,,,East Midlands,,,,,,,,,,,,,,,,,,,4.593339533
2014,Male,,,,West Midlands,,,,,,,,,,,,,,,,,,,5.358649436
2014,Male,,,,East of England,,,,,,,,,,,,,,,,,,,3.9520894330000003
2014,Male,,,,London,,,,,,,,,,,,,,,,,,,3.0591897539999997
2014,Male,,,,South East,,,,,,,,,,,,,,,,,,,2.424472899
2014,Male,,,,South West,,,,,,,,,,,,,,,,,,,5.234185451
2014,Male,,,,Wales,,,,,,,,,,,,,,,,,,,4.394878298
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,,,,,2.7561248560000005
2014,Male,Partner,Non-sexual,,,,16-19,,,,,,,,,,,,,,,,,3.7039950719999997
2014,Male,Partner,Non-sexual,,,,20-24,,,,,,,,,,,,,,,,,3.0084795069999997
2014,Male,Partner,Non-sexual,,,,25-34,,,,,,,,,,,,,,,,,2.41057566
2014,Male,Partner,Non-sexual,,,,35-44,,,,,,,,,,,,,,,,,2.467821813
2014,Male,Partner,Non-sexual,,,,45-54,,,,,,,,,,,,,,,,,2.583428133
2014,Male,Partner,Non-sexual,,,,55-59,,,,,,,,,,,,,,,,,1.443555362
2014,Male,Partner,Non-sexual,,,,,White,,,,,,,,,,,,,,,,2.8126045960000003
2014,Male,Partner,Non-sexual,,,,,White,"English, Welsh, Scottish, Northern Irish or British",,,,,,,,,,,,,,,2.956447325
2014,Male,Partner,Non-sexual,,,,,White,Irish,,,,,,,,,,,,,,,2.1489341
2014,Male,Partner,Non-sexual,,,,,White,Any other white background,,,,,,,,,,,,,,,1.1513118409999998
2014,Male,Partner,Non-sexual,,,,,Mixed or multiple ethnic groups,,,,,,,,,,,,,,,,1.871062191
2014,Male,Partner,Non-sexual,,,,,Asian or Asian British,,,,,,,,,,,,,,,,0.315006484
2014,Male,Partner,Non-sexual,,,,,Asian or Asian British,Indian,,,,,,,,,,,,,,,0.8115227309999999
2014,Male,Partner,Non-sexual,,,,,Asian or Asian British,Pakistani,,,,,,,,,,,,,,,0.0
2014,Male,Partner,Non-sexual,,,,,Asian or Asian British,Any other Asian background,,,,,,,,,,,,,,,0.0
2014,Male,Partner,Non-sexual,,,,,"Black, African, Caribbean or Black British",,,,,,,,,,,,,,,,2.914040373
2014,Male,Partner,Non-sexual,,,,,"Black, African, Caribbean or Black British",African,,,,,,,,,,,,,,,1.1956348559999999
2014,Male,Partner,Non-sexual,,,,,"Black, African, Caribbean or Black British",Caribbean,,,,,,,,,,,,,,,1.6372810919999998
2014,Male,Partner,Non-sexual,,,,,Other ethnic group,,,,,,,,,,,,,,,,0.0
2014,Male,Partner,Non-sexual,,,,,,,Married,,,,,,,,,,,,,,1.4687785709999999
2014,Male,Partner,Non-sexual,,,,,,,Cohabiting,,,,,,,,,,,,,,3.9157812000000005
2014,Male,Partner,Non-sexual,,,,,,,Single,,,,,,,,,,,,,,2.682850433
2014,Male,Partner,Non-sexual,,,,,,,Separated,,,,,,,,,,,,,,8.680296079
2014,Male,Partner,Non-sexual,,,,,,,Divorced,,,,,,,,,,,,,,6.971710466
2014,Male,Partner,Non-sexual,,,,,,,,Employed,,,,,,,,,,,,,2.4560876940000003
2014,Male,Partner,Non-sexual,,,,,,,,Unemployed,,,,,,,,,,,,,3.536683935
2014,Male,Partner,Non-sexual,,,,,,,,Inactive,,,,,,,,,,,,,2.780526015
2014,Male,Partner,Non-sexual,,,,,,,,Student,,,,,,,,,,,,,2.143340455
2014,Male,Partner,Non-sexual,,,,,,,,Looking after family or home,,,,,,,,,,,,,3.006335584
2014,Male,Partner,Non-sexual,,,,,,,,Long-term or temporarily ill,,,,,,,,,,,,,4.400712728
2014,Male,Partner,Non-sexual,,,,,,,,Retired,,,,,,,,,,,,,0.0
2014,Male,Partner,Non-sexual,,,,,,,,Other inactive,,,,,,,,,,,,,4.036536894
2014,Male,Partner,Non-sexual,,,,,,,,,Managerial and professional occupations,,,,,,,,,,,,2.085304551
2014,Male,Partner,Non-sexual,,,,,,,,,Intermediate occupations,,,,,,,,,,,,2.919882667
2014,Male,Partner,Non-sexual,,,,,,,,,Routine and manual occupations,,,,,,,,,,,,2.7170046689999996
2014,Male,Partner,Non-sexual,,,,,,,,,Never worked and long-term unemployed,,,,,,,,,,,,3.9609782460000003
2014,Male,Partner,Non-sexual,,,,,,,,,Full-time students,,,,,,,,,,,,2.388859177
2014,Male,Partner,Non-sexual,,,,,,,,,,Degree or diploma,,,,,,,,,,,2.32596053
2014,Male,Partner,Non-sexual,,,,,,,,,,"Apprenticeship, A level or AS level",,,,,,,,,,,2.680528235
2014,Male,Partner,Non-sexual,,,,,,,,,,O level or GCSE,,,,,,,,,,,2.576421124
2014,Male,Partner,Non-sexual,,,,,,,,,,Other,,,,,,,,,,,2.411243009
2014,Male,Partner,Non-sexual,,,,,,,,,,No qualifications,,,,,,,,,,,3.3380948960000003
2014,Male,Partner,Non-sexual,,,,,,,,,,,Long-standing illness or disability,,,,,,,,,,5.157166175
2014,Male,Partner,Non-sexual,,,,,,,,,,,Long-standing illness or disability: Limits activities,,,,,,,,,,5.038306355
2014,Male,Partner,Non-sexual,,,,,,,,,,,Long-standing illness or disability: Does not limit activities,,,,,,,,,,5.4013797729999995
2014,Male,Partner,Non-sexual,,,,,,,,,,,No long-standing illness or disability,,,,,,,,,,2.1526158459999998
2014,Male,Partner,Non-sexual,,,,,,,,,,,,Less than 3 hours,,,,,,,,,2.544149042
2014,Male,Partner,Non-sexual,,,,,,,,,,,,3 hours less than 7 hours,,,,,,,,,2.342481805
2014,Male,Partner,Non-sexual,,,,,,,,,,,,7 hours or longer,,,,,,,,,2.555307506
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,No children,,,,,,,,2.482467585
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,Adults and child(ren),,,,,,,,2.445997441
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,Single adult and child(ren),,,,,,,,16.97860693
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,"Less than £10,000",,,,,,,5.532996105
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,"£10,000 to less than £20,000",,,,,,,3.321320084
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,"£20,000 to less than £30,000",,,,,,,2.6168021319999997
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,"£30,000 to less than £40,000",,,,,,,2.527950351
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,"£40,000 to less than £50,000",,,,,,,2.4946028609999997
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,"£50,000 or more",,,,,,,2.029238486
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,No income stated or not enough information provided,,,,,,,2.118877585
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,Owner occupiers,,,,,,2.02525271
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,Social renters,,,,,,4.471996693
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,Private renters,,,,,,2.6824870869999997
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,Houses,,,,,2.4867768630000002
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,Detached,,,,,1.721355041
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,Semi-detached,,,,,2.658366199
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,Terraced,,,,,2.847117121
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,Flats or maisonettes,,,,,3.0689680939999997
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,Rural residents,,,,2.838356918
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,Cosmopolitans,,,,1.6173149430000002
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,Ethnicity central,,,,2.086354731
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,Multicultural metropolitans,,,,1.982462956
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,Urbanites,,,,3.100001197
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,Suburbanites,,,,1.0698645279999999
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,Constrained city dwellers,,,,4.267773493
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,Hard-pressed living,,,,3.800671575
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,,Urban,,,2.475272298
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,,Rural,,,2.8854650339999997
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,,,High,,3.637910899
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,,,Not high,,2.497900375
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,,,,20% most deprived output areas,3.1077691410000003
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,,,,Other output areas,2.536923945
2014,Male,Partner,Non-sexual,,,,,,,,,,,,,,,,,,,,20% least deprived output areas,2.089756485
2014,Male,Partner,Non-sexual,,North East,,,,,,,,,,,,,,,,,,,2.558734256
2014,Male,Partner,Non-sexual,,North West,,,,,,,,,,,,,,,,,,,2.612496871
2014,Male,Partner,Non-sexual,,Yorkshire and the Humber,,,,,,,,,,,,,,,,,,,2.564899532
2014,Male,Partner,Non-sexual,,East Midlands,,,,,,,,,,,,,,,,,,,2.827483492
2014,Male,Partner,Non-sexual,,West Midlands,,,,,,,,,,,,,,,,,,,3.157275368
2014,Male,Partner,Non-sexual,,East of England,,,,,,,,,,,,,,,,,,,2.4837580040000002
2014,Male,Partner,Non-sexual,,London,,,,,,,,,,,,,,,,,,,2.1468647919999997
2014,Male,Partner,Non-sexual,,South East,,,,,,,,,,,,,,,,,,,1.614889443
2014,Male,Partner,Non-sexual,,South West,,,,,,,,,,,,,,,,,,,4.056504965
2014,Male,Partner,Non-sexual,,Wales,,,,,,,,,,,,,,,,,,,2.3123860780000003
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,,,,,1.564948945
2014,Male,Family,Non-sexual,,,,16-19,,,,,,,,,,,,,,,,,3.229585382
2014,Male,Family,Non-sexual,,,,20-24,,,,,,,,,,,,,,,,,2.489397705
2014,Male,Family,Non-sexual,,,,25-34,,,,,,,,,,,,,,,,,0.9946748329999999
2014,Male,Family,Non-sexual,,,,35-44,,,,,,,,,,,,,,,,,1.03776429
2014,Male,Family,Non-sexual,,,,45-54,,,,,,,,,,,,,,,,,1.4883521380000002
2014,Male,Family,Non-sexual,,,,55-59,,,,,,,,,,,,,,,,,0.418639169
2014,Male,Family,Non-sexual,,,,,White,,,,,,,,,,,,,,,,1.3997268219999999
2014,Male,Family,Non-sexual,,,,,White,"English, Welsh, Scottish, Northern Irish or British",,,,,,,,,,,,,,,1.3777103000000002
2014,Male,Family,Non-sexual,,,,,White,Irish,,,,,,,,,,,,,,,6.68441161
2014,Male,Family,Non-sexual,,,,,White,Any other white background,,,,,,,,,,,,,,,0.9930719090000001
2014,Male,Family,Non-sexual,,,,,Mixed or multiple ethnic groups,,,,,,,,,,,,,,,,1.139151341
2014,Male,Family,Non-sexual,,,,,Asian or Asian British,,,,,,,,,,,,,,,,1.642939238
2014,Male,Family,Non-sexual,,,,,Asian or Asian British,Indian,,,,,,,,,,,,,,,3.037836928
2014,Male,Family,Non-sexual,,,,,Asian or Asian British,Pakistani,,,,,,,,,,,,,,,1.411855377
2014,Male,Family,Non-sexual,,,,,Asian or Asian British,Any other Asian background,,,,,,,,,,,,,,,0.0
2014,Male,Family,Non-sexual,,,,,"Black, African, Caribbean or Black British",,,,,,,,,,,,,,,,2.0401835
2014,Male,Family,Non-sexual,,,,,"Black, African, Caribbean or Black British",African,,,,,,,,,,,,,,,1.166430855
2014,Male,Family,Non-sexual,,,,,"Black, African, Caribbean or Black British",Caribbean,,,,,,,,,,,,,,,3.249997052
2014,Male,Family,Non-sexual,,,,,Other ethnic group,,,,,,,,,,,,,,,,0.0
2014,Male,Family,Non-sexual,,,,,,,Married,,,,,,,,,,,,,,0.906758862
2014,Male,Family,Non-sexual,,,,,,,Cohabiting,,,,,,,,,,,,,,0.7357334990000001
2014,Male,Family,Non-sexual,,,,,,,Single,,,,,,,,,,,,,,2.364858544
2014,Male,Family,Non-sexual,,,,,,,Separated,,,,,,,,,,,,,,0.588205388
2014,Male,Family,Non-sexual,,,,,,,Divorced,,,,,,,,,,,,,,2.470769377
2014,Male,Family,Non-sexual,,,,,,,,Employed,,,,,,,,,,,,,1.298984489
2014,Male,Family,Non-sexual,,,,,,,,Unemployed,,,,,,,,,,,,,1.355160781
2014,Male,Family,Non-sexual,,,,,,,,Inactive,,,,,,,,,,,,,2.232587084
2014,Male,Family,Non-sexual,,,,,,,,Student,,,,,,,,,,,,,2.58706758
2014,Male,Family,Non-sexual,,,,,,,,Looking after family or home,,,,,,,,,,,,,1.559880261
2014,Male,Family,Non-sexual,,,,,,,,Long-term or temporarily ill,,,,,,,,,,,,,3.23761184
2014,Male,Family,Non-sexual,,,,,,,,Retired,,,,,,,,,,,,,0.50843465
2014,Male,Family,Non-sexual,,,,,,,,Other inactive,,,,,,,,,,,,,0.0
2014,Male,Family,Non-sexual,,,,,,,,,Managerial and professional occupations,,,,,,,,,,,,1.1586648590000002
2014,Male,Family,Non-sexual,,,,,,,,,Intermediate occupations,,,,,,,,,,,,1.3801338580000002
2014,Male,Family,Non-sexual,,,,,,,,,Routine and manual occupations,,,,,,,,,,,,1.3640531530000002
2014,Male,Family,Non-sexual,,,,,,,,,Never worked and long-term unemployed,,,,,,,,,,,,2.000346162
2014,Male,Family,Non-sexual,,,,,,,,,Full-time students,,,,,,,,,,,,2.418848118
2014,Male,Family,Non-sexual,,,,,,,,,,Degree or diploma,,,,,,,,,,,1.324320451
2014,Male,Family,Non-sexual,,,,,,,,,,"Apprenticeship, A level or AS level",,,,,,,,,,,1.509657834
2014,Male,Family,Non-sexual,,,,,,,,,,O level or GCSE,,,,,,,,,,,1.643374404
2014,Male,Family,Non-sexual,,,,,,,,,,Other,,,,,,,,,,,1.2572776159999999
2014,Male,Family,Non-sexual,,,,,,,,,,No qualifications,,,,,,,,,,,1.218549139
2014,Male,Family,Non-sexual,,,,,,,,,,,Long-standing illness or disability,,,,,,,,,,4.314909723
2014,Male,Family,Non-sexual,,,,,,,,,,,Long-standing illness or disability: Limits activities,,,,,,,,,,3.718001905
2014,Male,Family,Non-sexual,,,,,,,,,,,Long-standing illness or disability: Does not limit activities,,,,,,,,,,5.553183541
2014,Male,Family,Non-sexual,,,,,,,,,,,No long-standing illness or disability,,,,,,,,,,0.9974719390000001
2014,Male,Family,Non-sexual,,,,,,,,,,,,Less than 3 hours,,,,,,,,,1.471913817
2014,Male,Family,Non-sexual,,,,,,,,,,,,3 hours less than 7 hours,,,,,,,,,1.71170867
2014,Male,Family,Non-sexual,,,,,,,,,,,,7 hours or longer,,,,,,,,,1.358888375
2014,Male,Family,Non-sexual,,,,,,,,,,,,,No children,,,,,,,,1.578532949
2014,Male,Family,Non-sexual,,,,,,,,,,,,,Adults and child(ren),,,,,,,,1.129684415
2014,Male,Family,Non-sexual,,,,,,,,,,,,,Single adult and child(ren),,,,,,,,2.5558239719999998
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,"Less than £10,000",,,,,,,2.8986747289999997
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,"£10,000 to less than £20,000",,,,,,,1.8259783530000002
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,"£20,000 to less than £30,000",,,,,,,0.873180185
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,"£30,000 to less than £40,000",,,,,,,0.9139714290000001
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,"£40,000 to less than £50,000",,,,,,,1.478992951
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,"£50,000 or more",,,,,,,1.501401478
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,No income stated or not enough information provided,,,,,,,1.3918413790000002
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,Owner occupiers,,,,,,0.970227195
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,Social renters,,,,,,2.664951952
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,Private renters,,,,,,1.646532331
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,Houses,,,,,1.3993425730000002
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,Detached,,,,,1.380049708
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,Semi-detached,,,,,1.0236044770000001
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,Terraced,,,,,1.77490557
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,Flats or maisonettes,,,,,1.562836816
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,Rural residents,,,,0.904699533
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,Cosmopolitans,,,,1.178321377
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,Ethnicity central,,,,1.5982764090000001
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,Multicultural metropolitans,,,,0.979755778
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,Urbanites,,,,1.784222075
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,Suburbanites,,,,0.86378811
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,Constrained city dwellers,,,,1.6663103330000002
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,Hard-pressed living,,,,2.21470818
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,,Urban,,,1.4734172890000001
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,,Rural,,,1.175042055
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,,,High,,1.762672285
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,,,Not high,,1.4073839780000001
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,,,,20% most deprived output areas,1.7246033330000001
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,,,,Other output areas,1.3798106559999999
2014,Male,Family,Non-sexual,,,,,,,,,,,,,,,,,,,,20% least deprived output areas,1.127022334
2014,Male,Family,Non-sexual,,North East,,,,,,,,,,,,,,,,,,,2.6217857380000003
2014,Male,Family,Non-sexual,,North West,,,,,,,,,,,,,,,,,,,1.325078701
2014,Male,Family,Non-sexual,,Yorkshire and the Humber,,,,,,,,,,,,,,,,,,,1.961010215
2014,Male,Family,Non-sexual,,East Midlands,,,,,,,,,,,,,,,,,,,1.4565118240000001
2014,Male,Family,Non-sexual,,West Midlands,,,,,,,,,,,,,,,,,,,2.036659845
2014,Male,Family,Non-sexual,,East of England,,,,,,,,,,,,,,,,,,,1.152553135
2014,Male,Family,Non-sexual,,London,,,,,,,,,,,,,,,,,,,0.70496678
2014,Male,Family,Non-sexual,,South East,,,,,,,,,,,,,,,,,,,0.940170497
2014,Male,Family,Non-sexual,,South West,,,,,,,,,,,,,,,,,,,1.8583396
2014,Male,Family,Non-sexual,,Wales,,,,,,,,,,,,,,,,,,,1.935514991
2014,Male,,Sexual,,,,,,,,,,,,,,,,,,,,,0.7000006409999999
2014,Male,,Sexual,,,,16-19,,,,,,,,,,,,,,,,,1.4379062130000002
