Year,Sex,Age,Nationality,Unit measure,Unit multiplier,Observation status,Value
2013,,25 to 29,,Percentage (%),Units,Undefined,14.0695030854173
2014,,25 to 29,,Percentage (%),Units,Undefined,14.7806147744174
2015,,25 to 29,,Percentage (%),Units,Undefined,14.5263550472401
2016,,25 to 29,,Percentage (%),Units,Undefined,11.6729797979797
2017,,25 to 29,,Percentage (%),Units,Undefined,11.6337108850067
2018,,25 to 29,,Percentage (%),Units,Undefined,11.9219260065288
2002,,30 to 39,,Percentage (%),Units,Undefined,17.9147663184738
2003,,30 to 39,,Percentage (%),Units,Undefined,17.5810473815461
2004,,30 to 39,,Percentage (%),Units,Undefined,15.6922795630113
2005,,30 to 39,,Percentage (%),Units,Undefined,16.8128322806379
2006,,30 to 39,,Percentage (%),Units,Undefined,16.0428051001821
2007,,30 to 39,,Percentage (%),Units,Undefined,15.4945362846735
2008,,30 to 39,,Percentage (%),Units,Undefined,15.5808263863718
2009,,30 to 39,,Percentage (%),Units,Undefined,15.6378032500115
2009a,,30 to 39,,Percentage (%),Units,Undefined,15.2218996267109
2010,,30 to 39,,Percentage (%),Units,Undefined,14.8514851485148
2011,,30 to 39,,Percentage (%),Units,Undefined,14.6657871591908
2012,,30 to 39,,Percentage (%),Units,Undefined,13.0305676855895
2013,,30 to 39,,Percentage (%),Units,Undefined,12.9817618719889
2014,,30 to 39,,Percentage (%),Units,Undefined,14.3056524773203
2015,,30 to 39,,Percentage (%),Units,Undefined,13.7986041874376
2016,,30 to 39,,Percentage (%),Units,Undefined,10.8896740640755
2017,,30 to 39,,Percentage (%),Units,Undefined,11.2110913725187
2018,,30 to 39,,Percentage (%),Units,Undefined,11.1615962070327
2002,,40 to 49,,Percentage (%),Units,Undefined,14.3829888902162
2003,,40 to 49,,Percentage (%),Units,Undefined,14.4951140065146
2004,,40 to 49,,Percentage (%),Units,Undefined,14.7698786724155
2005,,40 to 49,,Percentage (%),Units,Undefined,14.465124683773
2006,,40 to 49,,Percentage (%),Units,Undefined,14.2159750862722
2007,,40 to 49,,Percentage (%),Units,Undefined,13.7928305768774
2008,,40 to 49,,Percentage (%),Units,Undefined,14.2601298410566
2009,,40 to 49,,Percentage (%),Units,Undefined,14.2846789389766
2009a,,40 to 49,,Percentage (%),Units,Undefined,13.8035482475118
2010,,40 to 49,,Percentage (%),Units,Undefined,12.935427574171
2011,,40 to 49,,Percentage (%),Units,Undefined,12.693752133834
2012,,40 to 49,,Percentage (%),Units,Undefined,11.6697539031489
2013,,40 to 49,,Percentage (%),Units,Undefined,11.5804904051172
2014,,40 to 49,,Percentage (%),Units,Undefined,12.1262569088366
2015,,40 to 49,,Percentage (%),Units,Undefined,11.9823158442233
2016,,40 to 49,,Percentage (%),Units,Undefined,10.0045802525682
2017,,40 to 49,,Percentage (%),Units,Undefined,10.0885762667708
2018,,40 to 49,,Percentage (%),Units,Undefined,9.55505433668238
2002,,50 to 59,,Percentage (%),Units,Undefined,9.68910353154241
2003,,50 to 59,,Percentage (%),Units,Undefined,9.17005223447475
2004,,50 to 59,,Percentage (%),Units,Undefined,11.6246886244118
2005,,50 to 59,,Percentage (%),Units,Undefined,11.7587172308475
2006,,50 to 59,,Percentage (%),Units,Undefined,11.4130434782608
2007,,50 to 59,,Percentage (%),Units,Undefined,11.1717215797512
2008,,50 to 59,,Percentage (%),Units,Undefined,10.1620029455081
2009,,50 to 59,,Percentage (%),Units,Undefined,11.6139367240688
2009a,,50 to 59,,Percentage (%),Units,Undefined,11.2880748556639
2010,,50 to 59,,Percentage (%),Units,Undefined,10.2327299593646
2011,,50 to 59,,Percentage (%),Units,Undefined,9.73346828609986
2012,,50 to 59,,Percentage (%),Units,Undefined,8.59133126934984
2013,,50 to 59,,Percentage (%),Units,Undefined,9.2603550295858
2014,,50 to 59,,Percentage (%),Units,Undefined,9.36141304347826
2015,,50 to 59,,Percentage (%),Units,Undefined,8.49955532969127
2016,,50 to 59,,Percentage (%),Units,Undefined,6.95757575757575
2017,,50 to 59,,Percentage (%),Units,Undefined,7.39140588510042
2018,,50 to 59,,Percentage (%),Units,Undefined,7.08725456024166
2002,,60 and over,,Percentage (%),Units,Undefined,7.94176042356055
2003,,60 and over,,Percentage (%),Units,Undefined,7.41687979539642
2004,,60 and over,,Percentage (%),Units,Undefined,7.31117824773413
2005,,60 and over,,Percentage (%),Units,Undefined,7.88732394366197
2006,,60 and over,,Percentage (%),Units,Undefined,8.80245649948822
2007,,60 and over,,Percentage (%),Units,Undefined,8.04338002711251
2008,,60 and over,,Percentage (%),Units,Undefined,7.73088173840367
2009,,60 and over,,Percentage (%),Units,Undefined,6.69554942890901
2009a,,60 and over,,Percentage (%),Units,Undefined,6.33663366336633
2010,,60 and over,,Percentage (%),Units,Undefined,7.3008073008073
2011,,60 and over,,Percentage (%),Units,Undefined,6.46766169154228
2012,,60 and over,,Percentage (%),Units,Undefined,5.63207835935108
2013,,60 and over,,Percentage (%),Units,Undefined,5.61797752808988
2014,,60 and over,,Percentage (%),Units,Undefined,5.91397849462365
2015,,60 and over,,Percentage (%),Units,Undefined,5.0133852518861
2016,,60 and over,,Percentage (%),Units,Undefined,4.32735426008968
2017,,60 and over,,Percentage (%),Units,Undefined,3.94846217788861
2018,,60 and over,,Percentage (%),Units,Undefined,3.65342383709323
2002,Male,,,Percentage (%),Units,Undefined,18.081826888543
2003,Male,,,Percentage (%),Units,Undefined,17.3771393820045
2004,Male,,,Percentage (%),Units,Undefined,16.4829516248786
2005,Male,,,Percentage (%),Units,Undefined,16.5508677939617
2006,Male,,,Percentage (%),Units,Undefined,16.5467430188114
2007,Male,,,Percentage (%),Units,Undefined,15.8420696876118
2008,Male,,,Percentage (%),Units,Undefined,15.9691951861124
2009,Male,,,Percentage (%),Units,Undefined,15.9390080598297
2009a,Male,,,Percentage (%),Units,Undefined,15.7591927570684
2010,Male,,,Percentage (%),Units,Undefined,15.1334613240849
2011,Male,,,Percentage (%),Units,Undefined,14.4317579967729
2012,Male,,,Percentage (%),Units,Undefined,13.0497406164174
2013,Male,,,Percentage (%),Units,Undefined,12.9642825888559
2014,Male,,,Percentage (%),Units,Undefined,14.1002696739396
2015,Male,,,Percentage (%),Units,Undefined,13.5607432342111
2016,Male,,,Percentage (%),Units,Undefined,10.7835416871739
2017,Male,,,Percentage (%),Units,Undefined,11.076768960125
2018,Male,,,Percentage (%),Units,Undefined,11.082689628973
2002,Female,,,Percentage (%),Units,Undefined,22.7127901684114
2003,Female,,,Percentage (%),Units,Undefined,23.3297062023939
2004,Female,,,Percentage (%),Units,Undefined,21.3611859838274
2005,Female,,,Percentage (%),Units,Undefined,22.1754541426672
2006,Female,,,Percentage (%),Units,Undefined,20.2106206587497
2007,Female,,,Percentage (%),Units,Undefined,20.8031753443847
2008,Female,,,Percentage (%),Units,Undefined,19.400665926748
2009,Female,,,Percentage (%),Units,Undefined,19.5297951582867
2009a,Female,,,Percentage (%),Units,Undefined,18.8762479684234
2010,Female,,,Percentage (%),Units,Undefined,18.420435903445
2011,Female,,,Percentage (%),Units,Undefined,17.8494623655914
2012,Female,,,Percentage (%),Units,Undefined,15.3528983749696
2013,Female,,,Percentage (%),Units,Undefined,15.5982351414482
2014,Female,,,Percentage (%),Units,Undefined,17.6635276151692
2015,Female,,,Percentage (%),Units,Undefined,16.0348360655737
2016,Female,,,Percentage (%),Units,Undefined,13.5680994303469
2017,Female,,,Percentage (%),Units,Undefined,14.250062390816
2018,Female,,,Percentage (%),Units,Undefined,14.0152511175387
2002,,,British nationals,Percentage (%),Units,Undefined,17.570807493127
2003,,,British nationals,Percentage (%),Units,Undefined,16.6614267299651
2004,,,British nationals,Percentage (%),Units,Undefined,15.2068221003743
2005,,,British nationals,Percentage (%),Units,Undefined,15.2367900106593
2006,,,British nationals,Percentage (%),Units,Undefined,15.1375453446191
2007,,,British nationals,Percentage (%),Units,Undefined,14.3535939321498
2008,,,British nationals,Percentage (%),Units,Undefined,14.5835394552727
2009,,,British nationals,Percentage (%),Units,Undefined,14.5568642866167
2009a,,,British nationals,Percentage (%),Units,Undefined,14.8015458828175
2010,,,British nationals,Percentage (%),Units,Undefined,13.4800608313619
2011,,,British nationals,Percentage (%),Units,Undefined,13.1220046556209
2012,,,British nationals,Percentage (%),Units,Undefined,11.8408476473961
2013,,,British nationals,Percentage (%),Units,Undefined,11.8303107552058
2014,,,British nationals,Percentage (%),Units,Undefined,13.0096352653414
2015,,,British nationals,Percentage (%),Units,Undefined,12.3827516930322
2016,,,British nationals,Percentage (%),Units,Undefined,9.97986425037671
2017,,,British nationals,Percentage (%),Units,Undefined,10.370722308007
2018,,,British nationals,Percentage (%),Units,Undefined,10.3507457604031
2002,,,Foreign nationals,Percentage (%),Units,Undefined,18.4162778641783
2003,,,Foreign nationals,Percentage (%),Units,Undefined,18.8734290843806
2004,,,Foreign nationals,Percentage (%),Units,Undefined,20.7895325430552
2005,,,Foreign nationals,Percentage (%),Units,Undefined,23.5312402859807
2006,,,Foreign nationals,Percentage (%),Units,Undefined,22.0056990532218
2007,,,Foreign nationals,Percentage (%),Units,Undefined,22.2212205895609
2008,,,Foreign nationals,Percentage (%),Units,Undefined,20.9427726561141
2009,,,Foreign nationals,Percentage (%),Units,Undefined,21.0132158590308
2009a,,,Foreign nationals,Percentage (%),Units,Undefined,20.4848696258829
2010,,,Foreign nationals,Percentage (%),Units,Undefined,22.442748091603
2011,,,Foreign nationals,Percentage (%),Units,Undefined,21.9129789405325
2012,,,Foreign nationals,Percentage (%),Units,Undefined,19.0866402725347
2013,,,Foreign nationals,Percentage (%),Units,Undefined,19.0153903207862
2014,,,Foreign nationals,Percentage (%),Units,Undefined,20.7956433450249
2015,,,Foreign nationals,Percentage (%),Units,Undefined,21.2233637747336
2016,,,Foreign nationals,Percentage (%),Units,Undefined,17.2783338388433
2017,,,Foreign nationals,Percentage (%),Units,Undefined,16.7384173841738
2018,,,Foreign nationals,Percentage (%),Units,Undefined,17.1630266931392
2002,,,Nationality Not Recorded,Percentage (%),Units,Undefined,71.0330138445154
2003,,,Nationality Not Recorded,Percentage (%),Units,Undefined,70.1413427561837
2004,,,Nationality Not Recorded,Percentage (%),Units,Undefined,72.407883461868
2005,,,Nationality Not Recorded,Percentage (%),Units,Undefined,67.433831990794
2006,,,Nationality Not Recorded,Percentage (%),Units,Undefined,69.7033898305084
2007,,,Nationality Not Recorded,Percentage (%),Units,Undefined,74.4851258581235
2008,,,Nationality Not Recorded,Percentage (%),Units,Undefined,75.3699788583509
2009,,,Nationality Not Recorded,Percentage (%),Units,Undefined,80.3203661327231
2009a,,,Nationality Not Recorded,Percentage (%),Units,Undefined,42.2027290448343
2010,,,Nationality Not Recorded,Percentage (%),Units,Undefined,32.6902841108383
2011,,,Nationality Not Recorded,Percentage (%),Units,Undefined,33.1629392971246
2012,,,Nationality Not Recorded,Percentage (%),Units,Undefined,29.7075423293996
2013,,,Nationality Not Recorded,Percentage (%),Units,Undefined,43.4435575826681
2014,,,Nationality Not Recorded,Percentage (%),Units,Undefined,46.8934911242603
2015,,,Nationality Not Recorded,Percentage (%),Units,Undefined,47.5
2016,,,Nationality Not Recorded,Percentage (%),Units,Undefined,37.6984126984126
2017,,,Nationality Not Recorded,Percentage (%),Units,Undefined,43.75
2018,,,Nationality Not Recorded,Percentage (%),Units,Undefined,44.5205479452054
2019,,,,Percentage (%),Units,Undefined,11.056704147019708
2019,,15 to 17,,Percentage (%),Units,Undefined,29.725085910652922
2019,,18 to 20,,Percentage (%),Units,Undefined,23.113658070678127
2019,,21 to 24,,Percentage (%),Units,Undefined,13.628052059804238
2019,,25 to 29,,Percentage (%),Units,Undefined,11.941727652007387
2019,,30 to 39,,Percentage (%),Units,Undefined,11.023499708681298
2019,,40 to 49,,Percentage (%),Units,Undefined,9.645293315143247
2019,,50 to 59,,Percentage (%),Units,Undefined,6.877562975981253
2019,,60 and over,,Percentage (%),Units,Undefined,2.9909484454939
2019,Male,,,Percentage (%),Units,Undefined,10.88548264504687
2019,Female,,,Percentage (%),Units,Undefined,14.64190981432361
