Year,Flow of offical development assistance (ODA),Aid broad category description (DAC 5 code),Aid description (CRS code),Value
2010,Multilateral,Agriculture (311),Livestock/veterinary services (31195),3425.015122448241
2010,Multilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),437.159029900485
2010,Multilateral,Agriculture (311),,152006.2268083811
2010,Multilateral,Other multisector (430),Rural development (43040),52681.64051340552
2010,Multilateral,Other multisector (430),,52681.64051340552
2010,Multilateral,,,204687.8673217866
2010,,Agriculture (311),Agrarian reform (31164),40.99747174588153
2010,,Agriculture (311),Agricultural alternative development (31165),2736.824838037221
2010,,Agriculture (311),Agricultural co-operatives (31194),2538.768806630302
2010,,Agriculture (311),Agricultural development (31120),51285.24475158883
2010,,Agriculture (311),Agricultural education/training (31181),1226.327945218461
2010,,Agriculture (311),Agricultural extension (31166),5327.100882999834
2010,,Agriculture (311),Agricultural financial services (31193),7917.746422712187
2010,,Agriculture (311),Agricultural inputs (31150),3161.327350722237
2010,,Agriculture (311),Agricultural land resources (31130),15207.60063667162
2010,,Agriculture (311),Agricultural policy and administrative management (31110),66527.27070451049
2010,,Agriculture (311),Agricultural research (31182),21341.9429027665
2010,,Agriculture (311),Agricultural services (31191),3191.165320617174
2010,,Agriculture (311),Agricultural water resources (31140),16647.671228248233
2010,,Agriculture (311),Food crop production (31161),8802.31005796869
2010,,Agriculture (311),Industrial crops/export crops (31162),8332.638969863448
2010,,Agriculture (311),Livestock (31163),3857.264226731289
2010,,Agriculture (311),Livestock/veterinary services (31195),3425.015122448241
2010,,Agriculture (311),Plant and post-harvest protection and pest control (31192),437.159029900485
2010,,Agriculture (311),,222004.37666938122
2010,,Other multisector (430),Rural development (43040),148652.7610734055
2010,,Other multisector (430),,148652.7610734055
2010,,,,370657.1377427867
2011,Bilateral,Agriculture (311),Agrarian reform (31164),0.0
2011,Bilateral,Agriculture (311),Agricultural alternative development (31165),0.0
2011,Bilateral,Agriculture (311),Agricultural co-operatives (31194),0.0
2011,Bilateral,Agriculture (311),Agricultural development (31120),41835.23508
2011,Bilateral,Agriculture (311),Agricultural education/training (31181),0.0
2011,Bilateral,Agriculture (311),Agricultural extension (31166),0.0
2011,Bilateral,Agriculture (311),Agricultural financial services (31193),0.0
2011,Bilateral,Agriculture (311),Agricultural inputs (31150),10520.0
2011,Bilateral,Agriculture (311),Agricultural land resources (31130),8130.810046
2011,Bilateral,Agriculture (311),Agricultural policy and administrative management (31110),8714.265879999999
2011,Bilateral,Agriculture (311),Agricultural research (31182),26389.934187
2011,Bilateral,Agriculture (311),Agricultural services (31191),3215.9045100000003
2011,Bilateral,Agriculture (311),Agricultural water resources (31140),0.0
2011,Bilateral,Agriculture (311),Food crop production (31161),0.0
2011,Bilateral,Agriculture (311),Industrial crops/export crops (31162),0.0
2011,Bilateral,Agriculture (311),Livestock (31163),819.74284
2011,Bilateral,Agriculture (311),Livestock/veterinary services (31195),0.0
2011,Bilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),0.0
2011,Bilateral,Agriculture (311),,99625.892543
2011,Bilateral,Other multisector (430),Rural development (43040),109390.59584000001
2011,Bilateral,Other multisector (430),,109390.59584000001
2011,Bilateral,,,209016.488383
2011,Multilateral,Agriculture (311),Agrarian reform (31164),36.97478037929613
2011,Multilateral,Agriculture (311),Agricultural alternative development (31165),675.9475857709285
2011,Multilateral,Agriculture (311),Agricultural co-operatives (31194),2622.83340112513
2011,Multilateral,Agriculture (311),Agricultural development (31120),26736.112118059482
2011,Multilateral,Agriculture (311),Agricultural education/training (31181),1020.6272195079599
2011,Multilateral,Agriculture (311),Agricultural extension (31166),3970.8435752295118
2011,Multilateral,Agriculture (311),Agricultural financial services (31193),3361.59108505943
2011,Multilateral,Agriculture (311),Agricultural inputs (31150),3277.8552377195256
2011,Multilateral,Agriculture (311),Agricultural land resources (31130),10974.69559403721
2011,Multilateral,Agriculture (311),Agricultural policy and administrative management (31110),40716.30355591279
2011,Multilateral,Agriculture (311),Agricultural research (31182),11803.72152267138
2011,Multilateral,Agriculture (311),Agricultural services (31191),5265.595117755584
2011,Multilateral,Agriculture (311),Agricultural water resources (31140),19097.086940445148
2011,Multilateral,Agriculture (311),Food crop production (31161),8653.919711266124
2011,Multilateral,Agriculture (311),Industrial crops/export crops (31162),4798.802238612579
2011,Multilateral,Agriculture (311),Livestock (31163),2733.085885398686
2011,Multilateral,Agriculture (311),Livestock/veterinary services (31195),3617.438469115565
2011,Multilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),237.4512664520152
2011,Multilateral,Agriculture (311),,149600.8853045183
2011,Multilateral,Other multisector (430),Rural development (43040),73875.31827223553
2011,Multilateral,Other multisector (430),,73875.31827223553
2011,Multilateral,,,223476.2035767538
2011,,Agriculture (311),Agrarian reform (31164),36.97478037929613
2011,,Agriculture (311),Agricultural alternative development (31165),675.9475857709285
2011,,Agriculture (311),Agricultural co-operatives (31194),2622.83340112513
2011,,Agriculture (311),Agricultural development (31120),68571.34719805948
2011,,Agriculture (311),Agricultural education/training (31181),1020.6272195079599
2011,,Agriculture (311),Agricultural extension (31166),3970.8435752295118
2011,,Agriculture (311),Agricultural financial services (31193),3361.59108505943
2011,,Agriculture (311),Agricultural inputs (31150),13797.855237719528
2011,,Agriculture (311),Agricultural land resources (31130),19105.50564003721
2011,,Agriculture (311),Agricultural policy and administrative management (31110),49430.56943591278
2011,,Agriculture (311),Agricultural research (31182),38193.655709671366
2011,,Agriculture (311),Agricultural services (31191),8481.499627755586
2011,,Agriculture (311),Agricultural water resources (31140),19097.086940445148
2011,,Agriculture (311),Food crop production (31161),8653.919711266124
2011,,Agriculture (311),Industrial crops/export crops (31162),4798.802238612579
2011,,Agriculture (311),Livestock (31163),3552.8287253986855
2011,,Agriculture (311),Livestock/veterinary services (31195),3617.438469115565
2011,,Agriculture (311),Plant and post-harvest protection and pest control (31192),237.4512664520152
2011,,Agriculture (311),,249226.77784751827
2011,,Other multisector (430),Rural development (43040),183265.9141122355
2011,,Other multisector (430),,183265.9141122355
2011,,,,432492.6919597539
2012,Bilateral,Agriculture (311),Agrarian reform (31164),0.0
2012,Bilateral,Agriculture (311),Agricultural alternative development (31165),0.0
2012,Bilateral,Agriculture (311),Agricultural co-operatives (31194),0.0
2012,Bilateral,Agriculture (311),Agricultural development (31120),25809.48371000001
2012,Bilateral,Agriculture (311),Agricultural education/training (31181),0.0
2012,Bilateral,Agriculture (311),Agricultural extension (31166),0.0
2012,Bilateral,Agriculture (311),Agricultural financial services (31193),0.0
2012,Bilateral,Agriculture (311),Agricultural inputs (31150),5000.0
2012,Bilateral,Agriculture (311),Agricultural land resources (31130),3189.873344
2012,Bilateral,Agriculture (311),Agricultural policy and administrative management (31110),45021.197643
2012,Bilateral,Agriculture (311),Agricultural research (31182),37609.96323
2012,Bilateral,Agriculture (311),Agricultural services (31191),32781.15189
2012,Bilateral,Agriculture (311),Agricultural water resources (31140),0.0
2012,Bilateral,Agriculture (311),Food crop production (31161),0.0
2012,Bilateral,Agriculture (311),Industrial crops/export crops (31162),0.0
2012,Bilateral,Agriculture (311),Livestock (31163),202.104198
2012,Bilateral,Agriculture (311),Livestock/veterinary services (31195),0.0
2012,Bilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),0.0
2012,Bilateral,Agriculture (311),,149613.774015
2012,Bilateral,Other multisector (430),Rural development (43040),93279.52494
2012,Bilateral,Other multisector (430),,93279.52494
2012,Bilateral,,,242893.298955
2012,Multilateral,Agriculture (311),Agrarian reform (31164),81.37132826239119
2012,Multilateral,Agriculture (311),Agricultural alternative development (31165),469.96682409388285
2012,Multilateral,Agriculture (311),Agricultural co-operatives (31194),2345.8524318828627
2012,Multilateral,Agriculture (311),Agricultural development (31120),13077.16241179697
2012,Multilateral,Agriculture (311),Agricultural education/training (31181),391.36655647612815
2012,Multilateral,Agriculture (311),Agricultural extension (31166),1426.7572012991682
2012,Multilateral,Agriculture (311),Agricultural financial services (31193),3909.030264162462
2012,Multilateral,Agriculture (311),Agricultural inputs (31150),2478.029206230155
2012,Multilateral,Agriculture (311),Agricultural land resources (31130),8469.304743363156
2012,Multilateral,Agriculture (311),Agricultural policy and administrative management (31110),21994.428857830382
2012,Multilateral,Agriculture (311),Agricultural research (31182),7442.151890311319
2012,Multilateral,Agriculture (311),Agricultural services (31191),2380.1299782810042
2012,Multilateral,Agriculture (311),Agricultural water resources (31140),17861.911123782567
2012,Multilateral,Agriculture (311),Food crop production (31161),6052.55183656057
2012,Multilateral,Agriculture (311),Industrial crops/export crops (31162),4728.444280425635
2012,Multilateral,Agriculture (311),Livestock (31163),4001.165533748609
2012,Multilateral,Agriculture (311),Livestock/veterinary services (31195),2019.2289237164398
2012,Multilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),322.6396693256519
2012,Multilateral,Agriculture (311),,99451.49306154935
2012,Multilateral,Other multisector (430),Rural development (43040),48834.260748123634
2012,Multilateral,Other multisector (430),,48834.260748123634
2012,Multilateral,,,148285.753809673
2012,,Agriculture (311),Agrarian reform (31164),81.37132826239119
2012,,Agriculture (311),Agricultural alternative development (31165),469.96682409388285
2012,,Agriculture (311),Agricultural co-operatives (31194),2345.8524318828627
2012,,Agriculture (311),Agricultural development (31120),38886.646121796985
2012,,Agriculture (311),Agricultural education/training (31181),391.36655647612815
2012,,Agriculture (311),Agricultural extension (31166),1426.7572012991682
2012,,Agriculture (311),Agricultural financial services (31193),3909.030264162462
2012,,Agriculture (311),Agricultural inputs (31150),7478.029206230154
2012,,Agriculture (311),Agricultural land resources (31130),11659.178087363149
2012,,Agriculture (311),Agricultural policy and administrative management (31110),67015.62650083037
2012,,Agriculture (311),Agricultural research (31182),45052.11512031132
2012,,Agriculture (311),Agricultural services (31191),35161.281868281
2012,,Agriculture (311),Agricultural water resources (31140),17861.911123782567
2012,,Agriculture (311),Food crop production (31161),6052.55183656057
2012,,Agriculture (311),Industrial crops/export crops (31162),4728.444280425635
2012,,Agriculture (311),Livestock (31163),4203.269731748609
2012,,Agriculture (311),Livestock/veterinary services (31195),2019.2289237164398
2012,,Agriculture (311),Plant and post-harvest protection and pest control (31192),322.6396693256519
2012,,Agriculture (311),,249065.2670765494
2012,,Other multisector (430),Rural development (43040),142113.7856881236
2012,,Other multisector (430),,142113.7856881236
2012,,,,391179.05276467296
2013,Bilateral,Agriculture (311),Agrarian reform (31164),0.0
2013,Bilateral,Agriculture (311),Agricultural alternative development (31165),0.0
2013,Bilateral,Agriculture (311),Agricultural co-operatives (31194),0.0
2013,Bilateral,Agriculture (311),Agricultural development (31120),59679.77183999999
2013,Bilateral,Agriculture (311),Agricultural education/training (31181),0.0
2013,Bilateral,Agriculture (311),Agricultural extension (31166),0.0
2013,Bilateral,Agriculture (311),Agricultural financial services (31193),4000.0
2013,Bilateral,Agriculture (311),Agricultural inputs (31150),0.0
2013,Bilateral,Agriculture (311),Agricultural land resources (31130),1168.6774599999999
2013,Bilateral,Agriculture (311),Agricultural policy and administrative management (31110),13289.75592
2013,Bilateral,Agriculture (311),Agricultural research (31182),43417.51622
2013,Bilateral,Agriculture (311),Agricultural services (31191),18062.64873
2013,Bilateral,Agriculture (311),Agricultural water resources (31140),0.0
2013,Bilateral,Agriculture (311),Food crop production (31161),0.0
2013,Bilateral,Agriculture (311),Industrial crops/export crops (31162),0.0
2013,Bilateral,Agriculture (311),Livestock (31163),335.06744
2013,Bilateral,Agriculture (311),Livestock/veterinary services (31195),0.0
2013,Bilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),0.0
2013,Bilateral,Agriculture (311),,139953.43761
2013,Bilateral,Other multisector (430),Rural development (43040),119321.01252999999
2013,Bilateral,Other multisector (430),,119321.01252999999
2013,Bilateral,,,259274.45014
2013,Multilateral,Agriculture (311),Agrarian reform (31164),287.546044205155
2013,Multilateral,Agriculture (311),Agricultural alternative development (31165),268.86679694454534
2013,Multilateral,Agriculture (311),Agricultural co-operatives (31194),3468.953896470929
2013,Multilateral,Agriculture (311),Agricultural development (31120),32481.12159744913
2013,Multilateral,Agriculture (311),Agricultural education/training (31181),1296.30703321652
2013,Multilateral,Agriculture (311),Agricultural extension (31166),3210.59133497511
2013,Multilateral,Agriculture (311),Agricultural financial services (31193),4602.283456981426
2013,Multilateral,Agriculture (311),Agricultural inputs (31150),3272.119027426465
2013,Multilateral,Agriculture (311),Agricultural land resources (31130),9395.799377101375
2013,Multilateral,Agriculture (311),Agricultural policy and administrative management (31110),31551.05209745328
2013,Multilateral,Agriculture (311),Agricultural research (31182),14057.18056278916
2013,Multilateral,Agriculture (311),Agricultural services (31191),6938.865188334845
2013,Multilateral,Agriculture (311),Agricultural water resources (31140),29560.436489623637
2013,Multilateral,Agriculture (311),Food crop production (31161),9357.342263210356
2013,Multilateral,Agriculture (311),Industrial crops/export crops (31162),9151.84529376144
2013,Multilateral,Agriculture (311),Livestock (31163),7232.649955117161
2013,Multilateral,Agriculture (311),Livestock/veterinary services (31195),3653.764805621557
2013,Multilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),896.9121080783037
2013,Multilateral,Agriculture (311),,170683.63732876038
2013,Multilateral,Other multisector (430),Rural development (43040),73524.4115854158
2013,Multilateral,Other multisector (430),,73524.4115854158
2013,Multilateral,,,244208.0489141762
2013,,Agriculture (311),Agrarian reform (31164),287.546044205155
2013,,Agriculture (311),Agricultural alternative development (31165),268.86679694454534
2013,,Agriculture (311),Agricultural co-operatives (31194),3468.953896470929
2013,,Agriculture (311),Agricultural development (31120),92160.89343744912
2013,,Agriculture (311),Agricultural education/training (31181),1296.30703321652
2013,,Agriculture (311),Agricultural extension (31166),3210.59133497511
2013,,Agriculture (311),Agricultural financial services (31193),8602.283456981426
2013,,Agriculture (311),Agricultural inputs (31150),3272.119027426465
2013,,Agriculture (311),Agricultural land resources (31130),10564.47683710138
2013,,Agriculture (311),Agricultural policy and administrative management (31110),44840.80801745328
2013,,Agriculture (311),Agricultural research (31182),57474.69678278916
2013,,Agriculture (311),Agricultural services (31191),25001.51391833484
2013,,Agriculture (311),Agricultural water resources (31140),29560.436489623637
2013,,Agriculture (311),Food crop production (31161),9357.342263210356
2013,,Agriculture (311),Industrial crops/export crops (31162),9151.84529376144
2013,,Agriculture (311),Livestock (31163),7567.717395117161
2013,,Agriculture (311),Livestock/veterinary services (31195),3653.764805621557
2013,,Agriculture (311),Plant and post-harvest protection and pest control (31192),896.9121080783037
2013,,Agriculture (311),,310637.0749387604
2013,,Other multisector (430),Rural development (43040),192845.42411541578
2013,,Other multisector (430),,192845.42411541578
2013,,,,503482.49905417615
2014,Bilateral,Agriculture (311),Agrarian reform (31164),0.0
2014,Bilateral,Agriculture (311),Agricultural alternative development (31165),0.0
2014,Bilateral,Agriculture (311),Agricultural co-operatives (31194),0.0
2014,Bilateral,Agriculture (311),Agricultural development (31120),69668.742915
2014,Bilateral,Agriculture (311),Agricultural education/training (31181),0.0
2014,Bilateral,Agriculture (311),Agricultural extension (31166),0.0
2014,Bilateral,Agriculture (311),Agricultural financial services (31193),0.0
2014,Bilateral,Agriculture (311),Agricultural inputs (31150),0.0
2014,Bilateral,Agriculture (311),Agricultural land resources (31130),2529.3098600000003
2014,Bilateral,Agriculture (311),Agricultural policy and administrative management (31110),7224.019840000001
2014,Bilateral,Agriculture (311),Agricultural research (31182),47124.57661600001
2014,Bilateral,Agriculture (311),Agricultural services (31191),26585.849844
2014,Bilateral,Agriculture (311),Agricultural water resources (31140),0.0
2014,Bilateral,Agriculture (311),Food crop production (31161),0.0
2014,Bilateral,Agriculture (311),Industrial crops/export crops (31162),0.0
2014,Bilateral,Agriculture (311),Livestock (31163),1339.412
2014,Bilateral,Agriculture (311),Livestock/veterinary services (31195),0.0
2014,Bilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),0.0
2014,Bilateral,Agriculture (311),,154471.911075
2014,Bilateral,Other multisector (430),Rural development (43040),101943.48022
2014,Bilateral,Other multisector (430),,101943.48022
2014,Bilateral,,,256415.39129499998
2014,Multilateral,Agriculture (311),Agrarian reform (31164),183.1815080875412
2014,Multilateral,Agriculture (311),Agricultural alternative development (31165),1046.563965534599
2014,Multilateral,Agriculture (311),Agricultural co-operatives (31194),5189.22691038652
2014,Multilateral,Agriculture (311),Agricultural development (31120),37425.25770549201
2014,Multilateral,Agriculture (311),Agricultural education/training (31181),651.3376694055038
2014,Multilateral,Agriculture (311),Agricultural extension (31166),5346.845875345509
2014,Multilateral,Agriculture (311),Agricultural financial services (31193),6225.414039519067
2014,Multilateral,Agriculture (311),Agricultural inputs (31150),6650.7333630520325
2014,Multilateral,Agriculture (311),Agricultural land resources (31130),11439.271003022252
2014,Multilateral,Agriculture (311),Agricultural policy and administrative management (31110),46712.23479251671
2014,Multilateral,Agriculture (311),Agricultural research (31182),22103.91077838256
2014,Multilateral,Agriculture (311),Agricultural services (31191),9690.99647930203
2014,Multilateral,Agriculture (311),Agricultural water resources (31140),40471.08255703413
2014,Multilateral,Agriculture (311),Food crop production (31161),10693.17433916775
2014,Multilateral,Agriculture (311),Industrial crops/export crops (31162),5285.713548340688
2014,Multilateral,Agriculture (311),Livestock (31163),8442.41320261563
2014,Multilateral,Agriculture (311),Livestock/veterinary services (31195),3403.954334771291
2014,Multilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),757.9979119594261
2014,Multilateral,Agriculture (311),,221719.30998393532
2014,Multilateral,Other multisector (430),Rural development (43040),85311.086663787
2014,Multilateral,Other multisector (430),,85311.086663787
2014,Multilateral,,,307030.3966477223
2014,,Agriculture (311),Agrarian reform (31164),183.1815080875412
2014,,Agriculture (311),Agricultural alternative development (31165),1046.563965534599
2014,,Agriculture (311),Agricultural co-operatives (31194),5189.22691038652
2014,,Agriculture (311),Agricultural development (31120),107094.00062049199
2014,,Agriculture (311),Agricultural education/training (31181),651.3376694055038
2014,,Agriculture (311),Agricultural extension (31166),5346.845875345509
2014,,Agriculture (311),Agricultural financial services (31193),6225.414039519067
2014,,Agriculture (311),Agricultural inputs (31150),6650.7333630520325
2014,,Agriculture (311),Agricultural land resources (31130),13968.580863022251
2014,,Agriculture (311),Agricultural policy and administrative management (31110),53936.254632516706
2014,,Agriculture (311),Agricultural research (31182),69228.48739438258
2014,,Agriculture (311),Agricultural services (31191),36276.84632330203
2014,,Agriculture (311),Agricultural water resources (31140),40471.08255703413
2014,,Agriculture (311),Food crop production (31161),10693.17433916775
2014,,Agriculture (311),Industrial crops/export crops (31162),5285.713548340688
2014,,Agriculture (311),Livestock (31163),9781.82520261563
2014,,Agriculture (311),Livestock/veterinary services (31195),3403.954334771291
2014,,Agriculture (311),Plant and post-harvest protection and pest control (31192),757.9979119594261
2014,,Agriculture (311),,376191.22105893533
2014,,Other multisector (430),Rural development (43040),187254.566883787
2014,,Other multisector (430),,187254.566883787
2014,,,,563445.7879427222
2015,Bilateral,Agriculture (311),Agrarian reform (31164),0.0
2015,Bilateral,Agriculture (311),Agricultural alternative development (31165),0.0
2015,Bilateral,Agriculture (311),Agricultural co-operatives (31194),0.0
2015,Bilateral,Agriculture (311),Agricultural development (31120),148360.8691
2015,Bilateral,Agriculture (311),Agricultural education/training (31181),0.0
2015,Bilateral,Agriculture (311),Agricultural extension (31166),0.0
2015,Bilateral,Agriculture (311),Agricultural financial services (31193),0.0
2015,Bilateral,Agriculture (311),Agricultural inputs (31150),0.0
2015,Bilateral,Agriculture (311),Agricultural land resources (31130),36252.82871
2015,Bilateral,Agriculture (311),Agricultural policy and administrative management (31110),31818.490060000004
2015,Bilateral,Agriculture (311),Agricultural research (31182),56351.197334000004
2015,Bilateral,Agriculture (311),Agricultural services (31191),24436.312990000002
2015,Bilateral,Agriculture (311),Agricultural water resources (31140),545.9590000000001
2015,Bilateral,Agriculture (311),Food crop production (31161),0.0
2015,Bilateral,Agriculture (311),Industrial crops/export crops (31162),0.0
2015,Bilateral,Agriculture (311),Livestock (31163),1473.25151
2015,Bilateral,Agriculture (311),Livestock/veterinary services (31195),3.179
2015,Bilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),0.0
2015,Bilateral,Agriculture (311),,299242.0877039999
2015,Bilateral,Other multisector (430),Rural development (43040),56471.61885
2015,Bilateral,Other multisector (430),,56471.61885
2015,Bilateral,,,355713.706554
2015,Multilateral,Agriculture (311),Agrarian reform (31164),342.92513195865433
2015,Multilateral,Agriculture (311),Agricultural alternative development (31165),634.1318972295405
2015,Multilateral,Agriculture (311),Agricultural co-operatives (31194),3836.0558853372963
2015,Multilateral,Agriculture (311),Agricultural development (31120),35183.01881955419
2015,Multilateral,Agriculture (311),Agricultural education/training (31181),463.4067219950763
2015,Multilateral,Agriculture (311),Agricultural extension (31166),2601.9743213877523
2015,Multilateral,Agriculture (311),Agricultural financial services (31193),5882.4770926628435
2015,Multilateral,Agriculture (311),Agricultural inputs (31150),3533.342369731065
2015,Multilateral,Agriculture (311),Agricultural land resources (31130),11230.43886753385
2015,Multilateral,Agriculture (311),Agricultural policy and administrative management (31110),43695.96074982862
2015,Multilateral,Agriculture (311),Agricultural research (31182),12812.04863409476
2015,Multilateral,Agriculture (311),Agricultural services (31191),7499.8877560018545
2015,Multilateral,Agriculture (311),Agricultural water resources (31140),34143.48175263096
2015,Multilateral,Agriculture (311),Food crop production (31161),7152.450826706811
2015,Multilateral,Agriculture (311),Industrial crops/export crops (31162),6201.007562813644
2015,Multilateral,Agriculture (311),Livestock (31163),9787.95168752126
2015,Multilateral,Agriculture (311),Livestock/veterinary services (31195),3070.181335027667
2015,Multilateral,Agriculture (311),Plant and post-harvest protection and pest control (31192),152.1214385768745
2015,Multilateral,Agriculture (311),,188222.8628505927
2015,Multilateral,Other multisector (430),Rural development (43040),45564.856769328224
2015,Multilateral,Other multisector (430),,45564.856769328224
2015,Multilateral,,,233787.71961992088
2015,,Agriculture (311),Agrarian reform (31164),342.92513195865433
2015,,Agriculture (311),Agricultural alternative development (31165),634.1318972295405
2015,,Agriculture (311),Agricultural co-operatives (31194),3836.0558853372963
2015,,Agriculture (311),Agricultural development (31120),183543.88791955422
2015,,Agriculture (311),Agricultural education/training (31181),463.4067219950763
2015,,Agriculture (311),Agricultural extension (31166),2601.9743213877523
2015,,Agriculture (311),Agricultural financial services (31193),5882.4770926628435
2015,,Agriculture (311),Agricultural inputs (31150),3533.342369731065
2015,,Agriculture (311),Agricultural land resources (31130),47483.26757753385
2015,,Agriculture (311),Agricultural policy and administrative management (31110),75514.45080982862
2015,,Agriculture (311),Agricultural research (31182),69163.24596809475
2015,,Agriculture (311),Agricultural services (31191),31936.20074600185
2015,,Agriculture (311),Agricultural water resources (31140),34689.44075263096
2015,,Agriculture (311),Food crop production (31161),7152.450826706811
2015,,Agriculture (311),Industrial crops/export crops (31162),6201.007562813644
2015,,Agriculture (311),Livestock (31163),11261.20319752126
2015,,Agriculture (311),Livestock/veterinary services (31195),3073.360335027667
2015,,Agriculture (311),Plant and post-harvest protection and pest control (31192),152.1214385768745
2015,,Agriculture (311),,487464.9505545927
2015,,Other multisector (430),Rural development (43040),102036.47561932821
2015,,Other multisector (430),,102036.47561932821
2015,,,,589501.426173921
2016,Bilateral,Agriculture (311),Agrarian reform (31164),0.0
2016,Bilateral,Agriculture (311),Agricultural alternative development (31165),0.0
2016,Bilateral,Agriculture (311),Agricultural co-operatives (31194),0.0
2016,Bilateral,Agriculture (311),Agricultural development (31120),168660.28053
2016,Bilateral,Agriculture (311),Agricultural education/training (31181),100.0
2016,Bilateral,Agriculture (311),Agricultural extension (31166),0.0
2016,Bilateral,Agriculture (311),Agricultural financial services (31193),0.0
2016,Bilateral,Agriculture (311),Agricultural inputs (31150),0.0
2016,Bilateral,Agriculture (311),Agricultural land resources (31130),12805.24948
