Year,Series,Country income classification,Aid description (CRS code),Observation status,Unit multiplier,Units,Value
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Thousands,GBP (£ thousands),60248.91
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Thousands,GBP (£ thousands),77054.87892
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Thousands,GBP (£ thousands),2308.45345
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Thousands,GBP (£ thousands),79363.33237
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Thousands,GBP (£ thousands),20595.5125
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Thousands,GBP (£ thousands),1781.109386
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Thousands,GBP (£ thousands),22376.621886
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Thousands,GBP (£ thousands),13408.86045
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Thousands,GBP (£ thousands),2031.866211
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Thousands,GBP (£ thousands),15440.726661
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Thousands,GBP (£ thousands),14691.812553
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Thousands,GBP (£ thousands),897.88883
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Thousands,GBP (£ thousands),15589.701383
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Thousands,GBP (£ thousands),7689.493452
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Thousands,GBP (£ thousands),1466.7556
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Thousands,GBP (£ thousands),9156.249052
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Thousands,GBP (£ thousands),10275.367881
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Thousands,GBP (£ thousands),11.23115
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Thousands,GBP (£ thousands),10286.599031
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Thousands,GBP (£ thousands),11142.12085
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Thousands,GBP (£ thousands),105.1804
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Thousands,GBP (£ thousands),11247.30125
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Thousands,GBP (£ thousands),26165.196009
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Thousands,GBP (£ thousands),5220.263825
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Thousands,GBP (£ thousands),31385.459834
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Thousands,GBP (£ thousands),17497.816642
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Thousands,GBP (£ thousands),511.80668
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Thousands,GBP (£ thousands),18009.623322
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Thousands,GBP (£ thousands),20491.004236
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Thousands,GBP (£ thousands),626.3712
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Thousands,GBP (£ thousands),21117.375436
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Basic health,Normal value,Thousands,GBP (£ thousands),21163.861646
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,Medical research,Normal value,Thousands,GBP (£ thousands),578.973442
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Other LICs,,Normal value,Thousands,GBP (£ thousands),21742.835088
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Thousands,GBP (£ thousands),773.25
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Thousands,GBP (£ thousands),773.25
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Thousands,GBP (£ thousands),223.09498
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Thousands,GBP (£ thousands),223.09498
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Thousands,GBP (£ thousands),2193.35735
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Thousands,GBP (£ thousands),2353.567797
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Thousands,GBP (£ thousands),4546.925147
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Thousands,GBP (£ thousands),2161.05234
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Thousands,GBP (£ thousands),1866.863187
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Thousands,GBP (£ thousands),4027.915527
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Thousands,GBP (£ thousands),12539.968446
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Thousands,GBP (£ thousands),1280.881494
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Thousands,GBP (£ thousands),13820.84994
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Thousands,GBP (£ thousands),405.710951
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Thousands,GBP (£ thousands),405.710951
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Thousands,GBP (£ thousands),1838.825647
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Thousands,GBP (£ thousands),4604.096188
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Thousands,GBP (£ thousands),6442.921835
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Thousands,GBP (£ thousands),7965.071329
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Thousands,GBP (£ thousands),6569.129616
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Thousands,GBP (£ thousands),14534.200945
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Thousands,GBP (£ thousands),2275.950388
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Thousands,GBP (£ thousands),15031.776129
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Thousands,GBP (£ thousands),17307.726517
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Thousands,GBP (£ thousands),1803.744931
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Thousands,GBP (£ thousands),22710.300837
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Thousands,GBP (£ thousands),24514.045768
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Thousands,GBP (£ thousands),4130.45584
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Thousands,GBP (£ thousands),17625.25371
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Thousands,GBP (£ thousands),21755.70955
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Basic health,Normal value,Thousands,GBP (£ thousands),11410.413656
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,Medical research,Normal value,Thousands,GBP (£ thousands),14124.942753
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",UMICs,,Normal value,Thousands,GBP (£ thousands),25535.356409
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Thousands,GBP (£ thousands),93685.34
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Thousands,GBP (£ thousands),19628.48
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Thousands,GBP (£ thousands),113313.82
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Thousands,GBP (£ thousands),84164.46252
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Thousands,GBP (£ thousands),52611.9137
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Thousands,GBP (£ thousands),136776.37622
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Thousands,GBP (£ thousands),173323.379665
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Thousands,GBP (£ thousands),54109.901093
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Thousands,GBP (£ thousands),227433.280758
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Thousands,GBP (£ thousands),147963.18358
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Thousands,GBP (£ thousands),61312.80145
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Thousands,GBP (£ thousands),209275.98503
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Thousands,GBP (£ thousands),350205.929722
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Thousands,GBP (£ thousands),70490.446058
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Thousands,GBP (£ thousands),420696.37578
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Thousands,GBP (£ thousands),242479.03241
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Thousands,GBP (£ thousands),60140.06078
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Thousands,GBP (£ thousands),302619.09319
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Thousands,GBP (£ thousands),204576.814741
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Thousands,GBP (£ thousands),75785.37444
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Thousands,GBP (£ thousands),280362.189181
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Thousands,GBP (£ thousands),168043.123224
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Thousands,GBP (£ thousands),81158.692278
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Thousands,GBP (£ thousands),249201.815502
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Thousands,GBP (£ thousands),199254.256771
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Thousands,GBP (£ thousands),178560.734795
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Thousands,GBP (£ thousands),377814.991566
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Thousands,GBP (£ thousands),182160.898406
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Thousands,GBP (£ thousands),266327.937212
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Thousands,GBP (£ thousands),448488.835618
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Thousands,GBP (£ thousands),174756.797295
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Thousands,GBP (£ thousands),258944.629905
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Thousands,GBP (£ thousands),433701.4272
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Basic health,Normal value,Thousands,GBP (£ thousands),489530.222587
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,Medical research,Normal value,Thousands,GBP (£ thousands),305450.005974
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",Unspecified,,Normal value,Thousands,GBP (£ thousands),794980.228561
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Thousands,GBP (£ thousands),273706.16
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Thousands,GBP (£ thousands),324857.4027
2011,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Thousands,GBP (£ thousands),490791.755095
2012,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Thousands,GBP (£ thousands),557455.155661
2013,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Thousands,GBP (£ thousands),817519.83779
2014,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Thousands,GBP (£ thousands),652950.029878
2015,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Thousands,GBP (£ thousands),543329.123967
2016,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Thousands,GBP (£ thousands),593232.218841
2017,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Thousands,GBP (£ thousands),767594.845852
2018,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Thousands,GBP (£ thousands),779790.792588
2019,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Thousands,GBP (£ thousands),822382.885975
2020,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",,,Normal value,Thousands,GBP (£ thousands),1110232.546981
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Thousands,Constant USD ($ thousands),129800.09823287846
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Thousands,Constant USD ($ thousands),1383.8835626818873
2009,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,,Normal value,Thousands,Constant USD ($ thousands),131183.9817955604
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Basic health,Normal value,Thousands,Constant USD ($ thousands),131421.6250876222
2010,"Total official development assistance to medical research and basic heath sectors, net disbursement, by recipient countries",LDCs,Medical research,Normal value,Thousands,Constant USD ($ thousands),1008.6798715073637
