Year,Units,Sex,Age,Country,Region,Industry sector,Occupation,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2017/18,"Fatal injury (rate per 100,000 workers)",,60 to 64,,,,,"Rate per 100,000 workers",Units,Undefined,,1.33
2017/18,"Fatal injury (rate per 100,000 workers)",,65 and over,,,,,"Rate per 100,000 workers",Units,Undefined,,2.5
2016/17,"Fatal injury (rate per 100,000 workers)",,16 to 19,,,,,"Rate per 100,000 workers",Units,Undefined,,0.19
2016/17,"Fatal injury (rate per 100,000 workers)",,20 to 24,,,,,"Rate per 100,000 workers",Units,Undefined,,0.32
2016/17,"Fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.22
2016/17,"Fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.39
2016/17,"Fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.28
2016/17,"Fatal injury (rate per 100,000 workers)",,55 to 59,,,,,"Rate per 100,000 workers",Units,Undefined,,0.73
2016/17,"Fatal injury (rate per 100,000 workers)",,60 to 64,,,,,"Rate per 100,000 workers",Units,Undefined,,0.67
2016/17,"Fatal injury (rate per 100,000 workers)",,65 and over,,,,,"Rate per 100,000 workers",Units,Undefined,,1.92
2015/16,"Fatal injury (rate per 100,000 workers)",,16 to 19,,,,,"Rate per 100,000 workers",Units,Undefined,,0.19
2015/16,"Fatal injury (rate per 100,000 workers)",,20 to 24,,,,,"Rate per 100,000 workers",Units,Undefined,,0.21
2015/16,"Fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.28
2015/16,"Fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.4
2015/16,"Fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.47
2015/16,"Fatal injury (rate per 100,000 workers)",,55 to 59,,,,,"Rate per 100,000 workers",Units,Undefined,,0.52
2015/16,"Fatal injury (rate per 100,000 workers)",,60 to 64,,,,,"Rate per 100,000 workers",Units,Undefined,,0.97
2015/16,"Fatal injury (rate per 100,000 workers)",,65 and over,,,,,"Rate per 100,000 workers",Units,Undefined,,1.8
2014/15,"Fatal injury (rate per 100,000 workers)",,16 to 19,,,,,"Rate per 100,000 workers",Units,Undefined,,0.49
2014/15,"Fatal injury (rate per 100,000 workers)",,20 to 24,,,,,"Rate per 100,000 workers",Units,Undefined,,0.33
2014/15,"Fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.36
2014/15,"Fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.27
2014/15,"Fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.34
2014/15,"Fatal injury (rate per 100,000 workers)",,55 to 59,,,,,"Rate per 100,000 workers",Units,Undefined,,0.46
2014/15,"Fatal injury (rate per 100,000 workers)",,60 to 64,,,,,"Rate per 100,000 workers",Units,Undefined,,0.83
2014/15,"Fatal injury (rate per 100,000 workers)",,65 and over,,,,,"Rate per 100,000 workers",Units,Undefined,,2.23
2013/14,"Fatal injury (rate per 100,000 workers)",,16 to 19,,,,,"Rate per 100,000 workers",Units,Undefined,,0.1
2013/14,"Fatal injury (rate per 100,000 workers)",,20 to 24,,,,,"Rate per 100,000 workers",Units,Undefined,,0.38
2013/14,"Fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.22
2013/14,"Fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.26
2013/14,"Fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.53
2013/14,"Fatal injury (rate per 100,000 workers)",,55 to 59,,,,,"Rate per 100,000 workers",Units,Undefined,,0.52
2013/14,"Fatal injury (rate per 100,000 workers)",,60 to 64,,,,,"Rate per 100,000 workers",Units,Undefined,,1.03
2013/14,"Fatal injury (rate per 100,000 workers)",,65 and over,,,,,"Rate per 100,000 workers",Units,Undefined,,2.01
2017/18,"Fatal injury (rate per 100,000 workers)",,,England and Wales,,,,"Rate per 100,000 workers",Units,Undefined,K04000001,0.43
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,,,,"Rate per 100,000 workers",Units,Undefined,E92000001,0.41
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,North East,,,"Rate per 100,000 workers",Units,Undefined,E12000001,0.17
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,North West,,,"Rate per 100,000 workers",Units,Undefined,E12000002,0.43
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Undefined,E12000003,0.49
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000004,0.5
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000005,0.51
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Rate per 100,000 workers",Units,Undefined,E12000006,0.63
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,London,,,"Rate per 100,000 workers",Units,Undefined,E12000007,0.22
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,South East,,,"Rate per 100,000 workers",Units,Undefined,E12000008,0.36
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,South West,,,"Rate per 100,000 workers",Units,Undefined,E12000009,0.41
2017/18,"Fatal injury (rate per 100,000 workers)",,,Wales,,,,"Rate per 100,000 workers",Units,Undefined,W92000004,0.85
2017/18,"Fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Rate per 100,000 workers",Units,Undefined,S92000003,0.63
2016/17,"Fatal injury (rate per 100,000 workers)",,,England and Wales,,,,"Rate per 100,000 workers",Units,Undefined,K04000001,0.41
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,,,,"Rate per 100,000 workers",Units,Undefined,E92000001,0.39
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,North East,,,"Rate per 100,000 workers",Units,Undefined,E12000001,0.51
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,North West,,,"Rate per 100,000 workers",Units,Undefined,E12000002,0.32
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Undefined,E12000003,0.54
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000004,0.76
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000005,0.48
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Rate per 100,000 workers",Units,Undefined,E12000006,0.32
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,London,,,"Rate per 100,000 workers",Units,Undefined,E12000007,0.21
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,South East,,,"Rate per 100,000 workers",Units,Undefined,E12000008,0.34
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,South West,,,"Rate per 100,000 workers",Units,Undefined,E12000009,0.36
2016/17,"Fatal injury (rate per 100,000 workers)",,,Wales,,,,"Rate per 100,000 workers",Units,Undefined,W92000004,0.78
2016/17,"Fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Rate per 100,000 workers",Units,Undefined,S92000003,0.68
2015/16,"Fatal injury (rate per 100,000 workers)",,,England and Wales,,,,"Rate per 100,000 workers",Units,Undefined,K04000001,0.46
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,,,,"Rate per 100,000 workers",Units,Undefined,E92000001,0.44
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,North East,,,"Rate per 100,000 workers",Units,Undefined,E12000001,0.52
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,North West,,,"Rate per 100,000 workers",Units,Undefined,E12000002,0.5
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Undefined,E12000003,0.57
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000004,0.54
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000005,0.6
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Rate per 100,000 workers",Units,Undefined,E12000006,0.46
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,London,,,"Rate per 100,000 workers",Units,Undefined,E12000007,0.34
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,South East,,,"Rate per 100,000 workers",Units,Undefined,E12000008,0.25
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,South West,,,"Rate per 100,000 workers",Units,Undefined,E12000009,0.43
2015/16,"Fatal injury (rate per 100,000 workers)",,,Wales,,,,"Rate per 100,000 workers",Units,Undefined,W92000004,0.93
2015/16,"Fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Rate per 100,000 workers",Units,Undefined,S92000003,0.56
2014/15,"Fatal injury (rate per 100,000 workers)",,,England and Wales,,,,"Rate per 100,000 workers",Units,Undefined,K04000001,0.44
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,,,,"Rate per 100,000 workers",Units,Undefined,E92000001,0.43
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,North East,,,"Rate per 100,000 workers",Units,Undefined,E12000001,0.09
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,North West,,,"Rate per 100,000 workers",Units,Undefined,E12000002,0.57
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Undefined,E12000003,0.6
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000004,0.69
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000005,0.42
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Rate per 100,000 workers",Units,Undefined,E12000006,0.36
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,London,,,"Rate per 100,000 workers",Units,Undefined,E12000007,0.18
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,South East,,,"Rate per 100,000 workers",Units,Undefined,E12000008,0.23
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,South West,,,"Rate per 100,000 workers",Units,Undefined,E12000009,0.76
2014/15,"Fatal injury (rate per 100,000 workers)",,,Wales,,,,"Rate per 100,000 workers",Units,Undefined,W92000004,0.72
2014/15,"Fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Rate per 100,000 workers",Units,Undefined,S92000003,0.68
2013/14,"Fatal injury (rate per 100,000 workers)",,,England and Wales,,,,"Rate per 100,000 workers",Units,Undefined,K04000001,0.43
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,,,,"Rate per 100,000 workers",Units,Undefined,E92000001,0.42
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,North East,,,"Rate per 100,000 workers",Units,Undefined,E12000001,0.54
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,North West,,,"Rate per 100,000 workers",Units,Undefined,E12000002,0.52
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Undefined,E12000003,0.73
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000004,0.62
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000005,0.47
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Rate per 100,000 workers",Units,Undefined,E12000006,0.33
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,London,,,"Rate per 100,000 workers",Units,Undefined,E12000007,0.23
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,South East,,,"Rate per 100,000 workers",Units,Undefined,E12000008,0.21
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,South West,,,"Rate per 100,000 workers",Units,Undefined,E12000009,0.48
2013/14,"Fatal injury (rate per 100,000 workers)",,,Wales,,,,"Rate per 100,000 workers",Units,Undefined,W92000004,0.51
2013/14,"Fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Rate per 100,000 workers",Units,Undefined,S92000003,0.73
2004/05,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,12.8
2005/06,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,11.87
2006/07,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,11.53
2007/08,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,15.84
2008/09,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,7.46
2009/10,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,12.28
2010/11,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,9.77
2011/12,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,10.23
2012/13,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,9.41
2013/14,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,8.68
2014/15,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,8.85
2015/16,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,7.73
2016/17,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,7.33
2017/18,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,8.44
2004/05,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,2.31
2005/06,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,4.28
2006/07,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,8.63
2007/08,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,4.65
2008/09,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,4.22
2009/10,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,4.76
2010/11,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,2.94
2011/12,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,10.24
2012/13,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,1.75
2013/14,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,2.39
2014/15,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,0.71
2015/16,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,1.45
2016/17,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,4.1
2017/18,"Fatal injury (rate per 100,000 workers)",,,,,Mining and Quarrying,,"Rate per 100,000 workers",Units,Undefined,,3.37
2004/05,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,3.91
2005/06,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,4.42
2006/07,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,3.61
2007/08,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,3.6
2008/09,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,2.16
2009/10,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,1.35
2010/11,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,3.06
2011/12,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,1.46
2012/13,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,3.03
2013/14,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,1.52
2014/15,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,1.55
2015/16,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,2.04
2016/17,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,4.56
2017/18,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,3.31
2004/05,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,1.12
2005/06,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,1.1
2006/07,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,1.0
2007/08,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.83
2008/09,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.88
2009/10,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.86
2010/11,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.99
2011/12,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,1.07
2012/13,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.74
2013/14,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.53
2014/15,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.62
2015/16,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.96
2016/17,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.63
2017/18,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.52
2004/05,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,2.95
2005/06,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,2.49
2006/07,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,3.19
2007/08,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,2.87
2008/09,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,2.04
2009/10,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,1.79
2010/11,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,2.31
2011/12,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,2.25
2012/13,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,1.94
2013/14,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,2.07
2014/15,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,1.63
2015/16,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,2.12
2016/17,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,1.42
2017/18,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,1.64
2004/05,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.28
2005/06,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.3
2006/07,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.35
2007/08,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.3
2008/09,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.26
2009/10,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.14
2010/11,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.21
2011/12,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.18
2012/13,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.18
2013/14,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.17
2014/15,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.2
2015/16,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.14
2016/17,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.14
2017/18,"Fatal injury (rate per 100,000 workers)",,,,,Service industries,,"Rate per 100,000 workers",Units,Undefined,,0.17
2000/01,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,3980.0
2001/02,"Non-fatal injury (rate per 100,000 workers)",,,,,,,"Rate per 100,000 workers",Units,Undefined,,3780.0
