Year,Units,Sex,Age,Country,Region,Industry sector,Occupation,Unit measure,Unit multiplier,Observation status,GeoCode,Value
2018/19,"Fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.4
2018/19,"Fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.48
2018/19,"Fatal injury (rate per 100,000 workers)",,55 to 59,,,,,"Rate per 100,000 workers",Units,Undefined,,0.4
2018/19,"Fatal injury (rate per 100,000 workers)",,60 to 64,,,,,"Rate per 100,000 workers",Units,Undefined,,0.85
2018/19,"Fatal injury (rate per 100,000 workers)",,65 and over,,,,,"Rate per 100,000 workers",Units,Undefined,,1.61
2017/18,"Fatal injury (rate per 100,000 workers)",,16 to 19,,,,,"Rate per 100,000 workers",Units,Undefined,,0.1
2017/18,"Fatal injury (rate per 100,000 workers)",,20 to 24,,,,,"Rate per 100,000 workers",Units,Undefined,,0.29
2017/18,"Fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.23
2017/18,"Fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.3
2017/18,"Fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.28
2017/18,"Fatal injury (rate per 100,000 workers)",,55 to 59,,,,,"Rate per 100,000 workers",Units,Undefined,,0.52
2017/18,"Fatal injury (rate per 100,000 workers)",,60 to 64,,,,,"Rate per 100,000 workers",Units,Undefined,,1.27
2017/18,"Fatal injury (rate per 100,000 workers)",,65 and over,,,,,"Rate per 100,000 workers",Units,Undefined,,2.42
2016/17,"Fatal injury (rate per 100,000 workers)",,16 to 19,,,,,"Rate per 100,000 workers",Units,Undefined,,0.19
2016/17,"Fatal injury (rate per 100,000 workers)",,20 to 24,,,,,"Rate per 100,000 workers",Units,Undefined,,0.32
2016/17,"Fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.22
2016/17,"Fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.39
2016/17,"Fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.28
2016/17,"Fatal injury (rate per 100,000 workers)",,55 to 59,,,,,"Rate per 100,000 workers",Units,Undefined,,0.73
2016/17,"Fatal injury (rate per 100,000 workers)",,60 to 64,,,,,"Rate per 100,000 workers",Units,Undefined,,0.66
2016/17,"Fatal injury (rate per 100,000 workers)",,65 and over,,,,,"Rate per 100,000 workers",Units,Undefined,,1.92
2015/16,"Fatal injury (rate per 100,000 workers)",,16 to 19,,,,,"Rate per 100,000 workers",Units,Undefined,,0.19
2015/16,"Fatal injury (rate per 100,000 workers)",,20 to 24,,,,,"Rate per 100,000 workers",Units,Undefined,,0.21
2015/16,"Fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.28
2015/16,"Fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.4
2015/16,"Fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.47
2015/16,"Fatal injury (rate per 100,000 workers)",,55 to 59,,,,,"Rate per 100,000 workers",Units,Undefined,,0.52
2015/16,"Fatal injury (rate per 100,000 workers)",,60 to 64,,,,,"Rate per 100,000 workers",Units,Undefined,,0.97
2015/16,"Fatal injury (rate per 100,000 workers)",,65 and over,,,,,"Rate per 100,000 workers",Units,Undefined,,1.8
2014/15,"Fatal injury (rate per 100,000 workers)",,16 to 19,,,,,"Rate per 100,000 workers",Units,Undefined,,0.49
2014/15,"Fatal injury (rate per 100,000 workers)",,20 to 24,,,,,"Rate per 100,000 workers",Units,Undefined,,0.33
2014/15,"Fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.36
2014/15,"Fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.27
2014/15,"Fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.34
2014/15,"Fatal injury (rate per 100,000 workers)",,55 to 59,,,,,"Rate per 100,000 workers",Units,Undefined,,0.46
2014/15,"Fatal injury (rate per 100,000 workers)",,60 to 64,,,,,"Rate per 100,000 workers",Units,Undefined,,0.83
2014/15,"Fatal injury (rate per 100,000 workers)",,65 and over,,,,,"Rate per 100,000 workers",Units,Undefined,,2.23
2013/14,"Fatal injury (rate per 100,000 workers)",,16 to 19,,,,,"Rate per 100,000 workers",Units,Undefined,,0.1
2013/14,"Fatal injury (rate per 100,000 workers)",,20 to 24,,,,,"Rate per 100,000 workers",Units,Undefined,,0.38
2013/14,"Fatal injury (rate per 100,000 workers)",,25 to 34,,,,,"Rate per 100,000 workers",Units,Undefined,,0.22
2013/14,"Fatal injury (rate per 100,000 workers)",,35 to 44,,,,,"Rate per 100,000 workers",Units,Undefined,,0.26
2013/14,"Fatal injury (rate per 100,000 workers)",,45 to 54,,,,,"Rate per 100,000 workers",Units,Undefined,,0.53
2013/14,"Fatal injury (rate per 100,000 workers)",,55 to 59,,,,,"Rate per 100,000 workers",Units,Undefined,,0.52
2013/14,"Fatal injury (rate per 100,000 workers)",,60 to 64,,,,,"Rate per 100,000 workers",Units,Undefined,,1.03
2013/14,"Fatal injury (rate per 100,000 workers)",,65 and over,,,,,"Rate per 100,000 workers",Units,Undefined,,2.01
2018/19,"Fatal injury (rate per 100,000 workers)",,,England and Wales,,,,"Rate per 100,000 workers",Units,Undefined,K04000001,0.4
2018/19,"Fatal injury (rate per 100,000 workers)",,,England,,,,"Rate per 100,000 workers",Units,Undefined,E92000001,0.4
2018/19,"Fatal injury (rate per 100,000 workers)",,,England,North East,,,"Rate per 100,000 workers",Units,Undefined,E12000001,0.42
2018/19,"Fatal injury (rate per 100,000 workers)",,,England,North West,,,"Rate per 100,000 workers",Units,Undefined,E12000002,0.28
2018/19,"Fatal injury (rate per 100,000 workers)",,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Undefined,E12000003,0.57
2018/19,"Fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000004,0.4
2018/19,"Fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000005,0.71
2018/19,"Fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Rate per 100,000 workers",Units,Undefined,E12000006,0.55
2018/19,"Fatal injury (rate per 100,000 workers)",,,England,London,,,"Rate per 100,000 workers",Units,Undefined,E12000007,0.2
2018/19,"Fatal injury (rate per 100,000 workers)",,,England,South East,,,"Rate per 100,000 workers",Units,Undefined,E12000008,0.29
2018/19,"Fatal injury (rate per 100,000 workers)",,,England,South West,,,"Rate per 100,000 workers",Units,Undefined,E12000009,0.38
2018/19,"Fatal injury (rate per 100,000 workers)",,,Wales,,,,"Rate per 100,000 workers",Units,Undefined,W92000004,0.48
2018/19,"Fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Rate per 100,000 workers",Units,Undefined,S92000003,1.07
2017/18,"Fatal injury (rate per 100,000 workers)",,,England and Wales,,,,"Rate per 100,000 workers",Units,Undefined,K04000001,0.42
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,,,,"Rate per 100,000 workers",Units,Undefined,E92000001,0.4
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,North East,,,"Rate per 100,000 workers",Units,Undefined,E12000001,0.17
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,North West,,,"Rate per 100,000 workers",Units,Undefined,E12000002,0.46
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Undefined,E12000003,0.49
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000004,0.45
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000005,0.51
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Rate per 100,000 workers",Units,Undefined,E12000006,0.53
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,London,,,"Rate per 100,000 workers",Units,Undefined,E12000007,0.21
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,South East,,,"Rate per 100,000 workers",Units,Undefined,E12000008,0.36
2017/18,"Fatal injury (rate per 100,000 workers)",,,England,South West,,,"Rate per 100,000 workers",Units,Undefined,E12000009,0.41
2017/18,"Fatal injury (rate per 100,000 workers)",,,Wales,,,,"Rate per 100,000 workers",Units,Undefined,W92000004,0.91
2017/18,"Fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Rate per 100,000 workers",Units,Undefined,S92000003,0.63
2016/17,"Fatal injury (rate per 100,000 workers)",,,England and Wales,,,,"Rate per 100,000 workers",Units,Undefined,K04000001,0.41
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,,,,"Rate per 100,000 workers",Units,Undefined,E92000001,0.39
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,North East,,,"Rate per 100,000 workers",Units,Undefined,E12000001,0.51
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,North West,,,"Rate per 100,000 workers",Units,Undefined,E12000002,0.32
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Undefined,E12000003,0.53
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000004,0.76
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000005,0.48
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Rate per 100,000 workers",Units,Undefined,E12000006,0.32
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,London,,,"Rate per 100,000 workers",Units,Undefined,E12000007,0.21
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,South East,,,"Rate per 100,000 workers",Units,Undefined,E12000008,0.34
2016/17,"Fatal injury (rate per 100,000 workers)",,,England,South West,,,"Rate per 100,000 workers",Units,Undefined,E12000009,0.36
2016/17,"Fatal injury (rate per 100,000 workers)",,,Wales,,,,"Rate per 100,000 workers",Units,Undefined,W92000004,0.78
2016/17,"Fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Rate per 100,000 workers",Units,Undefined,S92000003,0.67
2015/16,"Fatal injury (rate per 100,000 workers)",,,England and Wales,,,,"Rate per 100,000 workers",Units,Undefined,K04000001,0.46
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,,,,"Rate per 100,000 workers",Units,Undefined,E92000001,0.44
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,North East,,,"Rate per 100,000 workers",Units,Undefined,E12000001,0.52
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,North West,,,"Rate per 100,000 workers",Units,Undefined,E12000002,0.5
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Undefined,E12000003,0.57
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000004,0.54
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000005,0.6
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Rate per 100,000 workers",Units,Undefined,E12000006,0.46
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,London,,,"Rate per 100,000 workers",Units,Undefined,E12000007,0.34
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,South East,,,"Rate per 100,000 workers",Units,Undefined,E12000008,0.25
2015/16,"Fatal injury (rate per 100,000 workers)",,,England,South West,,,"Rate per 100,000 workers",Units,Undefined,E12000009,0.43
2015/16,"Fatal injury (rate per 100,000 workers)",,,Wales,,,,"Rate per 100,000 workers",Units,Undefined,W92000004,0.93
2015/16,"Fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Rate per 100,000 workers",Units,Undefined,S92000003,0.56
2014/15,"Fatal injury (rate per 100,000 workers)",,,England and Wales,,,,"Rate per 100,000 workers",Units,Undefined,K04000001,0.44
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,,,,"Rate per 100,000 workers",Units,Undefined,E92000001,0.43
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,North East,,,"Rate per 100,000 workers",Units,Undefined,E12000001,0.09
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,North West,,,"Rate per 100,000 workers",Units,Undefined,E12000002,0.57
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Undefined,E12000003,0.6
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000004,0.69
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000005,0.42
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Rate per 100,000 workers",Units,Undefined,E12000006,0.36
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,London,,,"Rate per 100,000 workers",Units,Undefined,E12000007,0.18
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,South East,,,"Rate per 100,000 workers",Units,Undefined,E12000008,0.23
2014/15,"Fatal injury (rate per 100,000 workers)",,,England,South West,,,"Rate per 100,000 workers",Units,Undefined,E12000009,0.76
2014/15,"Fatal injury (rate per 100,000 workers)",,,Wales,,,,"Rate per 100,000 workers",Units,Undefined,W92000004,0.72
2014/15,"Fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Rate per 100,000 workers",Units,Undefined,S92000003,0.68
2013/14,"Fatal injury (rate per 100,000 workers)",,,England and Wales,,,,"Rate per 100,000 workers",Units,Undefined,K04000001,0.43
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,,,,"Rate per 100,000 workers",Units,Undefined,E92000001,0.42
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,North East,,,"Rate per 100,000 workers",Units,Undefined,E12000001,0.54
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,North West,,,"Rate per 100,000 workers",Units,Undefined,E12000002,0.52
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,Yorkshire and The Humber,,,"Rate per 100,000 workers",Units,Undefined,E12000003,0.73
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,East Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000004,0.62
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,West Midlands,,,"Rate per 100,000 workers",Units,Undefined,E12000005,0.47
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,East of England,,,"Rate per 100,000 workers",Units,Undefined,E12000006,0.33
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,London,,,"Rate per 100,000 workers",Units,Undefined,E12000007,0.23
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,South East,,,"Rate per 100,000 workers",Units,Undefined,E12000008,0.21
2013/14,"Fatal injury (rate per 100,000 workers)",,,England,South West,,,"Rate per 100,000 workers",Units,Undefined,E12000009,0.48
2013/14,"Fatal injury (rate per 100,000 workers)",,,Wales,,,,"Rate per 100,000 workers",Units,Undefined,W92000004,0.51
2013/14,"Fatal injury (rate per 100,000 workers)",,,Scotland,,,,"Rate per 100,000 workers",Units,Undefined,S92000003,0.73
2004/05,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,12.8
2005/06,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,11.87
2006/07,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,11.53
2007/08,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,15.84
2008/09,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,7.46
2009/10,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,12.28
2010/11,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,9.77
2011/12,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,10.23
2012/13,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,9.4
2013/14,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,8.68
2014/15,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,8.84
2015/16,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,7.72
2016/17,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,7.31
2017/18,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,8.39
2018/19,"Fatal injury (rate per 100,000 workers)",,,,,"Agriculture, forestry and fishing",,"Rate per 100,000 workers",Units,Undefined,,9.21
2004/05,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,2.31
2005/06,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,4.28
2006/07,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,8.63
2007/08,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,4.65
2008/09,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,4.22
2009/10,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,4.76
2010/11,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,2.94
2011/12,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,10.24
2012/13,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,1.75
2013/14,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,2.39
2014/15,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,0.71
2015/16,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,1.45
2016/17,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,4.1
2017/18,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,3.35
2018/19,"Fatal injury (rate per 100,000 workers)",,,,,Mining and quarrying,,"Rate per 100,000 workers",Units,Undefined,,0.0
2004/05,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,3.91
2005/06,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,4.42
2006/07,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,3.61
2007/08,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,3.6
2008/09,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,2.16
2009/10,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,1.35
2010/11,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,3.06
2011/12,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,1.46
2012/13,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,3.03
2013/14,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,1.51
2014/15,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,1.55
2015/16,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,2.04
2016/17,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,4.55
2017/18,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,3.06
2018/19,"Fatal injury (rate per 100,000 workers)",,,,,"Gas, electricity and water supply; sewerage, waste and recycling",,"Rate per 100,000 workers",Units,Undefined,,1.68
2004/05,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,1.12
2005/06,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,1.1
2006/07,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,1.0
2007/08,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.83
2008/09,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.88
2009/10,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.86
2010/11,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.99
2011/12,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,1.07
2012/13,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.74
2013/14,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.53
2014/15,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.62
2015/16,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.96
2016/17,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.63
2017/18,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.52
2018/19,"Fatal injury (rate per 100,000 workers)",,,,,Manufacturing,,"Rate per 100,000 workers",Units,Undefined,,0.92
2004/05,"Fatal injury (rate per 100,000 workers)",,,,,Construction,,"Rate per 100,000 workers",Units,Undefined,,2.95
