Year,Type of partner abuse,Abuse sub-category,Age,Ethnicity,Ethnic group,Disability status,Household income,Region,Highest qualification,Units,Unit multiplier,Observation status,GeoCode,Value
2006/07,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.3627513530000002
2008/09,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.037840044
2009/10,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.069310384
2010/11,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.2691460190000001
2011/12,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.0941469209999999
2012/13,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.144135192
2013/14,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.585792516
2014/15,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.555120635
2015/16,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.284846656
2016/17,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.322797979
2017/18,Stalking by a partner/ex-partner,,,,,,,,,Percentage (%),Units,Undefined,,1.3970291680000002
2004/05,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,5.854566667
2005/06,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,5.634773292
2006/07,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,5.495721994
2007/08,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,5.349678029
2008/09,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.197981733
2009/10,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.61213129
2010/11,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.361206718
2011/12,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.65336561
2012/13,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.48934388
2013/14,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.214484333
2014/15,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,3.998541527
2015/16,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,3.9384805430000003
2016/17,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.00406904
2017/18,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,Percentage (%),Units,Undefined,,4.505424596
2004/05,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,5.604157963
2005/06,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,6.108059145
2006/07,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,5.908326457
2007/08,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,4.619949919
2008/09,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,4.458602657
2009/10,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,4.868333313
2010/11,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,4.1727997089999995
2011/12,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,4.520087845
2012/13,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,3.7442693019999997
2013/14,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,3.606578508
2014/15,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,3.5866918510000003
2015/16,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,3.0477413610000004
2016/17,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,2.792484731
2017/18,Non-sexual,Threats or force,,,,,,,,Percentage (%),Units,Undefined,,3.005932988
2004/05,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,4.183591185
2005/06,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,4.771790191
2006/07,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,4.652404457
2007/08,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,3.972830449
2008/09,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,3.343963422
2009/10,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,4.078203206
2010/11,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,3.2815491310000002
2011/12,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,3.399883907
2012/13,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,3.0077485939999997
2013/14,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,2.8144319139999996
2014/15,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,2.865624602
2015/16,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,2.310985948
2016/17,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,2.171177475
2017/18,Non-sexual,Threats,,,,,,,,Percentage (%),Units,Undefined,,2.325797667
2004/05,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,3.563418135
2005/06,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,3.88981699
2006/07,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,3.4808633999999996
2007/08,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.93855393
2008/09,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.8511790610000003
2009/10,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.910466115
2010/11,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.791987732
2011/12,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.9807704489999995
2012/13,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.06421817
2013/14,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,2.031989784
2014/15,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,1.855113302
2015/16,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,1.709937407
2016/17,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,1.544702646
2017/18,Non-sexual,Force,,,,,,,,Percentage (%),Units,Undefined,,1.6749602019999998
2004/05,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.263437563
2005/06,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.278080862
2006/07,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.31030737199999997
2007/08,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.253777139
2008/09,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.22383184
2009/10,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.207328813
2010/11,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.39597791600000004
2011/12,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.34426728
2012/13,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.320458465
2013/14,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.241317703
2014/15,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.266320546
2015/16,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.297414003
2016/17,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.29575124399999997
2017/18,Sexual (including attempts),Sexual assault by rape or penetration (including attempts),,,,,,,,Percentage (%),Units,Undefined,,0.22408165300000002
2004/05,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.46362973
2005/06,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.6214529329999999
2006/07,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.541148059
2007/08,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.488599419
2008/09,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.268645735
2009/10,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.44003727299999995
2010/11,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.44570616700000004
2011/12,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.40268087700000005
2012/13,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.241481473
2013/14,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.21332649399999998
2014/15,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.33393687
2015/16,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.37816581299999996
2016/17,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.256627318
2017/18,Sexual (including attempts),Indecent exposure or unwanted sexual touching by a partner,,,,,,,,Percentage (%),Units,Undefined,,0.25918699100000003
2016/17,Non-sexual,,16 to 19,,,,,,,Percentage (%),Units,Undefined,,5.723083268
2016/17,Non-sexual,,20 to 24,,,,,,,Percentage (%),Units,Undefined,,7.349318413
2016/17,Non-sexual,,25 to 34,,,,,,,Percentage (%),Units,Undefined,,5.1766751189999995
2016/17,Non-sexual,,35 to 44,,,,,,,Percentage (%),Units,Undefined,,5.104475088
2016/17,Non-sexual,,45 to 54,,,,,,,Percentage (%),Units,Undefined,,4.790018887
2016/17,Non-sexual,,55 to 59,,,,,,,Percentage (%),Units,Undefined,,3.8455545439999996
2016/17,Non-sexual,,,White,,,,,,Percentage (%),Units,Undefined,,5.45729882
2016/17,Non-sexual,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Percentage (%),Units,Undefined,,5.814625199
2016/17,Non-sexual,,,White,Irish,,,,,Percentage (%),Units,Undefined,,1.7837983130000001
2016/17,Non-sexual,,,White,Any other white background,,,,,Percentage (%),Units,Undefined,,2.288264459
2016/17,Non-sexual,,,Mixed/multiple ethnic groups,,,,,,Percentage (%),Units,Undefined,,8.489867958
2016/17,Non-sexual,,,Mixed/multiple ethnic groups,White and Black Caribbean,,,,,Percentage (%),Units,Undefined,,3.024956387
2016/17,Non-sexual,,,Asian/Asian British,,,,,,Percentage (%),Units,Undefined,,2.3982040319999998
2016/17,Non-sexual,,,Asian/Asian British,Indian,,,,,Percentage (%),Units,Undefined,,2.930152508
2016/17,Non-sexual,,,Asian/Asian British,Pakistani,,,,,Percentage (%),Units,Undefined,,2.943624022
2016/17,Non-sexual,,,Asian/Asian British,Bangladeshi,,,,,Percentage (%),Units,Undefined,,2.7167085980000003
2016/17,Non-sexual,,,Asian/Asian British,Chinese,,,,,Percentage (%),Units,Undefined,,1.2452291709999999
2016/17,Non-sexual,,,Asian/Asian British,Any other Asian background,,,,,Percentage (%),Units,Undefined,,0.671531021
2016/17,Non-sexual,,,Black/African/Caribbean/Black British,,,,,,Percentage (%),Units,Undefined,,4.35563724
2016/17,Non-sexual,,,Black/African/Caribbean/Black British,African,,,,,Percentage (%),Units,Undefined,,2.449723772
2016/17,Non-sexual,,,Black/African/Caribbean/Black British,Caribbean,,,,,Percentage (%),Units,Undefined,,6.866498651000001
2016/17,Non-sexual,,,Other ethnic group,Arab,,,,,Percentage (%),Units,Undefined,,5.225803149
2016/17,Non-sexual,,,Other ethnic group,Any other ethnic group,,,,,Percentage (%),Units,Undefined,,11.60430242
2016/17,Non-sexual,,,,,,,,Degree or diploma,Percentage (%),Units,Undefined,,4.290670647
2016/17,Non-sexual,,,,,,,,Apprenticeship or A/AS level,Percentage (%),Units,Undefined,,6.443553799
2016/17,Non-sexual,,,,,,,,O level/GCSE,Percentage (%),Units,Undefined,,5.96822551
2016/17,Non-sexual,,,,,,,,Other,Percentage (%),Units,Undefined,,4.518946125
2016/17,Non-sexual,,,,,,,,No qualifications,Percentage (%),Units,Undefined,,5.77209052
2016/17,Non-sexual,,,,,Long-standing illness or disability,,,,Percentage (%),Units,Undefined,,11.19542603
2016/17,Non-sexual,,,,,Limits activities,,,,Percentage (%),Units,Undefined,,11.36695241
2016/17,Non-sexual,,,,,Does not limit activities,,,,Percentage (%),Units,Undefined,,10.68507957
2016/17,Non-sexual,,,,,No long-standing illness or disability,,,,Percentage (%),Units,Undefined,,4.110021953
2016/17,Non-sexual,,,,,,"Less than £10,000",,,Percentage (%),Units,Undefined,,13.52375847
2016/17,Non-sexual,,,,,,"£10,000 to less than £20,000",,,Percentage (%),Units,Undefined,,7.504174784
2016/17,Non-sexual,,,,,,"£20,000 to less than £30,000",,,Percentage (%),Units,Undefined,,5.79704718
2016/17,Non-sexual,,,,,,"£30,000 to less than £40,000",,,Percentage (%),Units,Undefined,,5.045140302
2016/17,Non-sexual,,,,,,"£40,000 to less than £50,000",,,Percentage (%),Units,Undefined,,4.228430222
2016/17,Non-sexual,,,,,,"£50,000 or more",,,Percentage (%),Units,Undefined,,2.703346198
2016/17,Non-sexual,,,,,,No income stated or not enough information provided,,,Percentage (%),Units,Undefined,,4.806620608999999
2016/17,Non-sexual,,,,,,,North East,,Percentage (%),Units,Undefined,E12000001,5.516951787999999
2016/17,Non-sexual,,,,,,,North West,,Percentage (%),Units,Undefined,E12000002,5.475292554
2016/17,Non-sexual,,,,,,,Yorkshire and The Humber,,Percentage (%),Units,Undefined,E12000003,6.10836438
2016/17,Non-sexual,,,,,,,East Midlands,,Percentage (%),Units,Undefined,E12000004,5.646428346
2016/17,Non-sexual,,,,,,,West Midlands,,Percentage (%),Units,Undefined,E12000005,4.255535828
2016/17,Non-sexual,,,,,,,East of England,,Percentage (%),Units,Undefined,E12000006,5.5589884739999995
2016/17,Non-sexual,,,,,,,London,,Percentage (%),Units,Undefined,E12000007,2.4991138459999998
2016/17,Non-sexual,,,,,,,South East,,Percentage (%),Units,Undefined,E12000008,5.749182056
2016/17,Non-sexual,,,,,,,South West,,Percentage (%),Units,Undefined,E12000009,6.898349109
2016/17,Non-sexual,,,,,,,Wales,,Percentage (%),Units,Undefined,W92000004,6.754652027000001
2017/18,Non-sexual,,16 to 19,,,,,,,Percentage (%),Units,Undefined,,5.471395958
2017/18,Non-sexual,,20 to 24,,,,,,,Percentage (%),Units,Undefined,,9.064948824
2017/18,Non-sexual,,25 to 34,,,,,,,Percentage (%),Units,Undefined,,6.047448971000001
2017/18,Non-sexual,,35 to 44,,,,,,,Percentage (%),Units,Undefined,,5.053276104
2017/18,Non-sexual,,45 to 54,,,,,,,Percentage (%),Units,Undefined,,4.383144953
2017/18,Non-sexual,,55 to 59,,,,,,,Percentage (%),Units,Undefined,,5.579890312000001
2017/18,Non-sexual,,,White,,,,,,Percentage (%),Units,Undefined,,5.6367493820000005
2017/18,Non-sexual,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,Percentage (%),Units,Undefined,,5.885506474
2017/18,Non-sexual,,,White,Any other white background,,,,,Percentage (%),Units,Undefined,,2.899386948
2017/18,Non-sexual,,,Mixed/multiple ethnic groups,,,,,,Percentage (%),Units,Undefined,,10.275943400000001
2017/18,Non-sexual,,,Asian/Asian British,,,,,,Percentage (%),Units,Undefined,,5.283691718
2017/18,Non-sexual,,,Asian/Asian British,Indian,,,,,Percentage (%),Units,Undefined,,4.966931276
2017/18,Non-sexual,,,Asian/Asian British,Pakistani,,,,,Percentage (%),Units,Undefined,,7.052328575
2017/18,Non-sexual,,,Asian/Asian British,Any other Asian background,,,,,Percentage (%),Units,Undefined,,3.620884993
2017/18,Non-sexual,,,Black/African/Caribbean/Black British,,,,,,Percentage (%),Units,Undefined,,5.71245917
2017/18,Non-sexual,,,Black/African/Caribbean/Black British,African,,,,,Percentage (%),Units,Undefined,,3.7060980310000002
2017/18,Non-sexual,,,Black/African/Caribbean/Black British,Caribbean,,,,,Percentage (%),Units,Undefined,,10.08318705
2017/18,Non-sexual,,,Other ethnic group,,,,,,Percentage (%),Units,Undefined,,1.9892842419999999
2017/18,Non-sexual,,,,,,,,Degree or diploma,Percentage (%),Units,Undefined,,5.379362498
2017/18,Non-sexual,,,,,,,,Apprenticeship or A/AS level,Percentage (%),Units,Undefined,,6.199618874
2017/18,Non-sexual,,,,,,,,O level/GCSE,Percentage (%),Units,Undefined,,5.838586782
2017/18,Non-sexual,,,,,,,,Other,Percentage (%),Units,Undefined,,3.329286887
2017/18,Non-sexual,,,,,,,,No qualifications,Percentage (%),Units,Undefined,,6.379520224
2017/18,Non-sexual,,,,,Long-standing illness or disability,,,,Percentage (%),Units,Undefined,,11.77064464
2017/18,Non-sexual,,,,,Limits activities,,,,Percentage (%),Units,Undefined,,12.00040055
2017/18,Non-sexual,,,,,Does not limit activities,,,,Percentage (%),Units,Undefined,,10.99132535
2017/18,Non-sexual,,,,,No long-standing illness or disability,,,,Percentage (%),Units,Undefined,,4.473946700000001
2017/18,Non-sexual,,,,,,"Less than £10,000",,,Percentage (%),Units,Undefined,,14.2292516
2017/18,Non-sexual,,,,,,"£10,000 to less than £20,000",,,Percentage (%),Units,Undefined,,8.985600955
2017/18,Non-sexual,,,,,,"£20,000 to less than £30,000",,,Percentage (%),Units,Undefined,,6.033042447000001
2017/18,Non-sexual,,,,,,"£30,000 to less than £40,000",,,Percentage (%),Units,Undefined,,5.041400969
2017/18,Non-sexual,,,,,,"£40,000 to less than £50,000",,,Percentage (%),Units,Undefined,,5.165222041
2017/18,Non-sexual,,,,,,"£50,000 or more",,,Percentage (%),Units,Undefined,,3.1364053289999996
2017/18,Non-sexual,,,,,,No income stated or not enough information provided,,,Percentage (%),Units,Undefined,,4.845777698
2017/18,Non-sexual,,,,,,,North East,,Percentage (%),Units,Undefined,E12000001,4.414707152
2017/18,Non-sexual,,,,,,,North West,,Percentage (%),Units,Undefined,E12000002,6.6767917070000005
2017/18,Non-sexual,,,,,,,Yorkshire and The Humber,,Percentage (%),Units,Undefined,E12000003,8.033109049
2017/18,Non-sexual,,,,,,,East Midlands,,Percentage (%),Units,Undefined,E12000004,5.564456244
2017/18,Non-sexual,,,,,,,West Midlands,,Percentage (%),Units,Undefined,E12000005,6.12563719
2017/18,Non-sexual,,,,,,,East of England,,Percentage (%),Units,Undefined,E12000006,5.4129033070000006
2017/18,Non-sexual,,,,,,,London,,Percentage (%),Units,Undefined,E12000007,4.853604016
2017/18,Non-sexual,,,,,,,South East,,Percentage (%),Units,Undefined,E12000008,4.744744788
2017/18,Non-sexual,,,,,,,South West,,Percentage (%),Units,Undefined,E12000009,4.777591144
2017/18,Non-sexual,,,,,,,Wales,,Percentage (%),Units,Undefined,W92000004,6.2092453370000005
