Year,Series,Units,Material category,Observation status,Unit multiplier,Value
2001,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,20.3047
2002,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,18.8867
2003,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,17.4026
2004,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,19.2925
2005,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,17.2714
2006,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,18.0785
2007,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,20.5299
2008,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,15.4372
2009,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,6.2542
2010,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,9.4378
2011,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,8.9774
2012,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,9.8523
2013,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,12.6564
2014,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,14.883799999999999
2015,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,13.634
2016,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,12.1942
2017,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,11.5622
2018,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,11.2524
2019,Domestic material consumption,Metric tons,Metal ores,Normal value,Millions,13.3974
2000,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,298.0389
2001,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,303.8595
2002,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,289.7323
2003,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,283.8125
2004,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,295.0795
2005,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,284.7195
2006,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,284.1623
2007,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,289.53709999999995
2008,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,256.2828
2009,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,205.87920000000003
2010,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,203.15720000000002
2011,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,200.97670000000002
2012,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,186.8586
2013,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,198.9032
2014,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,213.5014
2015,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,209.5642
2016,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,219.9657
2017,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,221.1788
2018,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,226.40370000000001
2019,Domestic material consumption,Metric tons,Non-metallic minerals,Normal value,Millions,216.7549
2000,Domestic material consumption,Metric tons,,Normal value,Millions,738.8485
2001,Domestic material consumption,Metric tons,,Normal value,Millions,743.2789
2002,Domestic material consumption,Metric tons,,Normal value,Millions,721.972
2003,Domestic material consumption,Metric tons,,Normal value,Millions,723.0251
2004,Domestic material consumption,Metric tons,,Normal value,Millions,751.9634
2005,Domestic material consumption,Metric tons,,Normal value,Millions,732.6655
2006,Domestic material consumption,Metric tons,,Normal value,Millions,724.2632
2007,Domestic material consumption,Metric tons,,Normal value,Millions,718.9227
2008,Domestic material consumption,Metric tons,,Normal value,Millions,674.9295
2009,Domestic material consumption,Metric tons,,Normal value,Millions,591.6201
2010,Domestic material consumption,Metric tons,,Normal value,Millions,575.3487
2011,Domestic material consumption,Metric tons,,Normal value,Millions,575.5522
2012,Domestic material consumption,Metric tons,,Normal value,Millions,557.4719
2013,Domestic material consumption,Metric tons,,Normal value,Millions,572.7743
2014,Domestic material consumption,Metric tons,,Normal value,Millions,588.3881
2015,Domestic material consumption,Metric tons,,Normal value,Millions,566.5515
2016,Domestic material consumption,Metric tons,,Normal value,Millions,558.3661
2017,Domestic material consumption,Metric tons,,Normal value,Millions,569.638
2018,Domestic material consumption,Metric tons,,Normal value,Millions,565.6744
2019,Domestic material consumption,Metric tons,,Normal value,Millions,566.7899
2000,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.976305104260598
2001,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.85699853311494
2002,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.952419796374932
2003,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.8612164778773166
2004,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.900064126382952
2005,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.852854726831897
2006,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.756141038562715
2007,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.6411129000233617
2008,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.7364037250913773
2009,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.6276890932075285
2010,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.558470232756638
2011,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.6074175859121436
2012,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.4987194888692463
2013,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.648349863180555
2014,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.802928853141099
2015,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.6846292232008353
2016,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.565943538859507
2017,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.765882292746138
2018,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.6292173392107085
2019,Domestic material consumption per capita,Metric tons,Biomass,Normal value,Units,2.7554553511545463
2000,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,4.085575373475234
2001,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,4.097723587644386
2002,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,3.899702853552904
2003,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,4.096783619445367
2004,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,4.239520547364817
2005,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,4.151945012880944
2006,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,4.039325189434482
2007,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,3.9041097733454064
2008,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,3.6605304509728067
2009,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,3.3525677907493368
2010,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,3.0806576781035195
2011,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,3.045166444668808
2012,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,3.048170607564269
2013,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,2.8591659013415573
2014,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,2.6419114694806947
2015,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,2.470755889944705
2016,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,2.270210477221457
2017,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,2.204203440905694
2018,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,2.1748747470292638
2019,Domestic material consumption per capita,Metric tons,Fossil fuels,Normal value,Units,2.131533247101658
2000,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.288107040540977
2001,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.3434894947671085
2002,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.31814174375540266
2003,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.291810430302085
2004,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.32180788760515283
2005,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.28588749267627867
2006,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.2972119257565481
2007,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.33480446337456987
2008,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.24969683182708424
2009,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.10045215515985532
2010,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.15038052592425274
2011,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.14185635507353267
2012,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.1546549777937472
2013,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.19743032338458008
2014,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.23041096555442908
2015,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.20939936845985982
2016,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.18575112675845654
2017,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.17507813305735206
2018,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.1693731744525333
2019,Domestic material consumption per capita,Metric tons,Metal ores,Normal value,Units,0.20056948835872376
2000,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,5.06127761899667
2001,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,5.140314613620798
2002,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,4.880468220719524
2003,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,4.759027257427654
2004,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,4.922063525752737
2005,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,4.712863113068061
2006,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,4.671649993661528
2007,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,4.721811279768978
2008,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,4.145376312529103
2009,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,3.306739365959977
2010,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,3.237077134639281
2011,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,3.1757326304616984
2012,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,2.933184396899272
2013,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,3.1027403604680486
2014,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,3.305141410205888
2015,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,3.218616043112495
2016,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,3.3506811946017474
2017,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,3.3491525294377764
2018,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,3.4078697323947797
2019,Domestic material consumption per capita,Metric tons,Non-metallic minerals,Normal value,Units,3.244989280923637
2000,Domestic material consumption per capita,Metric tons,,Normal value,Units,12.5
2001,Domestic material consumption per capita,Metric tons,,Normal value,Units,12.6
2002,Domestic material consumption per capita,Metric tons,,Normal value,Units,12.2
2003,Domestic material consumption per capita,Metric tons,,Normal value,Units,12.1
2004,Domestic material consumption per capita,Metric tons,,Normal value,Units,12.5
2005,Domestic material consumption per capita,Metric tons,,Normal value,Units,12.1
2006,Domestic material consumption per capita,Metric tons,,Normal value,Units,11.9
2007,Domestic material consumption per capita,Metric tons,,Normal value,Units,11.7
2008,Domestic material consumption per capita,Metric tons,,Normal value,Units,10.9
2009,Domestic material consumption per capita,Metric tons,,Normal value,Units,9.5
2010,Domestic material consumption per capita,Metric tons,,Normal value,Units,9.2
2011,Domestic material consumption per capita,Metric tons,,Normal value,Units,9.1
2012,Domestic material consumption per capita,Metric tons,,Normal value,Units,8.8
2013,Domestic material consumption per capita,Metric tons,,Normal value,Units,8.9
2014,Domestic material consumption per capita,Metric tons,,Normal value,Units,9.1
2015,Domestic material consumption per capita,Metric tons,,Normal value,Units,8.7
2016,Domestic material consumption per capita,Metric tons,,Normal value,Units,8.5
2017,Domestic material consumption per capita,Metric tons,,Normal value,Units,8.6
2018,Domestic material consumption per capita,Metric tons,,Normal value,Units,8.5
2019,Domestic material consumption per capita,Metric tons,,Normal value,Units,8.485285223244228
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,53.55919860826596
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,53.83188602600904
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,53.24135029190739
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,46.96595891390481
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,42.77453456597713
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,42.71814635361604
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,41.141497884216164
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,36.63848173365824
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,43.27725601471603
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,51.013646411452775
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,50.24923086254607
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,50.018238545055546
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,49.0268718351424
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,52.794229159514344
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,53.0746618738651
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,54.4547872875228
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,58.906390467111024
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,66.93660971536104
2018,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,62.43940041954437
2019,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,Normal value,Millions,69.02352558651057
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,73.52073634647138
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,77.20976632622126
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,70.32382248462417
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,67.24740076038368
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,62.53086493732252
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,62.17049646596514
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,60.29585801655569
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,54.15923515259308
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,57.89266840408354
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,65.08635602659739
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,60.50517097817003
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,58.41559958090092
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,59.807541572555294
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,56.996797099615115
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,50.02572854685132
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,50.116599068350304
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,52.11724373061341
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,53.34352291278153
2018,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,51.64954344659921
2019,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,Normal value,Millions,53.39441974923415
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,5.184543137961442
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,6.472067492899378
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,5.7370892996168665
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,4.7899754479200425
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,4.7465097363688455
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,4.280829177157476
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,4.43654502566872
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,4.644529666107012
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,3.949049483435915
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,1.9501663030986809
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,2.9535249883509764
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,2.721238456600305
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,3.0344541709209856
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,3.935726876842755
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,4.36293060921889
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,4.2474387036687045
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,4.264290401106359
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,4.23703376419484
2018,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,4.0223222714428974
2019,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,Normal value,Millions,5.024219755838544
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,91.078691099029
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,96.8543830915334
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,88.01008530253479
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,78.11791955298675
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,72.59804171324872
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,70.56958572586403
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,69.73470357317159
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,65.50268878019827
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,65.56068839903025
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,64.19664838810942
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,63.57730263021223
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,60.92025808370159
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,57.55142029195783
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,61.852396426316325
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,62.58427237473535
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,65.28612982128274
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,76.92162036727633
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,81.05222565983097
2018,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,80.93105869388545
2019,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,Normal value,Millions,81.28623843094988
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,225.78715161168867
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,236.91811289248338
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,219.30871120010315
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,199.00891115292737
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,185.00461834873764
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,181.59592444715952
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,177.7374393470094
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,162.64364696310022
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,172.65631029789475
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,184.47724461255984
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,180.05327115061237
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,174.4619578520407
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,171.69827676037542
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,178.11409301814066
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,172.47587656311867
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,176.49939626826756
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,195.25964807311615
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,208.74707576139664
2018,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,202.20795008221344
2019,Domestic material consumption per unit of GDP,Kilograms per constant USD,,Normal value,Millions,212.5544518331731
