Year,Units,Sex,Age,Region,County,Local Authority,Disability status,Ethnicity,Economic activity,GeoCode,Value
2012,Percent,Male,75 and over,,,,,,,,30.2
2012,Percent,Male,,,,,,,,,83.5
2012,Percent,,16 to 24,,,,,,,,97.6
2012,Percent,,25 to 34,,,,,,,,96.7
2012,Percent,,35 to 44,,,,,,,,94.2
2012,Percent,,45 to 54,,,,,,,,87.8
2012,Percent,,55 to 64,,,,,,,,77.9
2012,Percent,,65 to 74,,,,,,,,56.2
2012,Percent,,75 and over,,,,,,,,22.9
2012,Percent,,,East Midlands,,Derby,,,,E06000015,73.5
2012,Percent,,,East Midlands,,East Derbyshire,,,,E12000004,77.2
2012,Percent,,,East Midlands,,Leicester,,,,E06000016,78.5
2012,Percent,,,East Midlands,,Leicestershire CC and Rutland,,,,E12000004,81.2
2012,Percent,,,East Midlands,,Lincolnshire,,,,E06000012,80.0
2012,Percent,,,East Midlands,Nottinghamshire,North Nottinghamshire,,,,E10000024,77.4
2012,Percent,,,East Midlands,,Nottingham,,,,E06000018,74.7
2012,Percent,,,East Midlands,,South and West Derbyshire,,,,E12000004,83.1
2012,Percent,,,East Midlands,Nottinghamshire,South Nottinghamshire,,,,E10000024,79.0
2012,Percent,,,East Midlands,,,,,,E12000004,79.8
2012,Percent,,,East of England,,Cambridgeshire CC,,,,E12000006,84.3
2012,Percent,,,East of England,,Hertfordshire,,,,E07000242,85.2
2012,Percent,,,East of England,,Luton,,,,E06000032,77.0
2012,Percent,,,East of England,,Peterborough,,,,E06000031,82.3
2012,Percent,,,East of England,,Southend-on-Sea,,,,E06000033,87.2
2012,Percent,,,East of England,,Suffolk,,,,E07000203,79.7
2012,Percent,,,East of England,,Thurrock,,,,E06000034,78.0
2012,Percent,,,East of England,,,,,,E12000006,83.0
2012,Percent,,,London,,,,,,E12000007,84.6
2012,Percent,,,North East,,Darlington,,,,E06000005,77.1
2012,Percent,,,North East,,County Durham,,,,E06000047,71.3
2012,Percent,,,North East,,Hartlepool and Stockton-on-Tees,,,,E12000001,75.6
2012,Percent,,,North East,,Northumberland,,,,E06000057,81.6
2012,Percent,,,North East,,Middlesbrough,,,,E06000002,77.2
2012,Percent,,,North East,,Sunderland,,,,E08000024,75.7
2012,Percent,,,North East,,Tyneside,,,,E08000022,77.3
2012,Percent,,,North East,,,,,,E12000001,76.3
2012,Percent,,,North West,,Blackburn with Darwen,,,,E06000008,74.7
2012,Percent,,,North West,,Blackpool,,,,E06000009,76.8
2012,Percent,,,North West,,Carlisle,,,,E07000028,75.8
2012,Percent,,,North West,,Allerdale,,,,E07000026,79.9
2012,Percent,,,North West,,,,,,E12000002,79.8
2012,Percent,,,Northern Ireland,,,,,,,72.3
2012,Percent,,,Scotland,,Angus and Dundee City,,,,,79.1
2012,Percent,,,Scotland,,Clackmannanshire and Fife,,,,,77.7
2012,Percent,,,Scotland,,Dumfries  Galloway,,,,,75.3
2012,Percent,,,Scotland,,East Ayrshire and North Ayrshire mainland,,,,,76.4
2012,Percent,,,Scotland,,"East Dunbartonshire, West Dunbartonshire and Helensburgh  Lomond",,,,,86.0
2012,Percent,,,Scotland,,East Lothian and Midlothian,,,,,90.7
2012,Percent,,,Scotland,,"Edinburgh, City of",,,,,86.6
2012,Percent,,,Scotland,,Falkirk,,,,S12000014,78.9
2012,Percent,,,Scotland,,Glasgow City,,,,S12000046,78.1
2012,Percent,,,Scotland,,Highlands and Islands,,,,,79.4
2012,Percent,,,Scotland,,"Inverclyde, East Renfrewshire and Renfrewshire",,,,,76.8
2012,Percent,,,Scotland,,North Lanarkshire,,,,S12000044,72.4
2012,Percent,,,Scotland,,Perth  Kinross and Stirling,,,,,78.4
2012,Percent,,,Scotland,,Scottish Borders,,,,S12000026,77.5
2012,Percent,,,Scotland,,South Ayrshire,,,,S12000028,77.6
2012,Percent,,,Scotland,,South Lanarkshire,,,,S12000029,74.9
2012,Percent,,,Scotland,,West Lothian,,,,S12000040,80.3
2012,Percent,,,Scotland,,,,,,,79.6
2012,Percent,,,South East,,Berkshire,,,,E06000037,89.3
2012,Percent,,,South East,,Brighton and Hove,,,,E06000043,86.7
2012,Percent,,,South East,Buckinghamshire,,,,,E10000002,89.6
2012,Percent,,,South East,,East Sussex CC,,,,E12000008,80.3
2012,Percent,,,South East,,Isle of Wight,,,,E06000046,76.6
2012,Percent,,,South East,,Medway,,,,E06000035,80.8
2012,Percent,,,South East,,Milton Keynes,,,,E06000042,88.4
2012,Percent,,,South East,,Oxfordshire,,,,E07000179,86.3
2012,Percent,,,South East,,Portsmouth,,,,E06000044,82.1
2012,Percent,,,South East,,Southampton,,,,E06000045,83.9
2012,Percent,,,South East,,,,,,E12000008,85.0
2012,Percent,,,South West,,"Bath and North East Somerset, North Somerset and South Gloucestershire",,,,E12000009,83.7
2012,Percent,,,South West,,Bournemouth and Poole,,,,E12000009,82.4
2012,Percent,,,South West,,"Bristol, City of",,,,E06000023,84.4
2012,Percent,,,South West,,Cornwall and Isles of Scilly,,,,E12000009,78.7
2012,Percent,,,South West,,Devon CC,,,,E12000009,82.3
2012,Percent,,,South West,,Dorset CC,,,,E12000009,80.7
2012,Percent,,,South West,,Gloucestershire,,,,E06000025,83.7
2012,Percent,,,South West,,Plymouth,,,,E06000026,84.1
2012,Percent,,,South West,,Somerset,,,,E06000024,80.3
2012,Percent,,,South West,,Swindon,,,,E06000030,83.2
2012,Percent,,,South West,,Torbay,,,,E06000027,81.7
2012,Percent,,,South West,,Wiltshire,,,,E06000054,84.3
2012,Percent,,,South West,,,,,,E12000009,82.4
2012,Percent,,,Wales,,Bridgend and Neath Port Talbot,,,,,76.8
2012,Percent,,,Wales,,Cardiff and Vale of Glamorgan,,,,,81.6
2012,Percent,,,Wales,,Central Valleys,,,,,80.5
2012,Percent,,,Wales,,Conwy and Denbighshire,,,,,77.2
2012,Percent,,,Wales,,Flintshire and Wrexham,,,,,80.8
2012,Percent,,,Wales,,Gwent,,,,W06000019,79.6
2012,Percent,,,Wales,,Gwynedd,,,,W06000002,72.6
2012,Percent,,,Wales,,Isle of Anglesey,,,,W06000001,74.6
2012,Percent,,,Wales,,Monmouthshire and Newport,,,,,76.5
2012,Percent,,,Wales,,Powys,,,,W06000023,68.1
2012,Percent,,,Wales,,Pembrokeshire,,,,W06000009,75.5
2012,Percent,,,Wales,,Swansea,,,,W06000011,77.0
2012,Percent,,,Wales,,,,,,,77.8
2012,Percent,,,West Midlands,,Birmingham,,,,E08000025,76.1
2012,Percent,,,West Midlands,,Coventry,,,,E08000026,78.2
2012,Percent,,,West Midlands,,"Herefordshire, County of",,,,E06000019,72.7
2012,Percent,,,West Midlands,,Shropshire CC,,,,E12000005,77.4
2012,Percent,,,West Midlands,,Solihull,,,,E08000029,86.5
2012,Percent,,,West Midlands,,Staffordshire CC,,,,E12000005,79.6
2012,Percent,,,West Midlands,,Stoke-on-Trent,,,,E06000021,73.3
2012,Percent,,,West Midlands,,Telford and Wrekin,,,,E06000020,74.8
2012,Percent,,,West Midlands,,Warwickshire,,,,E07000218,82.7
2012,Percent,,,West Midlands,Worcestershire,,,,,E10000034,78.8
2012,Percent,,,West Midlands,,,,,,E12000005,77.7
2012,Percent,,,Yorkshire and the Humber,,"Barnsley, Doncaster and Rotherham",,,,,74.4
2012,Percent,,,Yorkshire and the Humber,,Bradford,,,,E08000032,80.3
2012,Percent,,,Yorkshire and the Humber,,East Riding of Yorkshire,,,,E06000011,75.7
2012,Percent,,,Yorkshire and the Humber,,"Kingston upon Hull, City of",,,,E06000010,77.0
2012,Percent,,,Yorkshire and the Humber,,Leeds,,,,E08000035,79.4
2012,Percent,,,Yorkshire and the Humber,,North and North East Lincolnshire,,,,,78.0
2012,Percent,,,Yorkshire and the Humber,North Yorkshire,,,,,E10000023,80.0
2012,Percent,,,Yorkshire and the Humber,,Sheffield,,,,E08000019,81.3
2012,Percent,,,Yorkshire and the Humber,,York,,,,E06000014,89.5
2012,Percent,,,Yorkshire and the Humber,,,,,,,78.8
2012,Percent,,,,,,,Bangladeshi,,,68.6
2012,Percent,,,,,,,BlackAfricanCaribbeanBlack British,,,82.8
2012,Percent,,,,,,,Chinese,,,92.0
2012,Percent,,,,,,,Indian,,,79.6
2012,Percent,,,,,,,Mixedmultiple ethnic background,,,92.5
2012,Percent,,,,,,,Other Asian background,,,86.7
2012,Percent,,,,,,,Other ethnic group,,,86.9
2012,Percent,,,,,,,Pakistani,,,77.2
2012,Percent,,,,,,,White,,,80.7
2012,Percent,,,,,,,,Employee,,94.4
2012,Percent,,,,,,,,Government employment  training programmes,,91.6
2012,Percent,,,,,,,,Inactive,,71.5
2012,Percent,,,,,,,,Retired,,43.2
2012,Percent,,,,,,,,Self-employed,,90.9
2012,Percent,,,,,,,,Student,,98.8
2012,Percent,,,,,,,,Unemployed,,90.8
2012,Percent,,,,,,,,Unpaid family worker,,85.9
2012,Percent,,,,,,,,,,80.9
2013,Percent,Female,16 to 24,,,,,,,,98.3
2013,Percent,Female,25 to 34,,,,,,,,98.0
2013,Percent,Female,35 to 44,,,,,,,,96.0
2013,Percent,Female,45 to 54,,,,,,,,90.0
2013,Percent,Female,55 to 64,,,,,,,,80.4
2013,Percent,Female,65 to 74,,,,,,,,56.3
2013,Percent,Female,75 and over,,,,,,,,22.3
2013,Percent,Female,,,,,,,,,81.0
2013,Percent,Male,16 to 24,,,,,,,,98.3
2013,Percent,Male,25 to 34,,,,,,,,97.3
2013,Percent,Male,35 to 44,,,,,,,,95.7
2013,Percent,Male,45 to 54,,,,,,,,90.5
2013,Percent,Male,55 to 64,,,,,,,,82.2
2013,Percent,Male,65 to 74,,,,,,,,66.3
2013,Percent,Male,75 and over,,,,,,,,38.4
2013,Percent,Male,,,,,,,,,85.6
2013,Percent,,16 to 24,,,,,,,,98.3
2013,Percent,,25 to 34,,,,,,,,97.7
2013,Percent,,35 to 44,,,,,,,,95.8
2013,Percent,,45 to 54,,,,,,,,90.2
2013,Percent,,55 to 64,,,,,,,,81.3
2013,Percent,,65 to 74,,,,,,,,61.1
2013,Percent,,75 and over,,,,,,,,29.1
2013,Percent,,,East Midlands,,Derby,,,,E06000015,89.6
2013,Percent,,,East Midlands,,East Derbyshire,,,,E12000004,79.0
2013,Percent,,,East Midlands,,Leicester,,,,E06000016,80.6
2013,Percent,,,East Midlands,,Leicestershire CC and Rutland,,,,E12000004,83.1
2013,Percent,,,East Midlands,,Lincolnshire,,,,E06000012,81.4
2013,Percent,,,East Midlands,Nottinghamshire,North Nottinghamshire,,,,E10000024,77.6
2013,Percent,,,East Midlands,,Nottingham,,,,E06000018,82.9
2013,Percent,,,East Midlands,,South and West Derbyshire,,,,E12000004,84.0
2013,Percent,,,East Midlands,Nottinghamshire,South Nottinghamshire,,,,E10000024,83.5
2013,Percent,,,East Midlands,,,,,,E12000004,83.0
2013,Percent,,,East of England,,Cambridgeshire CC,,,,E12000006,84.2
2013,Percent,,,East of England,,Hertfordshire,,,,E07000242,88.1
2013,Percent,,,East of England,,Luton,,,,E06000032,91.3
2013,Percent,,,East of England,,Peterborough,,,,E06000031,76.4
2013,Percent,,,East of England,,Southend-on-Sea,,,,E06000033,82.1
2013,Percent,,,East of England,,Suffolk,,,,E07000203,82.6
2013,Percent,,,East of England,,Thurrock,,,,E06000034,87.7
2013,Percent,,,East of England,,,,,,E12000006,84.3
2013,Percent,,,London,,,,,,E12000007,87.8
2013,Percent,,,North East,,Darlington,,,,E06000005,74.4
2013,Percent,,,North East,,County Durham,,,,E06000047,77.4
2013,Percent,,,North East,,Hartlepool and Stockton-on-Tees,,,,E12000001,75.4
2013,Percent,,,North East,,Northumberland,,,,E06000057,84.3
2013,Percent,,,North East,,Middlesbrough,,,,E06000002,85.5
2013,Percent,,,North East,,Sunderland,,,,E08000024,79.7
2013,Percent,,,North East,,Tyneside,,,,E08000022,78.7
2013,Percent,,,North East,,,,,,E12000001,79.4
2013,Percent,,,North West,,Blackburn with Darwen,,,,E06000008,83.1
2013,Percent,,,North West,,Blackpool,,,,E06000009,79.1
2013,Percent,,,North West,,Carlisle,,,,E07000028,81.6
2013,Percent,,,North West,,Allerdale,,,,E07000026,76.1
2013,Percent,,,North West,,,,,,E12000002,81.9
2013,Percent,,,Northern Ireland,,,,,,,77.3
2013,Percent,,,Scotland,,Angus and Dundee City,,,,,80.1
2013,Percent,,,Scotland,,Clackmannanshire and Fife,,,,,83.1
2013,Percent,,,Scotland,,Dumfries  Galloway,,,,,81.7
2013,Percent,,,Scotland,,East Ayrshire and North Ayrshire mainland,,,,,77.5
2013,Percent,,,Scotland,,"East Dunbartonshire, West Dunbartonshire and Helensburgh  Lomond",,,,,84.1
2013,Percent,,,Scotland,,East Lothian and Midlothian,,,,,86.0
2013,Percent,,,Scotland,,"Edinburgh, City of",,,,,83.8
2013,Percent,,,Scotland,,Falkirk,,,,S12000014,91.4
2013,Percent,,,Scotland,,Glasgow City,,,,S12000046,80.0
2013,Percent,,,Scotland,,Highlands and Islands,,,,,80.5
2013,Percent,,,Scotland,,"Inverclyde, East Renfrewshire and Renfrewshire",,,,,82.4
2013,Percent,,,Scotland,,North Lanarkshire,,,,S12000044,72.9
2013,Percent,,,Scotland,,Perth  Kinross and Stirling,,,,,87.6
2013,Percent,,,Scotland,,Scottish Borders,,,,S12000026,86.3
2013,Percent,,,Scotland,,South Ayrshire,,,,S12000028,83.7
2013,Percent,,,Scotland,,South Lanarkshire,,,,S12000029,86.5
2013,Percent,,,Scotland,,West Lothian,,,,S12000040,88.8
2013,Percent,,,Scotland,,,,,,,82.6
2013,Percent,,,South East,,Berkshire,,,,E06000037,89.2
2013,Percent,,,South East,,Brighton and Hove,,,,E06000043,91.1
2013,Percent,,,South East,Buckinghamshire,,,,,E10000002,90.3
2013,Percent,,,South East,,East Sussex CC,,,,E12000008,80.3
2013,Percent,,,South East,,Isle of Wight,,,,E06000046,85.9
2013,Percent,,,South East,,Medway,,,,E06000035,83.7
2013,Percent,,,South East,,Milton Keynes,,,,E06000042,89.0
2013,Percent,,,South East,,Oxfordshire,,,,E07000179,87.0
2013,Percent,,,South East,,Portsmouth,,,,E06000044,83.2
2013,Percent,,,South East,,Southampton,,,,E06000045,86.2
2013,Percent,,,South East,,,,,,E12000008,86.6
2013,Percent,,,South West,,"Bath and North East Somerset, North Somerset and South Gloucestershire",,,,E12000009,86.1
2013,Percent,,,South West,,Bournemouth and Poole,,,,E12000009,79.2
2013,Percent,,,South West,,"Bristol, City of",,,,E06000023,85.0
2013,Percent,,,South West,,Cornwall and Isles of Scilly,,,,E12000009,81.6
2013,Percent,,,South West,,Devon CC,,,,E12000009,83.9
2013,Percent,,,South West,,Dorset CC,,,,E12000009,78.6
2013,Percent,,,South West,,Gloucestershire,,,,E06000025,83.9
2013,Percent,,,South West,,Plymouth,,,,E06000026,83.5
2013,Percent,,,South West,,Somerset,,,,E06000024,82.0
2013,Percent,,,South West,,Swindon,,,,E06000030,89.5
2013,Percent,,,South West,,Torbay,,,,E06000027,84.1
2013,Percent,,,South West,,Wiltshire,,,,E06000054,88.6
2013,Percent,,,South West,,,,,,E12000009,83.7
2013,Percent,,,Wales,,Bridgend and Neath Port Talbot,,,,,78.8
2013,Percent,,,Wales,,Cardiff and Vale of Glamorgan,,,,,84.7
2013,Percent,,,Wales,,Central Valleys,,,,,74.3
2013,Percent,,,Wales,,Conwy and Denbighshire,,,,,78.8
2013,Percent,,,Wales,,Flintshire and Wrexham,,,,,80.3
2013,Percent,,,Wales,,Gwent,,,,W06000019,74.7
2013,Percent,,,Wales,,Gwynedd,,,,W06000002,84.6
2013,Percent,,,Wales,,Isle of Anglesey,,,,W06000001,68.8
2013,Percent,,,Wales,,Monmouthshire and Newport,,,,,85.4
2013,Percent,,,Wales,,Powys,,,,W06000023,79.9
2013,Percent,,,Wales,,Pembrokeshire,,,,W06000009,72.8
2013,Percent,,,Wales,,Swansea,,,,W06000011,83.6
2013,Percent,,,Wales,,,,,,,79.1
2013,Percent,,,West Midlands,,Birmingham,,,,E08000025,77.4
2013,Percent,,,West Midlands,,Coventry,,,,E08000026,78.8
2013,Percent,,,West Midlands,,"Herefordshire, County of",,,,E06000019,72.0
2013,Percent,,,West Midlands,,Shropshire CC,,,,E12000005,80.3
2013,Percent,,,West Midlands,,Solihull,,,,E08000029,83.5
2013,Percent,,,West Midlands,,Staffordshire CC,,,,E12000005,82.2
2013,Percent,,,West Midlands,,Stoke-on-Trent,,,,E06000021,73.8
2013,Percent,,,West Midlands,,Telford and Wrekin,,,,E06000020,87.9
2013,Percent,,,West Midlands,,Warwickshire,,,,E07000218,80.4
2013,Percent,,,West Midlands,Worcestershire,,,,,E10000034,85.7
2013,Percent,,,West Midlands,,,,,,E12000005,79.6
2013,Percent,,,Yorkshire and the Humber,,"Barnsley, Doncaster and Rotherham",,,,,79.2
2013,Percent,,,Yorkshire and the Humber,,Bradford,,,,E08000032,83.8
2013,Percent,,,Yorkshire and the Humber,,East Riding of Yorkshire,,,,E06000011,83.9
2013,Percent,,,Yorkshire and the Humber,,"Kingston upon Hull, City of",,,,E06000010,80.4
2013,Percent,,,Yorkshire and the Humber,,Leeds,,,,E08000035,82.3
2013,Percent,,,Yorkshire and the Humber,,North and North East Lincolnshire,,,,,78.2
2013,Percent,,,Yorkshire and the Humber,North Yorkshire,,,,,E10000023,82.7
2013,Percent,,,Yorkshire and the Humber,,Sheffield,,,,E08000019,82.1
2013,Percent,,,Yorkshire and the Humber,,York,,,,E06000014,91.8
2013,Percent,,,Yorkshire and the Humber,,,,,,,82.4
2013,Percent,,,,,,,Bangladeshi,,,82.5
2013,Percent,,,,,,,BlackAfricanCaribbeanBlack British,,,86.2
2013,Percent,,,,,,,Chinese,,,93.6
2013,Percent,,,,,,,Indian,,,84.2
2013,Percent,,,,,,,Mixedmultiple ethnic background,,,95.1
2013,Percent,,,,,,,Other Asian background,,,91.3
2013,Percent,,,,,,,Other ethnic group,,,87.9
2013,Percent,,,,,,,Pakistani,,,79.5
2013,Percent,,,,,,,White,,,82.9
2013,Percent,,,,,,,,Employee,,95.6
2013,Percent,,,,,,,,Government employment  training programmes,,92.2
2013,Percent,,,,,,,,Inactive,,75.6
2013,Percent,,,,,,,,Retired,,48.1
2013,Percent,,,,,,,,Self-employed,,92.8
2013,Percent,,,,,,,,Student,,99.0
2013,Percent,,,,,,,,Unemployed,,92.6
2013,Percent,,,,,,,,Unpaid family worker,,83.4
2013,Percent,,,,,,,,,,83.3
2014,Percent,Female,16 to 24,,,,,,,,99.0
2014,Percent,Female,25 to 34,,,,,,,,98.4
2014,Percent,Female,35 to 44,,,,,,,,96.6
2014,Percent,Female,45 to 54,,,,,,,,92.6
2014,Percent,Female,55 to 64,,,,,,,,83.0
2014,Percent,Female,65 to 74,,,,,,,,62.3
2014,Percent,Female,75 and over,,,,,,,,25.1
2014,Percent,Female,,,,,,,,,83.0
2014,Percent,Male,16 to 24,,,,,,,,98.7
2014,Percent,Male,25 to 34,,,,,,,,98.3
2014,Percent,Male,35 to 44,,,,,,,,96.7
2014,Percent,Male,45 to 54,,,,,,,,91.9
2014,Percent,Male,55 to 64,,,,,,,,85.4
2014,Percent,Male,65 to 74,,,,,,,,68.9
2014,Percent,Male,75 and over,,,,,,,,41.1
2014,Percent,Male,,,,,,,,,87.1
2014,Percent,,16 to 24,,,,Equality Act Disabled,,,,95.7
2014,Percent,,16 to 24,,,,Not Equality Act Disabled,,,,99.2
2014,Percent,,16 to 24,,,,,,,,98.9
2014,Percent,,25 to 34,,,,Equality Act Disabled,,,,94.0
2014,Percent,,25 to 34,,,,Not Equality Act Disabled,,,,98.8
2014,Percent,,25 to 34,,,,,,,,98.3
2014,Percent,,35 to 44,,,,Equality Act Disabled,,,,89.9
2014,Percent,,35 to 44,,,,Not Equality Act Disabled,,,,97.9
2014,Percent,,35 to 44,,,,,,,,96.7
2014,Percent,,45 to 54,,,,Equality Act Disabled,,,,80.9
2014,Percent,,45 to 54,,,,Not Equality Act Disabled,,,,95.0
2014,Percent,,45 to 54,,,,,,,,92.3
2014,Percent,,55 to 64,,,,Equality Act Disabled,,,,72.3
2014,Percent,,55 to 64,,,,Not Equality Act Disabled,,,,88.9
2014,Percent,,55 to 64,,,,,,,,84.2
2014,Percent,,65 to 74,,,,Equality Act Disabled,,,,55.4
2014,Percent,,65 to 74,,,,Not Equality Act Disabled,,,,71.2
2014,Percent,,65 to 74,,,,,,,,65.5
2014,Percent,,75 and over,,,,Equality Act Disabled,,,,25.8
2014,Percent,,75 and over,,,,Not Equality Act Disabled,,,,39.3
2014,Percent,,75 and over,,,,,,,,31.9
2014,Percent,,,East Midlands,,Derby,,,,E06000015,81.9
2014,Percent,,,East Midlands,,East Derbyshire,,,,E12000004,83.9
2014,Percent,,,East Midlands,,Leicester,,,,E06000016,84.1
2014,Percent,,,East Midlands,,Leicestershire CC and Rutland,,,,E12000004,82.1
2014,Percent,,,East Midlands,,Lincolnshire,,,,E06000012,80.2
2014,Percent,,,East Midlands,Nottinghamshire,North Nottinghamshire,,,,E10000024,85.4
2014,Percent,,,East Midlands,,Nottingham,,,,E06000018,74.4
2014,Percent,,,East Midlands,,South and West Derbyshire,,,,E12000004,85.9
2014,Percent,,,East Midlands,Nottinghamshire,South Nottinghamshire,,,,E10000024,85.7
2014,Percent,,,East Midlands,,,,,,E12000004,82.9
2014,Percent,,,East of England,,Cambridgeshire CC,,,,E12000006,91.7
2014,Percent,,,East of England,,Hertfordshire,,,,E07000242,90.6
2014,Percent,,,East of England,,Luton,,,,E06000032,86.1
2014,Percent,,,East of England,,Peterborough,,,,E06000031,88.8
2014,Percent,,,East of England,,Southend-on-Sea,,,,E06000033,90.7
2014,Percent,,,East of England,,Suffolk,,,,E07000203,82.4
2014,Percent,,,East of England,,Thurrock,,,,E06000034,92.0
2014,Percent,,,East of England,,,,,,E12000006,87.0
2014,Percent,,,London,,,,,,E12000007,88.3
2014,Percent,,,North East,,Darlington,,,,E06000005,85.2
2014,Percent,,,North East,,County Durham,,,,E06000047,78.9
2014,Percent,,,North East,,Hartlepool and Stockton-on-Tees,,,,E12000001,78.9
2014,Percent,,,North East,,Northumberland,,,,E06000057,79.5
2014,Percent,,,North East,,Middlesbrough,,,,E06000002,85.5
2014,Percent,,,North East,,Sunderland,,,,E08000024,78.2
2014,Percent,,,North East,,Tyneside,,,,E08000022,83.4
2014,Percent,,,North East,,,,,,E12000001,81.3
2014,Percent,,,North West,,Blackburn with Darwen,,,,E06000008,78.6
2014,Percent,,,North West,,Blackpool,,,,E06000009,83.7
2014,Percent,,,North West,,Carlisle,,,,E07000028,84.6
2014,Percent,,,North West,,Allerdale,,,,E07000026,85.1
2014,Percent,,,North West,,,,,,E12000002,83.7
2014,Percent,,,Northern Ireland,,,,,,,77.4
2014,Percent,,,Scotland,,Angus and Dundee City,,,,,89.4
2014,Percent,,,Scotland,,Clackmannanshire and Fife,,,,,85.5
2014,Percent,,,Scotland,,Dumfries  Galloway,,,,,70.0
2014,Percent,,,Scotland,,East Ayrshire and North Ayrshire mainland,,,,,85.6
2014,Percent,,,Scotland,,"East Dunbartonshire, West Dunbartonshire and Helensburgh  Lomond",,,,,89.4
2014,Percent,,,Scotland,,East Lothian and Midlothian,,,,,83.5
2014,Percent,,,Scotland,,"Edinburgh, City of",,,,,86.5
2014,Percent,,,Scotland,,Falkirk,,,,S12000014,92.1
2014,Percent,,,Scotland,,Glasgow City,,,,S12000046,80.6
2014,Percent,,,Scotland,,Highlands and Islands,,,,,86.0
2014,Percent,,,Scotland,,"Inverclyde, East Renfrewshire and Renfrewshire",,,,,81.9
2014,Percent,,,Scotland,,North Lanarkshire,,,,S12000044,84.8
2014,Percent,,,Scotland,,Perth  Kinross and Stirling,,,,,86.5
2014,Percent,,,Scotland,,Scottish Borders,,,,S12000026,85.4
2014,Percent,,,Scotland,,South Ayrshire,,,,S12000028,80.3
2014,Percent,,,Scotland,,South Lanarkshire,,,,S12000029,81.6
2014,Percent,,,Scotland,,West Lothian,,,,S12000040,91.2
2014,Percent,,,Scotland,,,,,,,85.1
2014,Percent,,,South East,,Berkshire,,,,E06000037,89.9
