Year,Series,Age,Disposable income decile,Health product or service,Health product or service category,Health product or service sub-category,Tenure category,Tenure sub-category,Occupation category,Observation status,Unit multiplier,Unit measure,Value
2015/16,Average weekly household expenditure on health,,,,,,Private rented,,,Undefined,Units,GBP (£),3.6
2014/15,Average weekly household expenditure on health,,,,,,,,Large employers and higher managerial,Undefined,Units,GBP (£),10.2
2014/15,Average weekly household expenditure on health,,,,,,,,Higher professional,Undefined,Units,GBP (£),9.3
2014/15,Average weekly household expenditure on health,,,,,,,,Lower managerial and professional,Undefined,Units,GBP (£),7.8
2014/15,Average weekly household expenditure on health,,,,,,,,Intermediate occupations,Undefined,Units,GBP (£),4.2
2014/15,Average weekly household expenditure on health,,,,,,,,Small employers,Undefined,Units,GBP (£),6.6
2014/15,Average weekly household expenditure on health,,,,,,,,Lower supervisory,Undefined,Units,GBP (£),6.1
2014/15,Average weekly household expenditure on health,,,,,,,,Semiroutine,Undefined,Units,GBP (£),4.6
2014/15,Average weekly household expenditure on health,,,,,,,,Routine,Undefined,Units,GBP (£),4.2
2014/15,Average weekly household expenditure on health,,,,,,,,Long term unemployed,Undefined,Units,GBP (£),1.9
2014/15,Average weekly household expenditure on health,,,,,,,,Students,Undefined,Units,GBP (£),2.7
2014/15,Average weekly household expenditure on health,,,,,,,,Occupation not stated,Undefined,Units,GBP (£),8.5
2015/16,Average weekly household expenditure on health,,,,,,,,Large employers and higher managerial,Undefined,Units,GBP (£),10.1
2015/16,Average weekly household expenditure on health,,,,,,,,Higher professional,Undefined,Units,GBP (£),11.2
2015/16,Average weekly household expenditure on health,,,,,,,,Lower managerial and professional,Undefined,Units,GBP (£),8.8
2015/16,Average weekly household expenditure on health,,,,,,,,Intermediate occupations,Undefined,Units,GBP (£),6.4
2015/16,Average weekly household expenditure on health,,,,,,,,Small employers,Undefined,Units,GBP (£),7.7
2015/16,Average weekly household expenditure on health,,,,,,,,Lower supervisory,Undefined,Units,GBP (£),4.8
2015/16,Average weekly household expenditure on health,,,,,,,,Semiroutine,Undefined,Units,GBP (£),2.9
2015/16,Average weekly household expenditure on health,,,,,,,,Routine,Undefined,Units,GBP (£),3.6
2015/16,Average weekly household expenditure on health,,,,,,,,Long term unemployed,Undefined,Units,GBP (£),1.7
2015/16,Average weekly household expenditure on health,,,,,,,,Students,Undefined,Units,GBP (£),2.2
2015/16,Average weekly household expenditure on health,,,,,,,,Occupation not stated,Undefined,Units,GBP (£),7.7
2014/15,Average weekly household expenditure on health,29 and under,,,,,,,,Undefined,Units,GBP (£),3.1
2014/15,Average weekly household expenditure on health,30 to 49,,,,,,,,Undefined,Units,GBP (£),5.4
2014/15,Average weekly household expenditure on health,50 to 64,,,,,,,,Undefined,Units,GBP (£),8.1
2014/15,Average weekly household expenditure on health,65 to 74,,,,,,,,Undefined,Units,GBP (£),11.1
2014/15,Average weekly household expenditure on health,75 and over,,,,,,,,Undefined,Units,GBP (£),7.6
2014/15,Average weekly household expenditure on health,29 and under,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),1.8
2014/15,Average weekly household expenditure on health,30 to 49,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),3.5
2014/15,Average weekly household expenditure on health,50 to 64,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),5.4
2014/15,Average weekly household expenditure on health,65 to 74,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),5.4
2014/15,Average weekly household expenditure on health,75 and over,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),3.6
2014/15,Average weekly household expenditure on health,29 and under,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),1.3
2014/15,Average weekly household expenditure on health,30 to 49,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),2.1
2014/15,Average weekly household expenditure on health,50 to 64,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),3.4
2014/15,Average weekly household expenditure on health,65 to 74,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),2.8
2014/15,Average weekly household expenditure on health,75 and over,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),2.2
2014/15,Average weekly household expenditure on health,29 and under,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),0.5
2014/15,Average weekly household expenditure on health,30 to 49,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),1.4
2014/15,Average weekly household expenditure on health,50 to 64,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),2.0
2014/15,Average weekly household expenditure on health,65 to 74,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),2.6
2014/15,Average weekly household expenditure on health,75 and over,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),1.4
2014/15,Average weekly household expenditure on health,29 and under,,Hospital services,,,,,,Undefined,Units,GBP (£),1.3
2014/15,Average weekly household expenditure on health,30 to 49,,Hospital services,,,,,,Undefined,Units,GBP (£),1.9
2014/15,Average weekly household expenditure on health,50 to 64,,Hospital services,,,,,,Undefined,Units,GBP (£),2.7
2014/15,Average weekly household expenditure on health,65 to 74,,Hospital services,,,,,,Undefined,Units,GBP (£),5.7
2014/15,Average weekly household expenditure on health,75 and over,,Hospital services,,,,,,Undefined,Units,GBP (£),4.0
2015/16,Average weekly household expenditure on health,29 and under,,,,,,,,Undefined,Units,GBP (£),2.5
2015/16,Average weekly household expenditure on health,30 to 49,,,,,,,,Undefined,Units,GBP (£),5.9
2015/16,Average weekly household expenditure on health,50 to 64,,,,,,,,Undefined,Units,GBP (£),9.1
2015/16,Average weekly household expenditure on health,65 to 74,,,,,,,,Undefined,Units,GBP (£),11.2
2015/16,Average weekly household expenditure on health,75 and over,,,,,,,,Undefined,Units,GBP (£),6.0
2015/16,Average weekly household expenditure on health,29 and under,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),2.0
2015/16,Average weekly household expenditure on health,30 to 49,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),3.3
2015/16,Average weekly household expenditure on health,50 to 64,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),3.8
2015/16,Average weekly household expenditure on health,65 to 74,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),7.0
2015/16,Average weekly household expenditure on health,75 and over,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),2.8
2015/16,Average weekly household expenditure on health,29 and under,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),0.9
2015/16,Average weekly household expenditure on health,30 to 49,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),2.1
2015/16,Average weekly household expenditure on health,50 to 64,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),2.1
2015/16,Average weekly household expenditure on health,65 to 74,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),3.9
2015/16,Average weekly household expenditure on health,75 and over,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),1.8
2015/16,Average weekly household expenditure on health,29 and under,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),1.1
2015/16,Average weekly household expenditure on health,30 to 49,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),1.2
2015/16,Average weekly household expenditure on health,50 to 64,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),1.7
2015/16,Average weekly household expenditure on health,65 to 74,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),3.1
2015/16,Average weekly household expenditure on health,75 and over,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),1.0
2015/16,Average weekly household expenditure on health,29 and under,,Hospital services,,,,,,Undefined,Units,GBP (£),0.6
2015/16,Average weekly household expenditure on health,30 to 49,,Hospital services,,,,,,Undefined,Units,GBP (£),2.6
2015/16,Average weekly household expenditure on health,50 to 64,,Hospital services,,,,,,Undefined,Units,GBP (£),5.2
2015/16,Average weekly household expenditure on health,65 to 74,,Hospital services,,,,,,Undefined,Units,GBP (£),4.3
2015/16,Average weekly household expenditure on health,75 and over,,Hospital services,,,,,,Undefined,Units,GBP (£),3.2
2016/17,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),7.3
2016/17,Average weekly household expenditure on health,,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),3.7
2016/17,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),2.3
2016/17,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,National Health Service (NHS) prescription charges and payments,,,,Undefined,Units,GBP (£),0.2
2016/17,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Medicines and medical goods (not NHS),,,,Undefined,Units,GBP (£),1.6
2016/17,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Other medical products (plasters condoms hot water bottles),,,,Undefined,Units,GBP (£),0.2
2016/17,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup),,,,Undefined,Units,GBP (£),0.2
2016/17,Average weekly household expenditure on health,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),1.5
2016/17,Average weekly household expenditure on health,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Purchase of spectacles lenses prescription sunglasses,,,,Undefined,Units,GBP (£),1.5
2016/17,Average weekly household expenditure on health,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Accessories or repairs to spectacles or lenses,,,,Undefined,Units,GBP (£),0.0
2016/17,Average weekly household expenditure on health,,,Hospital services,,,,,,Undefined,Units,GBP (£),3.6
2016/17,Average weekly household expenditure on health,,,Hospital services,Outpatient services,,,,,Undefined,Units,GBP (£),3.4
2016/17,Average weekly household expenditure on health,,,Hospital services,Outpatient services,National Health Service (NHS) medical optical dental and medical auxiliary services,,,,Undefined,Units,GBP (£),1.2
2016/17,Average weekly household expenditure on health,,,Hospital services,Outpatient services,Private medical optical dental and medical auxiliary services,,,,Undefined,Units,GBP (£),2.2
2016/17,Average weekly household expenditure on health,,,,,,Owner occupied,Owned outright,,Undefined,Units,GBP (£),10.0
2016/17,Average weekly household expenditure on health,,,,,,Owner occupied,Owner occupied buying with a mortgage,,Undefined,Units,GBP (£),8.1
2016/17,Average weekly household expenditure on health,,,,,,Owner occupied,,,Undefined,Units,GBP (£),9.1
2016/17,Average weekly household expenditure on health,,,,,,Social rented,Council,,Undefined,Units,GBP (£),1.8
2016/17,Average weekly household expenditure on health,,,,,,Social rented,Registered social landlord,,Undefined,Units,GBP (£),4.2
2016/17,Average weekly household expenditure on health,,,,,,Social rented,,,Undefined,Units,GBP (£),3.0
2016/17,Average weekly household expenditure on health,,,,,,Private rented,Rent free,,Undefined,Units,GBP (£),7.0
2016/17,Average weekly household expenditure on health,,,,,,Private rented,Rent paid unfurnished,,Undefined,Units,GBP (£),4.5
2016/17,Average weekly household expenditure on health,,,,,,Private rented,Rent paid furnished,,Undefined,Units,GBP (£),3.2
2016/17,Average weekly household expenditure on health,,,,,,Private rented,,,Undefined,Units,GBP (£),4.4
2016/17,Average weekly household expenditure on health,,,,,,,,Large employers and higher managerial,Undefined,Units,GBP (£),8.9
2016/17,Average weekly household expenditure on health,,,,,,,,Higher professional,Undefined,Units,GBP (£),9.9
2016/17,Average weekly household expenditure on health,,,,,,,,Lower managerial and professional,Undefined,Units,GBP (£),8.6
2016/17,Average weekly household expenditure on health,,,,,,,,Intermediate occupations,Undefined,Units,GBP (£),6.3
2016/17,Average weekly household expenditure on health,,,,,,,,Small employers,Undefined,Units,GBP (£),6.5
2016/17,Average weekly household expenditure on health,,,,,,,,Lower supervisory,Undefined,Units,GBP (£),6.7
2016/17,Average weekly household expenditure on health,,,,,,,,Semiroutine,Undefined,Units,GBP (£),4.4
2016/17,Average weekly household expenditure on health,,,,,,,,Routine,Undefined,Units,GBP (£),3.7
2016/17,Average weekly household expenditure on health,,,,,,,,Long term unemployed,Undefined,Units,GBP (£),3.7
2016/17,Average weekly household expenditure on health,,,,,,,,Students,Undefined,Units,GBP (£),5.2
2016/17,Average weekly household expenditure on health,,,,,,,,Occupation not stated,Undefined,Units,GBP (£),7.7
2016/17,Average weekly household expenditure on health,29 and under,,,,,,,,Undefined,Units,GBP (£),2.6
2016/17,Average weekly household expenditure on health,30 to 49,,,,,,,,Undefined,Units,GBP (£),6.2
2016/17,Average weekly household expenditure on health,50 to 64,,,,,,,,Undefined,Units,GBP (£),9.4
2016/17,Average weekly household expenditure on health,65 to 74,,,,,,,,Undefined,Units,GBP (£),9.4
2016/17,Average weekly household expenditure on health,75 and over,,,,,,,,Undefined,Units,GBP (£),7.0
2016/17,Average weekly household expenditure on health,29 and under,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),1.9
2016/17,Average weekly household expenditure on health,30 to 49,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),3.4
2016/17,Average weekly household expenditure on health,50 to 64,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),4.6
2016/17,Average weekly household expenditure on health,65 to 74,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),4.5
2016/17,Average weekly household expenditure on health,75 and over,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),3.4
2016/17,Average weekly household expenditure on health,29 and under,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),1.1
2016/17,Average weekly household expenditure on health,30 to 49,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),2.1
2016/17,Average weekly household expenditure on health,50 to 64,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),3.0
2016/17,Average weekly household expenditure on health,65 to 74,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),2.3
2016/17,Average weekly household expenditure on health,75 and over,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),1.9
2016/17,Average weekly household expenditure on health,29 and under,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),0.8
2016/17,Average weekly household expenditure on health,30 to 49,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),1.3
2016/17,Average weekly household expenditure on health,50 to 64,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),1.6
2016/17,Average weekly household expenditure on health,65 to 74,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),2.2
2016/17,Average weekly household expenditure on health,75 and over,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),1.5
2016/17,Average weekly household expenditure on health,29 and under,,Hospital services,,,,,,Undefined,Units,GBP (£),0.8
2016/17,Average weekly household expenditure on health,30 to 49,,Hospital services,,,,,,Undefined,Units,GBP (£),2.8
2016/17,Average weekly household expenditure on health,50 to 64,,Hospital services,,,,,,Undefined,Units,GBP (£),4.8
2016/17,Average weekly household expenditure on health,65 to 74,,Hospital services,,,,,,Undefined,Units,GBP (£),4.9
2016/17,Average weekly household expenditure on health,75 and over,,Hospital services,,,,,,Undefined,Units,GBP (£),3.6
2017/18,Average weekly household expenditure on health,,,,,,,,,Undefined,Units,GBP (£),6.9
2017/18,Average weekly household expenditure on health,,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),3.8
2017/18,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Undefined,Units,GBP (£),2.1
2017/18,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,National Health Service (NHS) prescription charges and payments,,,,Undefined,Units,GBP (£),0.3
2017/18,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Medicines and medical goods (not NHS),,,,Undefined,Units,GBP (£),1.6
2017/18,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Other medical products (plasters condoms hot water bottles),,,,Undefined,Units,GBP (£),0.2
2017/18,Average weekly household expenditure on health,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup),,,,Undefined,Units,GBP (£),0.1
2017/18,Average weekly household expenditure on health,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Undefined,Units,GBP (£),1.7
2017/18,Average weekly household expenditure on health,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Purchase of spectacles lenses prescription sunglasses,,,,Undefined,Units,GBP (£),1.7
2017/18,Average weekly household expenditure on health,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Accessories or repairs to spectacles or lenses,,,,Undefined,Units,GBP (£),0.0
2017/18,Average weekly household expenditure on health,,,Hospital services,,,,,,Undefined,Units,GBP (£),3.1
2017/18,Average weekly household expenditure on health,,,Hospital services,Outpatient services,,,,,Undefined,Units,GBP (£),2.9
2017/18,Average weekly household expenditure on health,,,Hospital services,Outpatient services,National Health Service (NHS) medical optical dental and medical auxiliary services,,,,Undefined,Units,GBP (£),0.9
2017/18,Average weekly household expenditure on health,,,Hospital services,Outpatient services,Private medical optical dental and medical auxiliary services,,,,Undefined,Units,GBP (£),2.0
2017/18,Average weekly household expenditure on health,,,,,,Owner occupied,Owned outright,,Undefined,Units,GBP (£),9.3
2017/18,Average weekly household expenditure on health,,,,,,Owner occupied,Owner occupied buying with a mortgage,,Undefined,Units,GBP (£),8.6
2017/18,Average weekly household expenditure on health,,,,,,Owner occupied,,,Undefined,Units,GBP (£),8.9
2017/18,Average weekly household expenditure on health,,,,,,Social rented,Council,,Undefined,Units,GBP (£),1.6
2017/18,Average weekly household expenditure on health,,,,,,Social rented,Registered social landlord,,Undefined,Units,GBP (£),1.8
2017/18,Average weekly household expenditure on health,,,,,,Social rented,,,Undefined,Units,GBP (£),1.7
2017/18,Average weekly household expenditure on health,,,,,,Private rented,Rent free,,Undefined,Units,GBP (£),10.4
2017/18,Average weekly household expenditure on health,,,,,,Private rented,Rent paid unfurnished,,Undefined,Units,GBP (£),2.9
2017/18,Average weekly household expenditure on health,,,,,,Private rented,Rent paid furnished,,Undefined,Units,GBP (£),6.4
2017/18,Average weekly household expenditure on health,,,,,,Private rented,,,Undefined,Units,GBP (£),4.0
2017/18,Average weekly household expenditure on health,,,,,,,,Large employers and higher managerial,Undefined,Units,GBP (£),8.9
2017/18,Average weekly household expenditure on health,,,,,,,,Higher professional,Undefined,Units,GBP (£),11.0
2017/18,Average weekly household expenditure on health,,,,,,,,Lower managerial and professional,Undefined,Units,GBP (£),7.2
2017/18,Average weekly household expenditure on health,,,,,,,,Intermediate occupations,Undefined,Units,GBP (£),8.0
2017/18,Average weekly household expenditure on health,,,,,,,,Small employers,Undefined,Units,GBP (£),6.6
2017/18,Average weekly household expenditure on health,,,,,,,,Lower supervisory,Undefined,Units,GBP (£),7.2
2017/18,Average weekly household expenditure on health,,,,,,,,Semiroutine,Undefined,Units,GBP (£),3.9
2017/18,Average weekly household expenditure on health,,,,,,,,Routine,Undefined,Units,GBP (£),2.7
2017/18,Average weekly household expenditure on health,,,,,,,,Long term unemployed,Undefined,Units,GBP (£),1.6
2017/18,Average weekly household expenditure on health,,,,,,,,Students,Undefined,Units,GBP (£),2.5
2017/18,Average weekly household expenditure on health,,,,,,,,Occupation not stated,Undefined,Units,GBP (£),6.9
2017/18,Average weekly household expenditure on health,29 and under,,,,,,,,Undefined,Units,GBP (£),3.6
2017/18,Average weekly household expenditure on health,30 to 49,,,,,,,,Undefined,Units,GBP (£),6.2
2017/18,Average weekly household expenditure on health,50 to 64,,,,,,,,Undefined,Units,GBP (£),7.9
2017/18,Average weekly household expenditure on health,65 to 74,,,,,,,,Undefined,Units,GBP (£),8.3
2017/18,Average weekly household expenditure on health,75 and over,,,,,,,,Undefined,Units,GBP (£),7.3
2017/18,Average weekly household expenditure on health,29 and under,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),1.8
2017/18,Average weekly household expenditure on health,30 to 49,,Medical products appliances and equipment,,,,,,Undefined,Units,GBP (£),3.5
