Year,Age,Dispoable income decile,Health product or service,Health product or service category,Health product or service sub-category,Tenure category,Tenure sub-category,Occupation category,Observation status,Unit multiplier,Unit measure,Value
2015/16,,,,,,,,Large employers and higher managerial,Normal value,Units,GBP (£),10.1
2015/16,,,,,,,,Higher professional,Normal value,Units,GBP (£),11.2
2015/16,,,,,,,,Lower managerial and professional,Normal value,Units,GBP (£),8.8
2015/16,,,,,,,,Intermediate occupations,Normal value,Units,GBP (£),6.4
2015/16,,,,,,,,Small employers,Normal value,Units,GBP (£),7.7
2015/16,,,,,,,,Lower supervisory,Normal value,Units,GBP (£),4.8
2015/16,,,,,,,,Semiroutine,Normal value,Units,GBP (£),2.9
2015/16,,,,,,,,Routine,Normal value,Units,GBP (£),3.6
2015/16,,,,,,,,Long term unemployed,Normal value,Units,GBP (£),1.7
2015/16,,,,,,,,Students,Normal value,Units,GBP (£),2.2
2015/16,,,,,,,,Occupation not stated,Normal value,Units,GBP (£),7.7
2014/15,29 and under,,,,,,,,Normal value,Units,GBP (£),3.1
2014/15,30 to 49,,,,,,,,Normal value,Units,GBP (£),5.4
2014/15,50 to 64,,,,,,,,Normal value,Units,GBP (£),8.1
2014/15,65 to 74,,,,,,,,Normal value,Units,GBP (£),11.1
2014/15,75 and over,,,,,,,,Normal value,Units,GBP (£),7.6
2014/15,29 and under,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),1.8
2014/15,30 to 49,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),3.5
2014/15,50 to 64,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),5.4
2014/15,65 to 74,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),5.4
2014/15,75 and over,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),3.6
2014/15,29 and under,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),1.3
2014/15,30 to 49,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.1
2014/15,50 to 64,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),3.4
2014/15,65 to 74,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.8
2014/15,75 and over,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.2
2014/15,29 and under,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),0.5
2014/15,30 to 49,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.4
2014/15,50 to 64,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),2.0
2014/15,65 to 74,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),2.6
2014/15,75 and over,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.4
2014/15,29 and under,,Hospital services,,,,,,Normal value,Units,GBP (£),1.3
2014/15,30 to 49,,Hospital services,,,,,,Normal value,Units,GBP (£),1.9
2014/15,50 to 64,,Hospital services,,,,,,Normal value,Units,GBP (£),2.7
2014/15,65 to 74,,Hospital services,,,,,,Normal value,Units,GBP (£),5.7
2014/15,75 and over,,Hospital services,,,,,,Normal value,Units,GBP (£),4.0
2015/16,29 and under,,,,,,,,Normal value,Units,GBP (£),2.5
2015/16,30 to 49,,,,,,,,Normal value,Units,GBP (£),5.9
2015/16,50 to 64,,,,,,,,Normal value,Units,GBP (£),9.1
2015/16,65 to 74,,,,,,,,Normal value,Units,GBP (£),11.2
2015/16,75 and over,,,,,,,,Normal value,Units,GBP (£),6.0
2015/16,29 and under,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),2.0
2015/16,30 to 49,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),3.3
2015/16,50 to 64,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),3.8
2015/16,65 to 74,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),7.0
2015/16,75 and over,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),2.8
2015/16,29 and under,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),0.9
2015/16,30 to 49,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.1
2015/16,50 to 64,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.1
2015/16,65 to 74,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),3.9
2015/16,75 and over,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),1.8
2015/16,29 and under,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.1
2015/16,30 to 49,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.2
2015/16,50 to 64,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.7
2015/16,65 to 74,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),3.1
2015/16,75 and over,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.0
2015/16,29 and under,,Hospital services,,,,,,Normal value,Units,GBP (£),0.6
2015/16,30 to 49,,Hospital services,,,,,,Normal value,Units,GBP (£),2.6
2015/16,50 to 64,,Hospital services,,,,,,Normal value,Units,GBP (£),5.2
2015/16,65 to 74,,Hospital services,,,,,,Normal value,Units,GBP (£),4.3
2015/16,75 and over,,Hospital services,,,,,,Normal value,Units,GBP (£),3.2
2016/17,,,,,,,,,Normal value,Units,GBP (£),7.3
2016/17,,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),3.7
2016/17,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.3
2016/17,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,National Health Service (NHS) prescription charges and payments,,,,Normal value,Units,GBP (£),0.2
2016/17,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Medicines and medical goods (not NHS),,,,Normal value,Units,GBP (£),1.6
2016/17,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Other medical products (plasters condoms hot water bottles),,,,Normal value,Units,GBP (£),0.2
2016/17,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup),,,,Normal value,Units,GBP (£),0.2
2016/17,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.5
2016/17,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Purchase of spectacles lenses prescription sunglasses,,,,Normal value,Units,GBP (£),1.5
2016/17,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Accessories or repairs to spectacles or lenses,,,,Normal value,Units,GBP (£),0.0
2016/17,,,Hospital services,,,,,,Normal value,Units,GBP (£),3.6
2016/17,,,Hospital services,Outpatient services,,,,,Normal value,Units,GBP (£),3.4
2016/17,,,Hospital services,Outpatient services,National Health Service (NHS) medical optical dental and medical auxiliary services,,,,Normal value,Units,GBP (£),1.2
2016/17,,,Hospital services,Outpatient services,Private medical optical dental and medical auxiliary services,,,,Normal value,Units,GBP (£),2.2
2016/17,,,,,,Owner occupied,Owned outright,,Normal value,Units,GBP (£),10.0
2016/17,,,,,,Owner occupied,Owner occupied buying with a mortgage,,Normal value,Units,GBP (£),8.1
2016/17,,,,,,Owner occupied,,,Normal value,Units,GBP (£),9.1
2016/17,,,,,,Social rented,Council,,Normal value,Units,GBP (£),1.8
2016/17,,,,,,Social rented,Registered social landlord,,Normal value,Units,GBP (£),4.2
2016/17,,,,,,Social rented,,,Normal value,Units,GBP (£),3.0
2016/17,,,,,,Private rented,Rent free,,Normal value,Units,GBP (£),7.0
2016/17,,,,,,Private rented,Rent paid unfurnished,,Normal value,Units,GBP (£),4.5
2016/17,,,,,,Private rented,Rent paid furnished,,Normal value,Units,GBP (£),3.2
2016/17,,,,,,Private rented,,,Normal value,Units,GBP (£),4.4
2016/17,,,,,,,,Large employers and higher managerial,Normal value,Units,GBP (£),8.9
2016/17,,,,,,,,Higher professional,Normal value,Units,GBP (£),9.9
2016/17,,,,,,,,Lower managerial and professional,Normal value,Units,GBP (£),8.6
2016/17,,,,,,,,Intermediate occupations,Normal value,Units,GBP (£),6.3
2016/17,,,,,,,,Small employers,Normal value,Units,GBP (£),6.5
2016/17,,,,,,,,Lower supervisory,Normal value,Units,GBP (£),6.7
2016/17,,,,,,,,Semiroutine,Normal value,Units,GBP (£),4.4
2016/17,,,,,,,,Routine,Normal value,Units,GBP (£),3.7
2016/17,,,,,,,,Long term unemployed,Normal value,Units,GBP (£),3.7
2016/17,,,,,,,,Students,Normal value,Units,GBP (£),5.2
2016/17,,,,,,,,Occupation not stated,Normal value,Units,GBP (£),7.7
2016/17,29 and under,,,,,,,,Normal value,Units,GBP (£),2.6
2016/17,30 to 49,,,,,,,,Normal value,Units,GBP (£),6.2
2016/17,50 to 64,,,,,,,,Normal value,Units,GBP (£),9.4
2016/17,65 to 74,,,,,,,,Normal value,Units,GBP (£),9.4
2016/17,75 and over,,,,,,,,Normal value,Units,GBP (£),7.0
2016/17,29 and under,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),1.9
2016/17,30 to 49,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),3.4
2016/17,50 to 64,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),4.6
2016/17,65 to 74,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),4.5
2016/17,75 and over,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),3.4
2016/17,29 and under,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),1.1
2016/17,30 to 49,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.1
2016/17,50 to 64,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),3.0
2016/17,65 to 74,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.3
2016/17,75 and over,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),1.9
2016/17,29 and under,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),0.8
2016/17,30 to 49,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.3
2016/17,50 to 64,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.6
2016/17,65 to 74,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),2.2
2016/17,75 and over,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.5
2016/17,29 and under,,Hospital services,,,,,,Normal value,Units,GBP (£),0.8
2016/17,30 to 49,,Hospital services,,,,,,Normal value,Units,GBP (£),2.8
2016/17,50 to 64,,Hospital services,,,,,,Normal value,Units,GBP (£),4.8
2016/17,65 to 74,,Hospital services,,,,,,Normal value,Units,GBP (£),4.9
2016/17,75 and over,,Hospital services,,,,,,Normal value,Units,GBP (£),3.6
2017/18,,,,,,,,,Normal value,Units,GBP (£),6.9
2017/18,,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),3.8
2017/18,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.1
2017/18,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,National Health Service (NHS) prescription charges and payments,,,,Normal value,Units,GBP (£),0.3
2017/18,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Medicines and medical goods (not NHS),,,,Normal value,Units,GBP (£),1.6
2017/18,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Other medical products (plasters condoms hot water bottles),,,,Normal value,Units,GBP (£),0.2
2017/18,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup),,,,Normal value,Units,GBP (£),0.1
2017/18,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.7
2017/18,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Purchase of spectacles lenses prescription sunglasses,,,,Normal value,Units,GBP (£),1.7
2017/18,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Accessories or repairs to spectacles or lenses,,,,Normal value,Units,GBP (£),0.0
2017/18,,,Hospital services,,,,,,Normal value,Units,GBP (£),3.1
2017/18,,,Hospital services,Outpatient services,,,,,Normal value,Units,GBP (£),2.9
2017/18,,,Hospital services,Outpatient services,National Health Service (NHS) medical optical dental and medical auxiliary services,,,,Normal value,Units,GBP (£),0.9
2017/18,,,Hospital services,Outpatient services,Private medical optical dental and medical auxiliary services,,,,Normal value,Units,GBP (£),2.0
2017/18,,,,,,Owner occupied,Owned outright,,Normal value,Units,GBP (£),9.3
2017/18,,,,,,Owner occupied,Owner occupied buying with a mortgage,,Normal value,Units,GBP (£),8.6
2017/18,,,,,,Owner occupied,,,Normal value,Units,GBP (£),8.9
2017/18,,,,,,Social rented,Council,,Normal value,Units,GBP (£),1.6
2017/18,,,,,,Social rented,Registered social landlord,,Normal value,Units,GBP (£),1.8
2017/18,,,,,,Social rented,,,Normal value,Units,GBP (£),1.7
2017/18,,,,,,Private rented,Rent free,,Normal value,Units,GBP (£),10.4
2017/18,,,,,,Private rented,Rent paid unfurnished,,Normal value,Units,GBP (£),2.9
2017/18,,,,,,Private rented,Rent paid furnished,,Normal value,Units,GBP (£),6.4
2017/18,,,,,,Private rented,,,Normal value,Units,GBP (£),4.0
2017/18,,,,,,,,Large employers and higher managerial,Normal value,Units,GBP (£),8.9
2017/18,,,,,,,,Higher professional,Normal value,Units,GBP (£),11.0
2017/18,,,,,,,,Lower managerial and professional,Normal value,Units,GBP (£),7.2
2017/18,,,,,,,,Intermediate occupations,Normal value,Units,GBP (£),8.0
2017/18,,,,,,,,Small employers,Normal value,Units,GBP (£),6.6
2017/18,,,,,,,,Lower supervisory,Normal value,Units,GBP (£),7.2
2017/18,,,,,,,,Semiroutine,Normal value,Units,GBP (£),3.9
2017/18,,,,,,,,Routine,Normal value,Units,GBP (£),2.7
2017/18,,,,,,,,Long term unemployed,Normal value,Units,GBP (£),1.6
2017/18,,,,,,,,Students,Normal value,Units,GBP (£),2.5
2017/18,,,,,,,,Occupation not stated,Normal value,Units,GBP (£),6.9
2017/18,29 and under,,,,,,,,Normal value,Units,GBP (£),3.6
2017/18,30 to 49,,,,,,,,Normal value,Units,GBP (£),6.2
2017/18,50 to 64,,,,,,,,Normal value,Units,GBP (£),7.9
2017/18,65 to 74,,,,,,,,Normal value,Units,GBP (£),8.3
2017/18,75 and over,,,,,,,,Normal value,Units,GBP (£),7.3
2017/18,29 and under,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),1.8
2017/18,30 to 49,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),3.5
2017/18,50 to 64,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),4.0
2017/18,65 to 74,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),5.1
2017/18,75 and over,,Medical products appliances and equipment,,,,,,Normal value,Units,GBP (£),4.2
2017/18,29 and under,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),1.4
2017/18,30 to 49,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.2
2017/18,50 to 64,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.4
2017/18,65 to 74,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),2.1
2017/18,75 and over,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,,Normal value,Units,GBP (£),1.9
2017/18,29 and under,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),0.4
2017/18,30 to 49,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.3
2017/18,50 to 64,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),1.7
2017/18,65 to 74,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),3.0
2017/18,75 and over,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,,Normal value,Units,GBP (£),2.3
2017/18,29 and under,,Hospital services,,,,,,Normal value,Units,GBP (£),1.8
2017/18,30 to 49,,Hospital services,,,,,,Normal value,Units,GBP (£),2.7
2017/18,50 to 64,,Hospital services,,,,,,Normal value,Units,GBP (£),3.9
2017/18,65 to 74,,Hospital services,,,,,,Normal value,Units,GBP (£),3.2
2017/18,75 and over,,Hospital services,,,,,,Normal value,Units,GBP (£),3.1
2018/19,,,,,,,,,Normal value,Units,GBP (£),8.0
2018/19,,,,Medical products appliances and equipment,,,,,Normal value,Units,GBP (£),4.3
2018/19,,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,Normal value,Units,GBP (£),2.6
2018/19,,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,National Health Service (NHS) prescription charges and payments,,,Normal value,Units,GBP (£),0.2
2018/19,,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Medicines and medical goods (not NHS),,,Normal value,Units,GBP (£),1.7
2018/19,,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Other medical products (plasters condoms hot water bottles),,,Normal value,Units,GBP (£),0.2
2018/19,,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,Nonoptical appliances and equipment (wheelchairs batteries for hearing aids shoe buildup),,,Normal value,Units,GBP (£),0.5
2018/19,,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,,,,Normal value,Units,GBP (£),1.7
2018/19,,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Purchase of spectacles lenses prescription sunglasses,,,Normal value,Units,GBP (£),1.7
2018/19,,,,Medical products appliances and equipment,Spectacles lenses accessories and repairs,Accessories or repairs to spectacles or lenses,,,Normal value,Units,GBP (£),0.0
2018/19,,,,Hospital services,,,,,Normal value,Units,GBP (£),3.8
2018/19,,,,Hospital services,Outpatient services,,,,Normal value,Units,GBP (£),3.6
2018/19,,,,Hospital services,Outpatient services,National Health Service (NHS) medical optical dental and medical auxiliary services,,,Normal value,Units,GBP (£),0.9
2018/19,,,,Hospital services,Outpatient services,Private medical optical dental and medical auxiliary services,,,Normal value,Units,GBP (£),2.7
2018/19,,,,Hospital services,Inpatient hospital services,,,,Normal value,Units,GBP (£),0.1
2018/19,,,,,,,Owner occupied,Owned outright,Normal value,Units,GBP (£),12.3
2018/19,,,,,,,Owner occupied,Owner occupied buying with a mortgage,Normal value,Units,GBP (£),7.7
2018/19,,,,,,,Owner occupied,,Normal value,Units,GBP (£),10.2
2018/19,,,,,,,Social rented,Council,Normal value,Units,GBP (£),2.9
2018/19,,,,,,,Social rented,Registered social landlord,Normal value,Units,GBP (£),3.8
2018/19,,,,,,,Social rented,,Normal value,Units,GBP (£),3.3
2018/19,,,,,,,Private rented,Rent free,Normal value,Units,GBP (£),3.8
2018/19,,,,,,,Private rented,Rent paid unfurnished,Normal value,Units,GBP (£),4.4
2018/19,,,,,,,Private rented,Rent paid furnished,Normal value,Units,GBP (£),4.6
2018/19,,,,,,,Private rented,,Normal value,Units,GBP (£),4.4
2018/19,,,,,,,,,Normal value,Units,GBP (£),12.9
2018/19,,,,,,,,,Normal value,Units,GBP (£),11.8
2018/19,,,,,,,,,Normal value,Units,GBP (£),7.2
2018/19,,,,,,,,,Normal value,Units,GBP (£),4.7
2018/19,,,,,,,,,Normal value,Units,GBP (£),5.2
2018/19,,,,,,,,,Normal value,Units,GBP (£),4.6
2018/19,,,,,,,,,Normal value,Units,GBP (£),2.2
2018/19,,,,,,,,,Normal value,Units,GBP (£),10.5
2018/19,29 and under,,,,,,,,Normal value,Units,GBP (£),3.7
2018/19,30 to 49,,,,,,,,Normal value,Units,GBP (£),5.6
2018/19,50 to 64,,,,,,,,Normal value,Units,GBP (£),8.8
2018/19,65 to 74,,,,,,,,Normal value,Units,GBP (£),12.3
2018/19,75 and over,,,,,,,,Normal value,Units,GBP (£),10.3
2018/19,29 and under,,,Medical products appliances and equipment,,,,,Normal value,Units,GBP (£),2.4
2018/19,30 to 49,,,Medical products appliances and equipment,,,,,Normal value,Units,GBP (£),3.3
2018/19,50 to 64,,,Medical products appliances and equipment,,,,,Normal value,Units,GBP (£),4.7
2018/19,65 to 74,,,Medical products appliances and equipment,,,,,Normal value,Units,GBP (£),5.7
2018/19,75 and over,,,Medical products appliances and equipment,,,,,Normal value,Units,GBP (£),5.4
2018/19,29 and under,,,Medical products appliances and equipment,Medicines prescriptions and healthcare products,,,,Normal value,Units,GBP (£),1.4
