Year,Flow of overseas developmend assistance (ODA),Aid description (CRS code),Value
2012,Bilateral,Basic drinking water supply and basic sanitation (14030),61240.86309
2012,Bilateral,Basic sanitation (14032),9173.83967
2012,Bilateral,Education and training in water supply and sanitation (14081),6.600649
2012,Bilateral,River basins development (14040),1609.34507
2012,Bilateral,Sanitation - large systems (14022),19.89
2012,Bilateral,Waste management/disposal (14050),700.5342190000001
2012,Bilateral,Water resources policy/administrative management (14010),18236.8216
2012,Bilateral,Water resources protection (14015),1744.34583
2012,Bilateral,Water supply - large systems (14021),10000.0
2012,Bilateral,Water supply & sanit. - large systems (14020),1278.222
2012,Bilateral,,106672.322278
2012,Multilateral,Basic drinking water supply (14031),7958.861159824919
2012,Multilateral,Basic drinking water supply and basic sanitation (14030),10602.4625755265
2012,Multilateral,Basic sanitation (14032),4366.74678497166
2012,Multilateral,Education and training in water supply and sanitation (14081),193.0020390281661
2012,Multilateral,River basins development (14040),3771.270356761719
2012,Multilateral,Sanitation - large systems (14022),12512.68268443168
2012,Multilateral,Waste management/disposal (14050),10742.26986578982
2012,Multilateral,Water resources policy/administrative management (14010),21525.90781598011
2012,Multilateral,Water resources protection (14015),3811.156234199782
2012,Multilateral,Water supply - large systems (14021),12689.49408027361
2012,Multilateral,Water supply & sanit. - large systems (14020),24590.12838357278
2012,Multilateral,,112763.9819803608
2012,,Basic drinking water supply (14031),10620.72130982492
2012,,Basic drinking water supply and basic sanitation (14030),71843.3256655265
2012,,Basic sanitation (14032),13540.58645497166
2012,,Education and training in water supply and sanitation (14081),199.6026880281661
2012,,River basins development (14040),5380.615426761718
2012,,Sanitation - large systems (14022),12532.57268443168
2012,,Waste management/disposal (14050),11442.80408478982
2012,,Water resources policy/administrative management (14010),39762.72941598011
2012,,Water resources protection (14015),5555.502064199783
2012,,Water supply - large systems (14021),22689.49408027361
2012,,Water supply & sanit. - large systems (14020),25868.35038357279
2012,,,219436.3042583607
2013,Bilateral,Basic drinking water supply (14031),2656.80807
2013,Bilateral,Basic drinking water supply and basic sanitation (14030),70182.17275
2013,Bilateral,Basic sanitation (14032),26202.22875
2013,Bilateral,Education and training in water supply and sanitation (14081),227.1943
2013,Bilateral,River basins development (14040),11.936
2013,Bilateral,Sanitation - large systems (14022),0.0
2013,Bilateral,Waste management/disposal (14050),269.63581
2013,Bilateral,Water resources policy/administrative management (14010),35152.72477
2013,Bilateral,Water resources protection (14015),1330.37347
2013,Bilateral,Water supply - large systems (14021),-9458.121
2013,Bilateral,Water supply & sanit. - large systems (14020),1762.597
2013,Bilateral,,128337.54992
2013,Multilateral,Basic drinking water supply (14031),11992.91336770408
2013,Multilateral,Basic drinking water supply and basic sanitation (14030),18821.82171370759
2013,Multilateral,Basic sanitation (14032),3258.263266725726
2013,Multilateral,Education and training in water supply and sanitation (14081),153.3379548978128
2013,Multilateral,River basins development (14040),6892.382773851615
2013,Multilateral,Sanitation - large systems (14022),16811.30993577382
2013,Multilateral,Waste management/disposal (14050),11061.46761809734
2013,Multilateral,Water resources policy/administrative management (14010),23674.66763809816
2013,Multilateral,Water resources protection (14015),8368.88567687189
2013,Multilateral,Water supply - large systems (14021),21870.77157400104
2013,Multilateral,Water supply & sanit. - large systems (14020),40706.87930400379
2013,Multilateral,,163612.7008237329
2013,,Basic drinking water supply (14031),14649.72143770407
2013,,Basic drinking water supply and basic sanitation (14030),89003.99446370758
2013,,Basic sanitation (14032),29460.49201672573
2013,,Education and training in water supply and sanitation (14081),380.5322548978128
2013,,River basins development (14040),6904.318773851614
2013,,Sanitation - large systems (14022),16811.30993577382
2013,,Waste management/disposal (14050),11331.10342809734
2013,,Water resources policy/administrative management (14010),58827.39240809817
2013,,Water resources protection (14015),9699.259146871891
2013,,Water supply - large systems (14021),12412.65057400104
2013,,Water supply & sanit. - large systems (14020),42469.47630400379
2013,,,291950.2507437329
2014,Bilateral,Basic drinking water supply (14031),19464.55966
2014,Bilateral,Basic drinking water supply and basic sanitation (14030),80941.04179
2014,Bilateral,Basic sanitation (14032),39142.11241
2014,Bilateral,Education and training in water supply and sanitation (14081),168.9091
2014,Bilateral,River basins development (14040),407.27787
2014,Bilateral,Sanitation - large systems (14022),0.0
2014,Bilateral,Waste management/disposal (14050),624.797909
2014,Bilateral,Water resources policy/administrative management (14010),29977.039
2014,Bilateral,Water resources protection (14015),1260.91525
2014,Bilateral,Water supply - large systems (14021),970.75
2014,Bilateral,Water supply & sanit. - large systems (14020),7884.445460000001
2014,Bilateral,,180841.848449
2014,Multilateral,Basic drinking water supply (14031),13649.46668510662
2014,Multilateral,Basic drinking water supply and basic sanitation (14030),25068.02395729472
2014,Multilateral,Basic sanitation (14032),6273.519880781863
2014,Multilateral,Education and training in water supply and sanitation (14081),274.9908765661249
2014,Multilateral,River basins development (14040),14347.54615742137
2014,Multilateral,Sanitation - large systems (14022),19625.74990599092
2014,Multilateral,Waste management/disposal (14050),9686.062046172721
2014,Multilateral,Water resources policy/administrative management (14010),51219.04570252816
2014,Multilateral,Water resources protection (14015),7504.037056749254
2014,Multilateral,Water supply - large systems (14021),36634.31513116805
2014,Multilateral,Water supply & sanit. - large systems (14020),24576.58149482811
2014,Multilateral,,208859.3388946079
2014,,Basic drinking water supply (14031),33114.02634510662
2014,,Basic drinking water supply and basic sanitation (14030),106009.0657472947
2014,,Basic sanitation (14032),45415.63229078187
2014,,Education and training in water supply and sanitation (14081),443.8999765661249
2014,,River basins development (14040),14754.82402742137
2014,,Sanitation - large systems (14022),19625.74990599092
2014,,Waste management/disposal (14050),10310.85995517272
2014,,Water resources policy/administrative management (14010),81196.08470252817
2014,,Water resources protection (14015),8764.952306749254
2014,,Water supply - large systems (14021),37605.06513116805
2014,,Water supply & sanit. - large systems (14020),32461.02695482811
2014,,,389701.1873436079
2015,Bilateral,Basic drinking water supply (14031),46923.3333
2015,Bilateral,Basic drinking water supply and basic sanitation (14030),41867.18666000001
2015,Bilateral,Basic sanitation (14032),54148.36605000001
2015,Bilateral,Education and training in water supply and sanitation (14081),812.4760000000001
2015,Bilateral,River basins development (14040),3072.29477
2015,Bilateral,Sanitation - large systems (14022),32.756
2015,Bilateral,Waste management/disposal (14050),1347.80659
2015,Bilateral,Water resources policy/administrative management (14010),21007.58388
2015,Bilateral,Water resources protection (14015),1578.18877
2015,Bilateral,Water supply - large systems (14021),9449.331830000001
2015,Bilateral,Water supply & sanit. - large systems (14020),2394.96958
2015,Bilateral,,182634.29343
2015,Multilateral,Basic drinking water supply (14031),6907.754348766874
2015,Multilateral,Basic drinking water supply and basic sanitation (14030),18062.75526964385
2015,Multilateral,Basic sanitation (14032),3553.337466024197
2015,Multilateral,Education and training in water supply and sanitation (14081),286.5325235572122
2015,Multilateral,River basins development (14040),8561.591553968035
2015,Multilateral,Sanitation - large systems (14022),15771.43709051835
2015,Multilateral,Waste management/disposal (14050),11170.97378276104
2015,Multilateral,Water resources policy/administrative management (14010),48909.74135074305
2015,Multilateral,Water resources protection (14015),5606.753273069164
2015,Multilateral,Water supply - large systems (14021),29405.37179429557
2015,Multilateral,Water supply & sanit. - large systems (14020),19325.3991027557
2015,Multilateral,,167561.6475561031
2015,,Basic drinking water supply (14031),53831.08764876687
2015,,Basic drinking water supply and basic sanitation (14030),59929.94192964386
2015,,Basic sanitation (14032),57701.70351602421
2015,,Education and training in water supply and sanitation (14081),1099.008523557212
2015,,River basins development (14040),11633.88632396804
2015,,Sanitation - large systems (14022),15804.19309051835
2015,,Waste management/disposal (14050),12518.78037276104
2015,,Water resources policy/administrative management (14010),69917.32523074305
2015,,Water resources protection (14015),7184.942043069163
2015,,Water supply - large systems (14021),38854.70362429557
2015,,Water supply & sanit. - large systems (14020),21720.3686827557
2015,,,350195.940986103
2016,Bilateral,Basic drinking water supply (14031),67486.28641
2016,Bilateral,Basic drinking water supply and basic sanitation (14030),25793.53124
2016,Bilateral,Basic sanitation (14032),24659.65262
2016,Bilateral,Education and training in water supply and sanitation (14081),855.5936899999999
2016,Bilateral,River basins development (14040),1166.44562
2016,Bilateral,Sanitation - large systems (14022),8.72098
2016,Bilateral,Waste management/disposal (14050),1936.627
2016,Bilateral,Water resources policy/administrative management (14010),23265.62102
2016,Bilateral,Water resources protection (14015),36.574
2016,Bilateral,Water supply - large systems (14021),7377.97604
2016,Bilateral,Water supply & sanit. - large systems (14020),17430.14165
2016,Bilateral,,170017.17027
2016,Multilateral,Basic drinking water supply (14031),10536.82681831331
2016,Multilateral,Basic drinking water supply and basic sanitation (14030),18422.43491031248
2016,Multilateral,Basic sanitation (14032),4582.136365449456
2016,Multilateral,Education and training in water supply and sanitation (14081),331.9977547233196
2016,Multilateral,River basins development (14040),11505.75864507678
2016,Multilateral,Sanitation - large systems (14022),24416.84459969375
2016,Multilateral,Waste management/disposal (14050),9929.425694616877
2016,Multilateral,Water resources policy/administrative management (14010),44614.11684790628
2016,Multilateral,Water resources protection (14015),5032.512302019753
2016,Multilateral,Water supply - large systems (14021),35060.44052821238
2016,Multilateral,Water supply & sanit. - large systems (14020),22490.61197705336
2016,Multilateral,,186923.1064433777
2016,,Basic drinking water supply (14031),78023.1132283133
2016,,Basic drinking water supply and basic sanitation (14030),44215.96615031248
2016,,Basic sanitation (14032),29241.78898544946
2016,,Education and training in water supply and sanitation (14081),1187.591444723319
2016,,River basins development (14040),12672.20426507678
2016,,Sanitation - large systems (14022),24425.56557969375
2016,,Waste management/disposal (14050),11866.05269461688
2016,,Water resources policy/administrative management (14010),67879.73786790628
2016,,Water resources protection (14015),5069.086302019753
2016,,Water supply - large systems (14021),42438.41656821239
2016,,Water supply & sanit. - large systems (14020),39920.75362705336
2016,,,356940.2767133777
