Year,Series,Country,Sex,Cause of death,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2012,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,37.0
2013,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,37.0
2014,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,28.0
2015,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,16.0
2016,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,13.0
2017,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,14.0
2018,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,23.0
2019,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,15.0
2020,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural cold,Normal value,,Number,E92000001,11.0
2001,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,4.0
2002,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,4.0
2003,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,2.0
2004,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,4.0
2005,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,1.0
2006,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,3.0
2007,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,4.0
2008,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,1.0
2009,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,6.0
2010,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,7.0
2011,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,2.0
2012,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,1.0
2013,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,3.0
2014,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,4.0
2015,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,1.0
2016,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,1.0
2017,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,0.0
2018,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,2.0
2019,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,0.0
2020,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural cold,Normal value,,Number,W92000004,2.0
2001,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,61.0
2002,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,50.0
2003,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,38.0
2004,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,46.0
2005,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,35.0
2006,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,42.0
2007,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,44.0
2008,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,39.0
2009,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,47.0
2010,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,68.0
2011,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,43.0
2012,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,36.0
2013,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,50.0
2014,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,32.0
2015,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,15.0
2016,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,26.0
2017,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,40.0
2018,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,26.0
2019,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,25.0
2020,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural cold,Normal value,,Number,,19.0
2001,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,57.0
2002,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,44.0
2003,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,38.0
2004,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,43.0
2005,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,35.0
2006,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,42.0
2007,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,41.0
2008,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,37.0
2009,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,43.0
2010,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,61.0
2011,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,39.0
2012,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,36.0
2013,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,47.0
2014,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,30.0
2015,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,13.0
2016,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,22.0
2017,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,38.0
2018,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,24.0
2019,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,21.0
2020,Number of deaths from exposure to forces of nature,England,Male,Exposure to excessive natural cold,Normal value,,Number,E92000001,18.0
2001,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,4.0
2002,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,6.0
2003,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,0.0
2004,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,3.0
2005,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,0.0
2006,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,0.0
2007,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,3.0
2008,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,2.0
2009,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,4.0
2010,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,7.0
2011,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,4.0
2012,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,0.0
2013,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,3.0
2014,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,2.0
2015,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,2.0
2016,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,4.0
2017,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,2.0
2018,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,2.0
2019,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,4.0
2020,Number of deaths from exposure to forces of nature,Wales,Male,Exposure to excessive natural cold,Normal value,,Number,W92000004,1.0
2001,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,126.0
2002,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,91.0
2003,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,89.0
2004,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,86.0
2005,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,78.0
2006,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,86.0
2007,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,99.0
2008,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,106.0
2009,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,116.0
2010,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,129.0
2011,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,76.0
2012,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,74.0
2013,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,90.0
2014,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,64.0
2015,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,32.0
2016,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,40.0
2017,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,54.0
2018,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,51.0
2019,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,40.0
2020,Number of deaths from exposure to forces of nature,,,Exposure to excessive natural cold,Normal value,,Number,,32.0
2001,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,118.0
2002,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,81.0
2003,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,87.0
2004,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,79.0
2005,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,77.0
2006,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,83.0
2007,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,92.0
2008,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,103.0
2009,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,106.0
2010,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,115.0
2011,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,70.0
2012,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,73.0
2013,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,84.0
2014,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,58.0
2015,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,29.0
2016,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,35.0
2017,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,52.0
2018,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,47.0
2019,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,36.0
2020,Number of deaths from exposure to forces of nature,England,,Exposure to excessive natural cold,Normal value,,Number,E92000001,29.0
2001,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,8.0
2002,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,10.0
2003,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,2.0
2004,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,7.0
2005,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,1.0
2006,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,3.0
2007,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,7.0
2008,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,3.0
2009,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,10.0
2010,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,14.0
2011,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,6.0
2012,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,1.0
2013,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,6.0
2014,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,6.0
2015,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,3.0
2016,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,5.0
2017,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,2.0
2018,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,4.0
2019,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,4.0
2020,Number of deaths from exposure to forces of nature,Wales,,Exposure to excessive natural cold,Normal value,,Number,W92000004,3.0
2001,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,0.0
2002,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,0.0
2003,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,0.0
2004,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,2.0
2005,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,1.0
2006,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,0.0
2007,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,0.0
2008,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,0.0
2009,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,1.0
2010,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,0.0
2011,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,0.0
2012,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,1.0
2013,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,0.0
2014,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,0.0
2015,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,2.0
2016,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,0.0
2017,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,2.0
2018,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,1.0
2019,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,0.0
2020,Number of deaths from exposure to forces of nature,,Female,Exposure to excessive natural heat,Normal value,,Number,,3.0
2001,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,0.0
2002,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,0.0
2003,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,0.0
2004,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,2.0
2005,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,1.0
2006,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,0.0
2007,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,0.0
2008,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,0.0
2009,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,1.0
2010,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,0.0
2011,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,0.0
2012,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,1.0
2013,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,0.0
2014,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,0.0
2015,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,2.0
2016,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,0.0
2017,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,2.0
2018,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,1.0
2019,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,0.0
2020,Number of deaths from exposure to forces of nature,England,Female,Exposure to excessive natural heat,Normal value,,Number,E92000001,3.0
2001,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2002,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2003,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2004,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2005,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2006,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2007,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2008,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2009,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2010,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2011,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2012,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2013,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2014,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2015,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2016,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2017,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2018,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2019,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2020,Number of deaths from exposure to forces of nature,Wales,Female,Exposure to excessive natural heat,Normal value,,Number,W92000004,0.0
2001,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,0.0
2002,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,0.0
2003,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,1.0
2004,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,1.0
2005,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,0.0
2006,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,2.0
2007,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,1.0
2008,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,3.0
2009,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,0.0
2010,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,0.0
2011,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,1.0
2012,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,3.0
2013,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,1.0
2014,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,0.0
2015,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,1.0
2016,Number of deaths from exposure to forces of nature,,Male,Exposure to excessive natural heat,Normal value,,Number,,2.0
