Year,Units,Violence type,Sex,Age,Ethnicity,Ethnic group,Disability status,Household income,Area type,Region,Highest qualification,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2014/15,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,Any other Black/African/Caribbean background,,,,,,Undefined,Units,Percentage (%),,8.390918258454288
2014/15,(a) Physical violence (%),,,,Other ethnic group,,,,,,,Undefined,Units,Percentage (%),,1.1543917211091934
2014/15,(a) Physical violence (%),,,,Other ethnic group,Arab,,,,,,Undefined,Units,Percentage (%),,1.0191392997643833
2014/15,(a) Physical violence (%),,,,Other ethnic group,Any other ethnic group,,,,,,Undefined,Units,Percentage (%),,1.0191392997643833
2014/15,(a) Physical violence (%),,,,,,,"Less than £10,000",,,,Undefined,Units,Percentage (%),,3.2637877774686177
2014/15,(a) Physical violence (%),,,,,,,"£10,000 to less than £20,000",,,,Undefined,Units,Percentage (%),,1.5684185919698879
2014/15,(a) Physical violence (%),,,,,,,"£20,000 to less than £30,000",,,,Undefined,Units,Percentage (%),,1.767100766222714
2014/15,(a) Physical violence (%),,,,,,,"£30,000 to less than £40,000",,,,Undefined,Units,Percentage (%),,1.6765763722024867
2014/15,(a) Physical violence (%),,,,,,,"£40,000 to less than £50,000",,,,Undefined,Units,Percentage (%),,1.6596443423453178
2014/15,(a) Physical violence (%),,,,,,,"£50,000 or more",,,,Undefined,Units,Percentage (%),,1.7702847698011888
2014/15,(a) Physical violence (%),,,,,,,No income stated or not enough information provided,,,,Undefined,Units,Percentage (%),,1.5946304522159391
2014/15,(a) Physical violence (%),,,,,,,,Urban,,,Undefined,Units,Percentage (%),,1.922525986148744
2014/15,(a) Physical violence (%),,,,,,,,Rural,,,Undefined,Units,Percentage (%),,1.3178899894079583
2014/15,(a) Physical violence (%),,,,,,,,,,Degree or diploma,Undefined,Units,Percentage (%),,2.098140653679858
2014/15,(a) Physical violence (%),,,,,,,,,,Apprenticeship or A/AS level,Undefined,Units,Percentage (%),,2.1556750982127477
2014/15,(a) Physical violence (%),,,,,,,,,,O level/GCSE,Undefined,Units,Percentage (%),,1.7613990405214914
2014/15,(a) Physical violence (%),,,,,,,,,,Other,Undefined,Units,Percentage (%),,0.8865674349977063
2014/15,(a) Physical violence (%),,,,,,,,,,None,Undefined,Units,Percentage (%),,1.057963475983433
2015/16,(a) Physical violence (%),Violence with injury,,,,,,,,,,Undefined,Units,Percentage (%),,0.9094217533205358
2015/16,(a) Physical violence (%),Wounding,,,,,,,,,,Undefined,Units,Percentage (%),,0.48836506826774007
2015/16,(a) Physical violence (%),Assault with minor injury,,,,,,,,,,Undefined,Units,Percentage (%),,0.43479512419995303
2015/16,(a) Physical violence (%),Violence without injury,,,,,,,,,,Undefined,Units,Percentage (%),,0.9373279920290638
2015/16,(a) Physical violence (%),,Men,,,,,,,,,Undefined,Units,Percentage (%),,2.2174384589104394
2015/16,(a) Physical violence (%),,Women,,,,,,,,,Undefined,Units,Percentage (%),,1.3947515471493714
2015/16,(a) Physical violence (%),,,16 to 24,,,,,,,,Undefined,Units,Percentage (%),,3.744081680500931
2015/16,(a) Physical violence (%),,,25 to 34,,,,,,,,Undefined,Units,Percentage (%),,2.4238077986345368
2015/16,(a) Physical violence (%),,,35 to 44,,,,,,,,Undefined,Units,Percentage (%),,1.8704490820640962
2015/16,(a) Physical violence (%),,,45 to 54,,,,,,,,Undefined,Units,Percentage (%),,2.035212195780001
2015/16,(a) Physical violence (%),,,55 to 64,,,,,,,,Undefined,Units,Percentage (%),,1.1255162490818555
2015/16,(a) Physical violence (%),,,65 to 74,,,,,,,,Undefined,Units,Percentage (%),,0.4548772857758748
2015/16,(a) Physical violence (%),,,75 and over,,,,,,,,Undefined,Units,Percentage (%),,0.0658112426903471
2015/16,(a) Physical violence (%),,,,White,,,,,,,Undefined,Units,Percentage (%),,1.8466528844472123
2015/16,(a) Physical violence (%),,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,Undefined,Units,Percentage (%),,1.850759746052323
2015/16,(a) Physical violence (%),,,,White,Irish,,,,,,Undefined,Units,Percentage (%),,1.8215606046684696
2015/16,(a) Physical violence (%),,,,White,Gypsy/Irish traveller,,,,,,Undefined,Units,Percentage (%),,
2015/16,(a) Physical violence (%),,,,White,Any other white background,,,,,,Undefined,Units,Percentage (%),,1.7466246940784622
2015/16,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,,,,,,,Undefined,Units,Percentage (%),,1.3935263668240994
2015/16,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,White and Black Caribbean,,,,,,Undefined,Units,Percentage (%),,2.028139073372186
2015/16,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,White and Black African,,,,,,Undefined,Units,Percentage (%),,
2015/16,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,White and Asian,,,,,,Undefined,Units,Percentage (%),,2.379890328403052
2015/16,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,Any other mixed/multiple ethnic background,,,,,,Undefined,Units,Percentage (%),,0.0
2015/16,(a) Physical violence (%),,,,Asian/Asian British,,,,,,,Undefined,Units,Percentage (%),,1.1001187540827748
2015/16,(a) Physical violence (%),,,,Asian/Asian British,Indian,,,,,,Undefined,Units,Percentage (%),,0.7836073355827883
2015/16,(a) Physical violence (%),,,,Asian/Asian British,Pakistani,,,,,,Undefined,Units,Percentage (%),,2.3532460790502476
2015/16,(a) Physical violence (%),,,,Asian/Asian British,Bangladeshi,,,,,,Undefined,Units,Percentage (%),,0.22502379674419984
2015/16,(a) Physical violence (%),,,,Asian/Asian British,Chinese,,,,,,Undefined,Units,Percentage (%),,0.4298786340688291
2015/16,(a) Physical violence (%),,,,Asian/Asian British,Any other Asian background,,,,,,Undefined,Units,Percentage (%),,0.7401343033773803
2015/16,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,,,,,,,Undefined,Units,Percentage (%),,2.23541988284578
2015/16,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,African,,,,,,Undefined,Units,Percentage (%),,0.7056015246379719
2015/16,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,Caribbean,,,,,,Undefined,Units,Percentage (%),,5.099722433398035
2015/16,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,Any other Black/African/Caribbean background,,,,,,Undefined,Units,Percentage (%),,3.4198348180577756
2015/16,(a) Physical violence (%),,,,Other ethnic group,,,,,,,Undefined,Units,Percentage (%),,2.0189884555440245
2015/16,(a) Physical violence (%),,,,Other ethnic group,Arab,,,,,,Undefined,Units,Percentage (%),,3.6613184960157477
2015/16,(a) Physical violence (%),,,,Other ethnic group,Any other ethnic group,,,,,,Undefined,Units,Percentage (%),,1.0219636215704941
2015/16,(a) Physical violence (%),,,,,,,"Less than £10,000",,,,Undefined,Units,Percentage (%),,1.967847622353761
2015/16,(a) Physical violence (%),,,,,,,"£10,000 to less than £20,000",,,,Undefined,Units,Percentage (%),,1.8545759184735542
2015/16,(a) Physical violence (%),,,,,,,"£20,000 to less than £30,000",,,,Undefined,Units,Percentage (%),,1.9560188567783738
2015/16,(a) Physical violence (%),,,,,,,"£30,000 to less than £40,000",,,,Undefined,Units,Percentage (%),,1.7664578617503874
2015/16,(a) Physical violence (%),,,,,,,"£40,000 to less than £50,000",,,,Undefined,Units,Percentage (%),,1.791229990637596
2015/16,(a) Physical violence (%),,,,,,,"£50,000 or more",,,,Undefined,Units,Percentage (%),,1.70099121163302
2015/16,(a) Physical violence (%),,,,,,,No income stated or not enough information provided,,,,Undefined,Units,Percentage (%),,1.7093991433039166
2015/16,(a) Physical violence (%),,,,,,,,Urban,,,Undefined,Units,Percentage (%),,1.903662388696389
2015/16,(a) Physical violence (%),,,,,,,,Rural,,,Undefined,Units,Percentage (%),,1.340199977319696
2015/16,(a) Physical violence (%),,,,,,,,,,Degree or diploma,Undefined,Units,Percentage (%),,1.9873825378855434
2015/16,(a) Physical violence (%),,,,,,,,,,Apprenticeship or A/AS level,Undefined,Units,Percentage (%),,1.9376133163608649
2015/16,(a) Physical violence (%),,,,,,,,,,O level/GCSE,Undefined,Units,Percentage (%),,2.2590162354778482
2015/16,(a) Physical violence (%),,,,,,,,,,Other,Undefined,Units,Percentage (%),,1.02087764843964
2015/16,(a) Physical violence (%),,,,,,,,,,None,Undefined,Units,Percentage (%),,0.9046098214112115
2016/17,(a) Physical violence (%),Violence with injury,,,,,,,,,,Undefined,Units,Percentage (%),,0.7987133819513081
2016/17,(a) Physical violence (%),Wounding,,,,,,,,,,Undefined,Units,Percentage (%),,0.40906308869604724
2016/17,(a) Physical violence (%),Assault with minor injury,,,,,,,,,,Undefined,Units,Percentage (%),,0.4002998343320044
2016/17,(a) Physical violence (%),Violence without injury,,,,,,,,,,Undefined,Units,Percentage (%),,0.9254598413043446
2016/17,(a) Physical violence (%),,Men,,,,,,,,,Undefined,Units,Percentage (%),,2.0793872596580143
2016/17,(a) Physical violence (%),,Women,,,,,,,,,Undefined,Units,Percentage (%),,1.270309291011838
2016/17,(a) Physical violence (%),,,16 to 24,,,,,,,,Undefined,Units,Percentage (%),,4.078078622762168
2016/17,(a) Physical violence (%),,,25 to 34,,,,,,,,Undefined,Units,Percentage (%),,2.0415480081841704
2016/17,(a) Physical violence (%),,,35 to 44,,,,,,,,Undefined,Units,Percentage (%),,1.5809224649307638
2016/17,(a) Physical violence (%),,,45 to 54,,,,,,,,Undefined,Units,Percentage (%),,1.8984524467916517
2016/17,(a) Physical violence (%),,,55 to 64,,,,,,,,Undefined,Units,Percentage (%),,0.8165588017222697
2016/17,(a) Physical violence (%),,,65 to 74,,,,,,,,Undefined,Units,Percentage (%),,0.4740063873211351
2016/17,(a) Physical violence (%),,,75 and over,,,,,,,,Undefined,Units,Percentage (%),,0.1721554804545651
2016/17,(a) Physical violence (%),,,,White,,,,,,,Undefined,Units,Percentage (%),,1.7410259650096158
2016/17,(a) Physical violence (%),,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,Undefined,Units,Percentage (%),,1.7670741635296219
2016/17,(a) Physical violence (%),,,,White,Irish,,,,,,Undefined,Units,Percentage (%),,1.0994169058688412
2016/17,(a) Physical violence (%),,,,White,Gypsy/Irish traveller,,,,,,Undefined,Units,Percentage (%),,
2016/17,(a) Physical violence (%),,,,White,Any other white background,,,,,,Undefined,Units,Percentage (%),,1.4957276004141251
2016/17,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,,,,,,,Undefined,Units,Percentage (%),,1.9186214559887766
2016/17,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,White and Black Caribbean,,,,,,Undefined,Units,Percentage (%),,3.1264618194715728
2016/17,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,White and Black African,,,,,,Undefined,Units,Percentage (%),,3.1781135066874793
2016/17,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,White and Asian,,,,,,Undefined,Units,Percentage (%),,0.4848120750605977
2016/17,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,Any other mixed/multiple ethnic background,,,,,,Undefined,Units,Percentage (%),,1.2538492392330909
2016/17,(a) Physical violence (%),,,,Asian/Asian British,,,,,,,Undefined,Units,Percentage (%),,0.7839314564559086
2016/17,(a) Physical violence (%),,,,Asian/Asian British,Indian,,,,,,Undefined,Units,Percentage (%),,0.44995975835485574
2016/17,(a) Physical violence (%),,,,Asian/Asian British,Pakistani,,,,,,Undefined,Units,Percentage (%),,0.9102810598553651
2016/17,(a) Physical violence (%),,,,Asian/Asian British,Bangladeshi,,,,,,Undefined,Units,Percentage (%),,1.8299233252511544
2016/17,(a) Physical violence (%),,,,Asian/Asian British,Chinese,,,,,,Undefined,Units,Percentage (%),,0.6814787577408387
2016/17,(a) Physical violence (%),,,,Asian/Asian British,Any other Asian background,,,,,,Undefined,Units,Percentage (%),,0.749307258119959
2016/17,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,,,,,,,Undefined,Units,Percentage (%),,1.7854446291012478
2016/17,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,African,,,,,,Undefined,Units,Percentage (%),,1.309340265496472
2016/17,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,Caribbean,,,,,,Undefined,Units,Percentage (%),,1.6280247235360872
2016/17,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,Any other Black/African/Caribbean background,,,,,,Undefined,Units,Percentage (%),,7.041004436451693
2016/17,(a) Physical violence (%),,,,Other ethnic group,,,,,,,Undefined,Units,Percentage (%),,1.1510772916328837
2016/17,(a) Physical violence (%),,,,Other ethnic group,Arab,,,,,,Undefined,Units,Percentage (%),,1.1599672312482432
2016/17,(a) Physical violence (%),,,,Other ethnic group,Any other ethnic group,,,,,,Undefined,Units,Percentage (%),,1.1446862891023066
2016/17,(a) Physical violence (%),,,,,,,"Less than £10,000",,,,Undefined,Units,Percentage (%),,2.581059793673996
2016/17,(a) Physical violence (%),,,,,,,"£10,000 to less than £20,000",,,,Undefined,Units,Percentage (%),,1.6396543710859648
2016/17,(a) Physical violence (%),,,,,,,"£20,000 to less than £30,000",,,,Undefined,Units,Percentage (%),,1.7448742149830938
2016/17,(a) Physical violence (%),,,,,,,"£30,000 to less than £40,000",,,,Undefined,Units,Percentage (%),,1.7662204420872418
2016/17,(a) Physical violence (%),,,,,,,"£40,000 to less than £50,000",,,,Undefined,Units,Percentage (%),,1.9500739262340472
2016/17,(a) Physical violence (%),,,,,,,"£50,000 or more",,,,Undefined,Units,Percentage (%),,1.3893413048155845
2016/17,(a) Physical violence (%),,,,,,,No income stated or not enough information provided,,,,Undefined,Units,Percentage (%),,1.4516300984759583
2016/17,(a) Physical violence (%),,,,,,,,Urban,,,Undefined,Units,Percentage (%),,1.7623084320057525
2016/17,(a) Physical violence (%),,,,,,,,Rural,,,Undefined,Units,Percentage (%),,1.2240891974918826
2016/17,(a) Physical violence (%),,,,,,,,,,Degree or diploma,Undefined,Units,Percentage (%),,1.4168069171489195
2016/17,(a) Physical violence (%),,,,,,,,,,Apprenticeship or A/AS level,Undefined,Units,Percentage (%),,2.4034162022980685
2016/17,(a) Physical violence (%),,,,,,,,,,O level/GCSE,Undefined,Units,Percentage (%),,1.9851728278627614
2016/17,(a) Physical violence (%),,,,,,,,,,Other,Undefined,Units,Percentage (%),,1.9622366241407054
2016/17,(a) Physical violence (%),,,,,,,,,,None,Undefined,Units,Percentage (%),,1.1148817984022539
2017/18,(a) Physical violence (%),Violence with injury,,,,,,,,,,Undefined,Units,Percentage (%),,0.9028645285514686
2017/18,(a) Physical violence (%),Wounding,,,,,,,,,,Undefined,Units,Percentage (%),,0.38122436350559463
2017/18,(a) Physical violence (%),Assault with minor injury,,,,,,,,,,Undefined,Units,Percentage (%),,0.5422915854859338
2017/18,(a) Physical violence (%),Violence without injury,,,,,,,,,,Undefined,Units,Percentage (%),,0.910245946963292
2017/18,(a) Physical violence (%),,Men,,,,,,,,,Undefined,Units,Percentage (%),,2.327567479331208
2017/18,(a) Physical violence (%),,Women,,,,,,,,,Undefined,Units,Percentage (%),,1.1952467350826903
2017/18,(a) Physical violence (%),,,16 to 24,,,,,,,,Undefined,Units,Percentage (%),,4.006611129846034
2017/18,(a) Physical violence (%),,,25 to 34,,,,,,,,Undefined,Units,Percentage (%),,2.3851668760777702
2017/18,(a) Physical violence (%),,,35 to 44,,,,,,,,Undefined,Units,Percentage (%),,1.9518006343345742
2017/18,(a) Physical violence (%),,,45 to 54,,,,,,,,Undefined,Units,Percentage (%),,1.6343801206237456
2017/18,(a) Physical violence (%),,,55 to 64,,,,,,,,Undefined,Units,Percentage (%),,1.0266134637678328
2017/18,(a) Physical violence (%),,,65 to 74,,,,,,,,Undefined,Units,Percentage (%),,0.39587261684879116
2017/18,(a) Physical violence (%),,,75 and over,,,,,,,,Undefined,Units,Percentage (%),,0.2936316295170394
2017/18,(a) Physical violence (%),,,,White,,,,,,,Undefined,Units,Percentage (%),,1.797535715183561
2017/18,(a) Physical violence (%),,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,Undefined,Units,Percentage (%),,1.8600818131845969
2017/18,(a) Physical violence (%),,,,White,Irish,,,,,,Undefined,Units,Percentage (%),,2.272178777028793
2017/18,(a) Physical violence (%),,,,White,Gypsy/Irish traveller,,,,,,Undefined,Units,Percentage (%),,
2017/18,(a) Physical violence (%),,,,White,Any other white background,,,,,,Undefined,Units,Percentage (%),,1.0
2017/18,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,,,,,,,Undefined,Units,Percentage (%),,3.7
2017/18,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,White and Black Caribbean,,,,,,Undefined,Units,Percentage (%),,5.3
2017/18,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,White and Black African,,,,,,Undefined,Units,Percentage (%),,3.3
2017/18,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,White and Asian,,,,,,Undefined,Units,Percentage (%),,4.6
2017/18,(a) Physical violence (%),,,,Mixed/multiple ethnic groups,Any other mixed/multiple ethnic background,,,,,,Undefined,Units,Percentage (%),,1.6
2017/18,(a) Physical violence (%),,,,Asian/Asian British,,,,,,,Undefined,Units,Percentage (%),,1.1
2017/18,(a) Physical violence (%),,,,Asian/Asian British,Indian,,,,,,Undefined,Units,Percentage (%),,1.3
2017/18,(a) Physical violence (%),,,,Asian/Asian British,Pakistani,,,,,,Undefined,Units,Percentage (%),,1.1
2017/18,(a) Physical violence (%),,,,Asian/Asian British,Bangladeshi,,,,,,Undefined,Units,Percentage (%),,2.0
2017/18,(a) Physical violence (%),,,,Asian/Asian British,Chinese,,,,,,Undefined,Units,Percentage (%),,0.0
2017/18,(a) Physical violence (%),,,,Asian/Asian British,Any other Asian background,,,,,,Undefined,Units,Percentage (%),,0.9
2017/18,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,,,,,,,Undefined,Units,Percentage (%),,1.5
2017/18,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,African,,,,,,Undefined,Units,Percentage (%),,0.8
2017/18,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,Caribbean,,,,,,Undefined,Units,Percentage (%),,2.9
2017/18,(a) Physical violence (%),,,,Black/African/Caribbean/Black British,Any other Black/African/Caribbean background,,,,,,Undefined,Units,Percentage (%),,1.0
2017/18,(a) Physical violence (%),,,,Other ethnic group,,,,,,,Undefined,Units,Percentage (%),,1.2
2017/18,(a) Physical violence (%),,,,Other ethnic group,Arab,,,,,,Undefined,Units,Percentage (%),,1.8
2017/18,(a) Physical violence (%),,,,Other ethnic group,Any other ethnic group,,,,,,Undefined,Units,Percentage (%),,1.0
2017/18,(a) Physical violence (%),,,,,,,"Less than £10,000",,,,Undefined,Units,Percentage (%),,2.4
2017/18,(a) Physical violence (%),,,,,,,"£10,000 to less than £20,000",,,,Undefined,Units,Percentage (%),,1.7
2017/18,(a) Physical violence (%),,,,,,,"£20,000 to less than £30,000",,,,Undefined,Units,Percentage (%),,1.4
2017/18,(a) Physical violence (%),,,,,,,"£30,000 to less than £40,000",,,,Undefined,Units,Percentage (%),,1.2
2017/18,(a) Physical violence (%),,,,,,,"£40,000 to less than £50,000",,,,Undefined,Units,Percentage (%),,2.0
2017/18,(a) Physical violence (%),,,,,,,"£50,000 or more",,,,Undefined,Units,Percentage (%),,1.9
2017/18,(a) Physical violence (%),,,,,,,No income stated or not enough information provided,,,,Undefined,Units,Percentage (%),,1.8
2017/18,(a) Physical violence (%),,,,,,,,Urban,,,Undefined,Units,Percentage (%),,1.8
2017/18,(a) Physical violence (%),,,,,,,,Rural,,,Undefined,Units,Percentage (%),,1.4
2017/18,(a) Physical violence (%),,,,,,,,,,Degree or diploma,Undefined,Units,Percentage (%),,1.8
2017/18,(a) Physical violence (%),,,,,,,,,,Apprenticeship or A/AS level,Undefined,Units,Percentage (%),,2.4
2017/18,(a) Physical violence (%),,,,,,,,,,O level/GCSE,Undefined,Units,Percentage (%),,1.6
2017/18,(a) Physical violence (%),,,,,,,,,,Other,Undefined,Units,Percentage (%),,1.2
2017/18,(a) Physical violence (%),,,,,,,,,,None,Undefined,Units,Percentage (%),,1.1
2004/05,(b) Sexual violence (%),,Men,,,,,,,,,,,,,1.0
2004/05,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.2
2005/06,(b) Sexual violence (%),,Men,,,,,,,,,,,,,0.9
2005/06,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.1
2006/07,(b) Sexual violence (%),,Men,,,,,,,,,,,,,1.0
2006/07,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.1
2007/08,(b) Sexual violence (%),,Men,,,,,,,,,,,,,0.6
2007/08,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.1
2008/09,(b) Sexual violence (%),,Men,,,,,,,,,,,,,0.5
2008/09,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.1
2009/10,(b) Sexual violence (%),,Men,,,,,,,,,,,,,0.8
2009/10,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.1
2010/11,(b) Sexual violence (%),,Men,,,,,,,,,,,,,0.8
2010/11,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.2
2011/12,(b) Sexual violence (%),,Men,,,,,,,,,,,,,0.6
2011/12,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.0
2012/13,(b) Sexual violence (%),,Men,,,,,,,,,,,,,0.8
2012/13,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.2
2013/14,(b) Sexual violence (%),,Men,,,,,,,,,,,,,0.7
2013/14,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.0
2014/15,(b) Sexual violence (%),,Men,,,,,,,,,,,,,0.7
2014/15,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.1
2015/16,(b) Sexual violence (%),,Men,,,,,,,,,,,,,0.7
2015/16,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.1
2016/17,(b) Sexual violence (%),,Men,,,,,,,,,,,,,0.8
2016/17,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.0
2017/18,(b) Sexual violence (%),,Men,,,,,,,,,,,,,1.2
2017/18,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Men,,,,,,,,,,,,,0.1
2004/05,(b) Sexual violence (%),,Women,,,,,,,,,,,,,4.2
2004/05,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,1.0
2005/06,(b) Sexual violence (%),,Women,,,,,,,,,,,,,5.0
2005/06,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,1.3
2006/07,(b) Sexual violence (%),,Women,,,,,,,,,,,,,4.8
2006/07,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,1.2
2007/08,(b) Sexual violence (%),,Women,,,,,,,,,,,,,4.5
2007/08,(b) Sexual violence (%),Sexual assault by rape or penetration including attempts,Women,,,,,,,,,,,,,1.2
