Year,Flow of overseas developmend assistance (ODA),Aid description (CRS code),Value
2012,Multilateral,Water resources conservation (including data collection) (14015),3811.1562340000005
2012,Multilateral,Water supply and sanitation - large systems (14020),24590.128380000002
2012,Multilateral,Water supply - large systems (14021),12689.49408
2012,Multilateral,Sanitation - large systems (14022),12512.68268
2012,Multilateral,Basic drinking water supply and basic sanitation (14030),10602.46258
2012,Multilateral,Basic drinking water supply (14031),7958.8611599999995
2012,Multilateral,Basic sanitation (14032),4366.746785
2012,Multilateral,River basins development (14040),3771.270357
2012,Multilateral,Waste management or disposal (14050),10695.82326
2012,Multilateral,Education and training in water supply and sanitation (14081),193.002039
2013,,,291950.2507
2013,,Water sector policy and administrative management (14010),58827.39241
2013,,Water resources conservation (including data collection) (14015),9699.259147
2013,,Water supply and sanitation - large systems (14020),42469.4763
2013,,Water supply - large systems (14021),12412.65057
2013,,Sanitation - large systems (14022),16811.30994
2013,,Basic drinking water supply and basic sanitation (14030),89003.99446
2013,,Basic drinking water supply (14031),14649.721440000001
2013,,Basic sanitation (14032),29460.492019999998
2013,,River basins development (14040),6904.318773999999
2013,,Waste management or disposal (14050),11331.10343
2013,,Education and training in water supply and sanitation (14081),380.53225489999994
2013,Bilateral,,128337.5499
2013,Bilateral,Water sector policy and administrative management (14010),35152.72477
2013,Bilateral,Water resources conservation (including data collection) (14015),1330.37347
2013,Bilateral,Water supply and sanitation - large systems (14020),1762.5970000000002
2013,Bilateral,Water supply - large systems (14021),-9458.121
2013,Bilateral,Sanitation - large systems (14022),0.0
2013,Bilateral,Basic drinking water supply and basic sanitation (14030),70182.17275
2013,Bilateral,Basic drinking water supply (14031),2656.80807
2013,Bilateral,Basic sanitation (14032),26202.22875
2013,Bilateral,River basins development (14040),11.936
2013,Bilateral,Waste management or disposal (14050),269.63581
2013,Bilateral,Education and training in water supply and sanitation (14081),227.1943
2013,Multilateral,,163612.7008
2013,Multilateral,Water sector policy and administrative management (14010),23674.66764
2013,Multilateral,Water resources conservation (including data collection) (14015),8368.885677
2013,Multilateral,Water supply and sanitation - large systems (14020),40706.8793
2013,Multilateral,Water supply - large systems (14021),21870.771569999997
2013,Multilateral,Sanitation - large systems (14022),16811.30994
2013,Multilateral,Basic drinking water supply and basic sanitation (14030),18821.82171
2013,Multilateral,Basic drinking water supply (14031),11992.91337
2013,Multilateral,Basic sanitation (14032),3258.2632670000003
2013,Multilateral,River basins development (14040),6892.382774
2013,Multilateral,Waste management or disposal (14050),11061.46762
2013,Multilateral,Education and training in water supply and sanitation (14081),153.3379549
2014,,,389419.6586
2014,,Water sector policy and administrative management (14010),81196.0847
2014,,Water resources conservation (including data collection) (14015),8697.830506999999
2014,,Water supply and sanitation - large systems (14020),32461.02695
2014,,Water supply - large systems (14021),37390.65814
2014,,Sanitation - large systems (14022),19625.74991
2014,,Basic drinking water supply and basic sanitation (14030),106009.0657
2014,,Basic drinking water supply (14031),33114.02635
2014,,Basic sanitation (14032),45415.632289999994
2014,,River basins development (14040),14754.824030000002
2014,,Waste management or disposal (14050),10310.85996
2014,,Education and training in water supply and sanitation (14081),443.8999766
2014,Bilateral,,180841.8484
2014,Bilateral,Water sector policy and administrative management (14010),29977.039
2014,Bilateral,Water resources conservation (including data collection) (14015),1260.91525
2014,Bilateral,Water supply and sanitation - large systems (14020),7884.445459999999
2014,Bilateral,Water supply - large systems (14021),970.75
2014,Bilateral,Sanitation - large systems (14022),0.0
2014,Bilateral,Basic drinking water supply and basic sanitation (14030),80941.04179
2014,Bilateral,Basic drinking water supply (14031),19464.55966
2014,Bilateral,Basic sanitation (14032),39142.11241
2014,Bilateral,River basins development (14040),407.27787
2014,Bilateral,Waste management or disposal (14050),624.797909
2014,Bilateral,Education and training in water supply and sanitation (14081),168.9091
2014,Multilateral,,208577.8101
2014,Multilateral,Water sector policy and administrative management (14010),51219.0457
2014,Multilateral,Water resources conservation (including data collection) (14015),7436.915257
2014,Multilateral,Water supply and sanitation - large systems (14020),24576.58149
2014,Multilateral,Water supply - large systems (14021),36419.90814
2014,Multilateral,Sanitation - large systems (14022),19625.74991
2014,Multilateral,Basic drinking water supply and basic sanitation (14030),25068.02396
2014,Multilateral,Basic drinking water supply (14031),13649.466690000001
2014,Multilateral,Basic sanitation (14032),6273.519881
2014,Multilateral,River basins development (14040),14347.54616
2014,Multilateral,Waste management or disposal (14050),9686.062046
2014,Multilateral,Education and training in water supply and sanitation (14081),274.99087660000004
2015,,,349633.0768
2015,,Water sector policy and administrative management (14010),69917.32523
2015,,Water resources conservation (including data collection) (14015),7143.933344
2015,,Water supply and sanitation - large systems (14020),21720.36868
2015,,Water supply - large systems (14021),38332.84809
2015,,Sanitation - large systems (14022),15804.19309
2015,,Basic drinking water supply and basic sanitation (14030),59929.94192999999
2015,,Basic drinking water supply (14031),53831.08765
2015,,Basic sanitation (14032),57701.70352
2015,,River basins development (14040),11633.88632
2015,,Waste management or disposal (14050),12518.78037
2015,,Education and training in water supply and sanitation (14081),1099.008524
2015,Bilateral,,182634.2934
2015,Bilateral,Water sector policy and administrative management (14010),21007.583880000002
2015,Bilateral,Water resources conservation (including data collection) (14015),1578.18877
2015,Bilateral,Water supply and sanitation - large systems (14020),2394.96958
2015,Bilateral,Water supply - large systems (14021),9449.33183
2015,Bilateral,Sanitation - large systems (14022),32.756
2015,Bilateral,Basic drinking water supply and basic sanitation (14030),41867.18666
2015,Bilateral,Basic drinking water supply (14031),46923.3333
2015,Bilateral,Basic sanitation (14032),54148.36605
2015,Bilateral,River basins development (14040),3072.29477
2015,Bilateral,Waste management or disposal (14050),1347.8065900000001
2015,Bilateral,Education and training in water supply and sanitation (14081),812.4760000000001
2015,Multilateral,,166998.7833
2015,Multilateral,Water sector policy and administrative management (14010),48909.74135
2015,Multilateral,Water resources conservation (including data collection) (14015),5565.744574
2015,Multilateral,Water supply and sanitation - large systems (14020),19325.3991
2015,Multilateral,Water supply - large systems (14021),28883.516260000004
2015,Multilateral,Sanitation - large systems (14022),15771.437090000001
2015,Multilateral,Basic drinking water supply and basic sanitation (14030),18062.755269999998
2015,Multilateral,Basic drinking water supply (14031),6907.754349
2015,Multilateral,Basic sanitation (14032),3553.3374659999995
2015,Multilateral,River basins development (14040),8561.591554
2015,Multilateral,Waste management or disposal (14050),11170.97378
2015,Multilateral,Education and training in water supply and sanitation (14081),286.5325236
