Year,Country,Region,Ethnic Group,Country of birth,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2002,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,13.4
2002,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,5.3
2002,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.9
2002,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,7.8
2003,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,13.3
2003,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,5.6
2003,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.3
2003,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,7.2
2004,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,13.8
2004,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,6.3
2004,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,4.7
2004,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,7.7
2005,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,15.1
2005,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,6.2
2005,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,4.3
2005,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,7.1
2006,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,15.1
2006,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,6.1
2006,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.5
2006,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,7.4
2007,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,14.7
2007,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,6.8
2007,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.9
2007,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,7.9
2008,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,15.1
2008,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,5.6
2008,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.7
2008,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,8.6
2009,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,15.5
2009,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,7.0
2009,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.3
2009,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,9.3
2010,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,14.6
2010,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,5.0
2010,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.7
2010,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,9.6
2011,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,15.6
2011,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,4.3
2011,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.4
2011,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,8.4
2012,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,15.1
2012,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,4.4
2012,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,4.8
2012,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,7.6
2013,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,13.5
2013,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,4.6
2013,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,4.0
2013,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,7.3
2014,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,11.9
2014,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.7
2014,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,5.2
2014,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,6.5
2015,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,10.5
2015,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.7
2015,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.3
2015,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,5.9
2016,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,10.2
2016,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.4
2016,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,4.6
2016,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,5.7
2017,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,9.2
2017,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.3
2017,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.7
2017,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,5.4
2018,England,,,,Undefined,Units,"Rate per 100,000 population",E92000001,8.3
2018,Wales,,,,Undefined,Units,"Rate per 100,000 population",W92000004,3.1
2018,Northern Ireland,,,,Undefined,Units,"Rate per 100,000 population",N92000002,3.0
2018,Scotland,,,,Undefined,Units,"Rate per 100,000 population",S92000003,4.9
2000,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,36.4
2001,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,35.2
2002,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,41.4
2003,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,41.4
2004,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,41.9
2005,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,45.9
2006,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,43.8
2007,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,42.0
2008,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,43.0
2009,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,42.8
2010,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,40.2
2011,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,42.6
2012,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,40.9
2013,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,35.3
2014,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,29.9
2015,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,26.3
2016,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,25.1
2017,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,21.6
2018,,London,,,Undefined,Units,"Rate per 100,000 population",E12000007,19.0
2000,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,13.3
2001,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,13.3
2002,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,15.0
2003,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,14.7
2004,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,17.2
2005,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,17.1
2006,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,17.1
2007,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,17.0
2008,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,18.3
2009,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,18.2
2010,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,15.7
2011,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,17.9
2012,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,19.1
2013,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,17.3
2014,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,13.6
2015,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,12.1
2016,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,12.3
2017,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,11.3
2018,,West Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000005,10.4
2000,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,5.7
2001,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,5.5
2002,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,6.1
2003,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,6.9
2004,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,7.0
2005,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,7.3
2006,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,7.5
2007,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,7.7
2008,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,7.7
2009,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,8.6
2010,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,8.5
2011,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,9.7
2012,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,9.2
2013,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,8.0
2014,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,7.7
2015,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,6.8
2016,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,6.4
2017,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,6.1
2018,,South East,,,Undefined,Units,"Rate per 100,000 population",E12000008,5.7
2000,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,9.2
2001,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,9.4
2002,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,9.4
2003,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,8.4
2004,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,8.3
2005,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,10.8
2006,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,10.1
2007,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,10.6
2008,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,10.5
2009,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,11.4
2010,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,11.5
2011,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,11.6
2012,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,10.9
2013,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,10.1
2014,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,9.0
2015,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,7.9
2016,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,8.2
2017,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,7.3
2018,,North West,,,Undefined,Units,"Rate per 100,000 population",E12000002,6.6
2000,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,5.4
2001,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,6.0
2002,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,6.3
2003,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,5.7
2004,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,7.1
2005,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,8.1
2006,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,8.2
2007,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,7.2
2008,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,8.5
2009,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,8.5
2010,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,8.4
2011,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,9.2
2012,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,8.1
2013,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,7.3
2014,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,6.9
2015,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,6.1
2016,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,6.8
2017,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,6.3
2018,,East of England,,,Undefined,Units,"Rate per 100,000 population",E12000006,5.6
2000,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,9.9
2001,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,13.0
2002,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,11.2
2003,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,10.8
2004,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,9.7
2005,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,12.3
2006,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,13.0
2007,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,12.1
2008,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,10.9
2009,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,11.7
2010,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,11.0
2011,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,10.8
2012,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,10.9
2013,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,9.0
2014,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,8.6
2015,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,7.6
2016,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,7.2
2017,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,7.3
2018,,East Midlands,,,Undefined,Units,"Rate per 100,000 population",E12000004,7.0
2000,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,11.0
2001,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,11.1
2002,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,10.1
2003,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,10.8
2004,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,10.6
2005,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,10.9
2006,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,12.9
2007,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,12.2
2008,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,12.2
2009,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,13.2
2010,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,12.0
2011,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,12.6
2012,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,11.2
2013,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,10.9
2014,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,9.6
2015,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,8.1
2016,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,7.8
2017,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,6.3
2018,,Yorkshire and The Humber,,,Undefined,Units,"Rate per 100,000 population",E12000003,6.4
2000,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,4.7
2001,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,4.3
2002,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,4.4
2003,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,4.0
2004,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,5.2
2005,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,5.2
2006,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,5.4
2007,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,5.2
2008,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,5.4
2009,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,5.8
2010,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,5.0
2011,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,5.8
2012,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,5.6
2013,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,6.1
2014,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,5.8
2015,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,5.2
2016,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,4.3
2017,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,4.1
2018,,South West,,,Undefined,Units,"Rate per 100,000 population",E12000009,3.5
2000,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,6.2
2001,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,7.0
2002,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,5.9
2003,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,5.6
2004,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,5.6
2005,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,5.2
2006,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,5.5
2007,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,7.7
2008,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,6.9
2009,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,6.4
2010,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,5.8
2011,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,5.0
2012,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,6.4
2013,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,5.3
2014,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,6.4
2015,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,4.9
2016,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,4.6
2017,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,4.2
2018,,North East,,,Undefined,Units,"Rate per 100,000 population",E12000001,4.4
2000,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,4.1
2001,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,4.3
2002,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,4.2
2003,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,3.8
2004,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,4.0
2005,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,4.0
2006,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,3.9
2007,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,4.0
2008,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,4.2
2009,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,4.2
2010,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,4.0
2011,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,4.3
2012,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,4.4
2013,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,4.0
2014,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,3.8
2015,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,3.3
2016,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,3.2
2017,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,3.1
2018,,,,UK-born,Undefined,Units,"Rate per 100,000 population",,2.8
2000,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,79.6
2001,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,79.1
2002,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,90.5
2003,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,90.8
2004,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,95.2
2005,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,100.0
2006,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,92.9
2007,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,85.5
2008,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,86.0
2009,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,86.8
2010,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,83.1
2011,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,85.9
2012,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,81.4
2013,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,70.6
2014,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,60.2
2015,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,51.3
2016,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,49.4
2017,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,41.2
2018,,,,Non-UK born,Undefined,Units,"Rate per 100,000 population",,39.0
2018,England,,White,UK-born,Undefined,Units,"Rate per 100,000 population",E92000001,1.9
2018,England,,Black-Caribbean,UK-born,Undefined,Units,"Rate per 100,000 population",E92000001,17.9
2018,England,,Black-African,UK-born,Undefined,Units,"Rate per 100,000 population",E92000001,16.7
2018,England,,Black-Other,UK-born,Undefined,Units,"Rate per 100,000 population",E92000001,15.7
2018,England,,Indian,UK-born,Undefined,Units,"Rate per 100,000 population",E92000001,16.6
2018,England,,Pakistani,UK-born,Undefined,Units,"Rate per 100,000 population",E92000001,15.6
2018,England,,Bangledeshi,UK-born,Undefined,Units,"Rate per 100,000 population",E92000001,7.8
2018,England,,Chinese,UK-born,Undefined,Units,"Rate per 100,000 population",E92000001,3.8
2018,England,,Mixed/Other,UK-born,Undefined,Units,"Rate per 100,000 population",E92000001,4.1
2018,England,,White,Non-UK born,Undefined,Units,"Rate per 100,000 population",E92000001,11.0
2018,England,,Black-Caribbean,Non-UK born,Undefined,Units,"Rate per 100,000 population",E92000001,13.2
2018,England,,Black-African,Non-UK born,Undefined,Units,"Rate per 100,000 population",E92000001,89.5
2018,England,,Black-Other,Non-UK born,Undefined,Units,"Rate per 100,000 population",E92000001,65.8
2018,England,,Indian,Non-UK born,Undefined,Units,"Rate per 100,000 population",E92000001,98.0
2018,England,,Pakistani,Non-UK born,Undefined,Units,"Rate per 100,000 population",E92000001,95.1
2018,England,,Bangledeshi,Non-UK born,Undefined,Units,"Rate per 100,000 population",E92000001,59.7
2018,England,,Chinese,Non-UK born,Undefined,Units,"Rate per 100,000 population",E92000001,23.0
2018,England,,Mixed/Other,Non-UK born,Undefined,Units,"Rate per 100,000 population",E92000001,37.0
