Year,Series,Source of revenue,Unit measure,Unit multiplier,Observation status,Value
2004,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.0006854440249273143
2004,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.09573368214818158
2004,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.8885639376474418
2005,Central government,,Percentage (%),Units,Undefined,26.75769167820199
2005,Central government,Taxes,Percentage (%),Units,Undefined,19.758659812975225
2005,Central government,National insurance contributions,Percentage (%),Units,Undefined,4.685827782971369
2005,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.38414700114012434
2005,Central government,Other receipts,Percentage (%),Units,Undefined,1.0239481590182171
2005,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.707099007731208
2005,Central government,Pension contributions,Percentage (%),Units,Undefined,0.9834473920002662
2005,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.0007212465359361086
2005,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.1386457764080258
2005,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.9248045005783843
2006,Central government,,Percentage (%),Units,Undefined,27.55159539035618
2006,Central government,Taxes,Percentage (%),Units,Undefined,20.463546784989
2006,Central government,National insurance contributions,Percentage (%),Units,Undefined,4.837954196378261
2006,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.35418903083702824
2006,Central government,Other receipts,Percentage (%),Units,Undefined,1.0486285980089562
2006,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.7564604651891502
2006,Central government,Pension contributions,Percentage (%),Units,Undefined,0.9815293337777805
2006,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.001296604139732867
2006,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.06504630767659883
2006,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.9570559306403225
2007,Central government,,Percentage (%),Units,Undefined,28.52848129659753
2007,Central government,Taxes,Percentage (%),Units,Undefined,21.156162353365897
2007,Central government,National insurance contributions,Percentage (%),Units,Undefined,4.919559060570586
2007,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.41584814760471683
2007,Central government,Other receipts,Percentage (%),Units,Undefined,1.0830313477406763
2007,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.8415132460222876
2007,Central government,Pension contributions,Percentage (%),Units,Undefined,1.020857325925934
2007,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.004064006519299808
2007,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.08281073024391429
2007,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.9953649213957805
2008,Central government,,Percentage (%),Units,Undefined,30.07773363092324
2008,Central government,Taxes,Percentage (%),Units,Undefined,21.132782294494394
2008,Central government,National insurance contributions,Percentage (%),Units,Undefined,5.20371271106557
2008,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.5003172963283072
2008,Central government,Other receipts,Percentage (%),Units,Undefined,1.1835497070235488
2008,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.8733985003712816
2008,Central government,Pension contributions,Percentage (%),Units,Undefined,1.0649936143783134
2008,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.0020641462558768624
2008,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,1.2060965353569728
2008,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-1.0891811743510245
2009,Central government,,Percentage (%),Units,Undefined,28.66561938364119
2009,Central government,Taxes,Percentage (%),Units,Undefined,20.54218423644015
2009,Central government,National insurance contributions,Percentage (%),Units,Undefined,5.21314012691039
2009,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.4583059185106355
2009,Central government,Other receipts,Percentage (%),Units,Undefined,1.335672240891287
2009,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,1.0284974322062714
2009,Central government,Pension contributions,Percentage (%),Units,Undefined,1.1950286806883366
2009,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.0020975099245338007
2009,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.11944767043924065
2009,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-1.2287544323696564
2010,Central government,,Percentage (%),Units,Undefined,29.977715253830343
2010,Central government,Taxes,Percentage (%),Units,Undefined,21.96661668235774
2010,Central government,National insurance contributions,Percentage (%),Units,Undefined,5.264088572267523
2010,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.4139522735470167
2010,Central government,Other receipts,Percentage (%),Units,Undefined,1.3600670975807991
2010,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,1.0035976805694427
2010,Central government,Pension contributions,Percentage (%),Units,Undefined,1.194323959968571
2010,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.002054890450004786
2010,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.011626353861869183
2010,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-1.2386122567726214
2011,Central government,,Percentage (%),Units,Undefined,30.999317613162486
2011,Central government,Taxes,Percentage (%),Units,Undefined,22.902941952267096
2011,Central government,National insurance contributions,Percentage (%),Units,Undefined,5.416432174058835
2011,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.42384872583747235
2011,Central government,Other receipts,Percentage (%),Units,Undefined,1.3960630871436825
2011,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.9322215802968542
2011,Central government,Pension contributions,Percentage (%),Units,Undefined,1.1824834822873094
2011,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.002402770554634197
2011,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.014736992735089742
2011,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-1.2718131520184874
2012,Central government,,Percentage (%),Units,Undefined,31.640596622703626
2012,Central government,Taxes,Percentage (%),Units,Undefined,22.598290400320906
2012,Central government,National insurance contributions,Percentage (%),Units,Undefined,5.4915546533896675
2012,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.6181216723712983
2012,Central government,Other receipts,Percentage (%),Units,Undefined,1.475922102561241
2012,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.8547998395473636
2012,Central government,Pension contributions,Percentage (%),Units,Undefined,1.1629657627343488
2012,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.006369674872843392
2012,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.7310912779673473
2012,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-1.298518761061388
2013,Central government,,Percentage (%),Units,Undefined,32.28897228711772
2013,Central government,Taxes,Percentage (%),Units,Undefined,23.01660609276436
2013,Central government,National insurance contributions,Percentage (%),Units,Undefined,5.465045295197962
2013,Central government,Interest and dividends,Percentage (%),Units,Undefined,1.3641363002954427
2013,Central government,Other receipts,Percentage (%),Units,Undefined,1.5234229105867383
2013,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.9117767514701299
2013,Central government,Pension contributions,Percentage (%),Units,Undefined,1.1998011493157423
2013,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.00540915073757634
2013,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.10431933565325799
2013,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-1.3015446989034878
2014,Central government,,Percentage (%),Units,Undefined,32.089696878638776
2014,Central government,Taxes,Percentage (%),Units,Undefined,23.2109579436327
2014,Central government,National insurance contributions,Percentage (%),Units,Undefined,5.464948853748012
2014,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.8186405238578172
2014,Central government,Other receipts,Percentage (%),Units,Undefined,1.613191601247042
2014,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.945247843343475
2014,Central government,Pension contributions,Percentage (%),Units,Undefined,1.2011168288071716
2014,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.006160087142696165
2014,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.14042995404975647
2014,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-1.3109967571898984
2015,Central government,,Percentage (%),Units,Undefined,32.52502924543118
2015,Central government,Taxes,Percentage (%),Units,Undefined,23.478393607543193
2015,Central government,National insurance contributions,Percentage (%),Units,Undefined,5.586011901704039
2015,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.8201930712179456
2015,Central government,Other receipts,Percentage (%),Units,Undefined,1.5804519672842576
2015,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.9635947588664661
2015,Central government,Pension contributions,Percentage (%),Units,Undefined,1.2672286290632313
2015,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.005430770156596992
2015,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.13983010006805588
2015,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-1.3161055604726042
2016,Central government,,Percentage (%),Units,Undefined,33.6822481510144
2016,Central government,Taxes,Percentage (%),Units,Undefined,24.371979781762704
2016,Central government,National insurance contributions,Percentage (%),Units,Undefined,5.866107325575858
2016,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.8466591281955334
2016,Central government,Other receipts,Percentage (%),Units,Undefined,1.5735556460856142
2016,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,0.9974445833391452
2016,Central government,Pension contributions,Percentage (%),Units,Undefined,1.2909832221721473
2016,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.014284937855710585
2016,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.059496525681865295
2016,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-1.3382629996541795
2017,Central government,,Percentage (%),Units,Undefined,34.924190278807316
2017,Central government,Taxes,Percentage (%),Units,Undefined,25.14149320000605
2017,Central government,National insurance contributions,Percentage (%),Units,Undefined,6.166938338653314
2017,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.9264424458799146
2017,Central government,Other receipts,Percentage (%),Units,Undefined,1.5910302860687109
2017,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,1.0720012707441418
2017,Central government,Pension contributions,Percentage (%),Units,Undefined,1.300385383416789
2017,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.017917114200565784
2017,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.06131529582621061
2017,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-1.3533330559883818
2018,Central government,,Percentage (%),Units,Undefined,35.66957015433805
2018,Central government,Taxes,Percentage (%),Units,Undefined,25.641565567524765
2018,Central government,National insurance contributions,Percentage (%),Units,Undefined,6.320781849964889
2018,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.8663306240755404
2018,Central government,Other receipts,Percentage (%),Units,Undefined,1.578537971941253
2018,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,1.1528663847843301
2018,Central government,Pension contributions,Percentage (%),Units,Undefined,1.32594575010085
2018,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.0068634115731126075
2018,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.12699645903990678
2018,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-1.350317864666597
2019,Central government,,Percentage (%),Units,Undefined,36.32722688170509
2019,Central government,Taxes,Percentage (%),Units,Undefined,25.854552635176532
2019,Central government,National insurance contributions,Percentage (%),Units,Undefined,6.596330237223194
2019,Central government,Interest and dividends,Percentage (%),Units,Undefined,0.8460256357735358
2019,Central government,Other receipts,Percentage (%),Units,Undefined,1.6183577436431853
2019,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,1.069868000668351
2019,Central government,Pension contributions,Percentage (%),Units,Undefined,1.5975062957103554
2019,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.0052934139343828405
2019,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.1134171472549506
2019,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-1.3741242276793995
2020,Central government,,Percentage (%),Units,Undefined,38.48935280515432
2020,Central government,Taxes,Percentage (%),Units,Undefined,26.613162217124454
2020,Central government,National insurance contributions,Percentage (%),Units,Undefined,7.355440722437711
2020,Central government,Interest and dividends,Percentage (%),Units,Undefined,1.0105223602069038
2020,Central government,Other receipts,Percentage (%),Units,Undefined,1.831214378091189
2020,Central government,Market output and output for own final use,Percentage (%),Units,Undefined,1.1955533340038835
2020,Central government,Pension contributions,Percentage (%),Units,Undefined,1.9871938551744597
2020,Central government,Current grants to central government,Percentage (%),Units,Undefined,0.003114483830467923
2020,Central government,Capital transfers to central government,Percentage (%),Units,Undefined,0.05090394063895933
2020,Central government,Less gross operating surplus,Percentage (%),Units,Undefined,-1.5577524863537104
1998,Local government,,Percentage (%),Units,Undefined,5.680730339933267
1998,Local government,Taxes,Percentage (%),Units,Undefined,0.7594044816314087
1998,Local government,Interest and dividends,Percentage (%),Units,Undefined,0.023305838315746685
1998,Local government,Other receipts,Percentage (%),Units,Undefined,0.3173387984620857
1998,Local government,Market output,Percentage (%),Units,Undefined,0.6545282092105486
1998,Local government,Pension contributions,Percentage (%),Units,Undefined,0.1142257075591538
1998,Local government,Current grants from central government,Percentage (%),Units,Undefined,4.090581121593469
1998,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.02506732609542521
1998,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.30372114293457086
1999,Local government,,Percentage (%),Units,Undefined,5.878942349189526
1999,Local government,Taxes,Percentage (%),Units,Undefined,0.7974226418707884
1999,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.002295590760443954
1999,Local government,Other receipts,Percentage (%),Units,Undefined,0.317381819708237
1999,Local government,Market output,Percentage (%),Units,Undefined,0.7097966631292706
1999,Local government,Pension contributions,Percentage (%),Units,Undefined,0.12028895584726321
1999,Local government,Current grants from central government,Percentage (%),Units,Undefined,4.222837586297815
1999,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.018036784546345355
1999,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.30452651144975085
2000,Local government,,Percentage (%),Units,Undefined,5.973559695359228
2000,Local government,Taxes,Percentage (%),Units,Undefined,0.8442952093027087
2000,Local government,Interest and dividends,Percentage (%),Units,Undefined,0.004118822320975387
2000,Local government,Other receipts,Percentage (%),Units,Undefined,0.31809981617379146
2000,Local government,Market output,Percentage (%),Units,Undefined,0.7756692927855342
2000,Local government,Pension contributions,Percentage (%),Units,Undefined,0.12083991024769329
2000,Local government,Current grants from central government,Percentage (%),Units,Undefined,4.185547242575189
2000,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.02826145777161574
2000,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.3032720558182801
2001,Local government,,Percentage (%),Units,Undefined,6.407876102264484
2001,Local government,Taxes,Percentage (%),Units,Undefined,0.8913106769766742
2001,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.04564497584517224
2001,Local government,Other receipts,Percentage (%),Units,Undefined,0.32580643569486456
2001,Local government,Market output,Percentage (%),Units,Undefined,0.875581665030027
2001,Local government,Pension contributions,Percentage (%),Units,Undefined,0.12731247316815608
2001,Local government,Current grants from central government,Percentage (%),Units,Undefined,4.515583441483141
2001,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.029915963898525053
2001,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.31198957814173134
2002,Local government,,Percentage (%),Units,Undefined,6.802710000597635
2002,Local government,Taxes,Percentage (%),Units,Undefined,0.9547663158733523
2002,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.08004679658877498
2002,Local government,Other receipts,Percentage (%),Units,Undefined,0.34354926047263834
2002,Local government,Market output,Percentage (%),Units,Undefined,0.9536193406582791
2002,Local government,Pension contributions,Percentage (%),Units,Undefined,0.13950840642281975
2002,Local government,Current grants from central government,Percentage (%),Units,Undefined,4.777996910410973
2002,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.043222855473275174
2002,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.32990629212492856
2003,Local government,,Percentage (%),Units,Undefined,7.228672806488119
2003,Local government,Taxes,Percentage (%),Units,Undefined,1.0374167644819723
2003,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.13204335929991312
2003,Local government,Other receipts,Percentage (%),Units,Undefined,0.3623596966274607
2003,Local government,Market output,Percentage (%),Units,Undefined,0.9962846737973976
2003,Local government,Pension contributions,Percentage (%),Units,Undefined,0.1328029007472135
2003,Local government,Current grants from central government,Percentage (%),Units,Undefined,5.133214805916711
2003,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.046098323224615684
2003,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.34746099900733773
2004,Local government,,Percentage (%),Units,Undefined,7.622994362222895
2004,Local government,Taxes,Percentage (%),Units,Undefined,1.0932260994236558
2004,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.09087845363827976
2004,Local government,Other receipts,Percentage (%),Units,Undefined,0.379907350815964
2004,Local government,Market output,Percentage (%),Units,Undefined,1.0110299367677889
2004,Local government,Pension contributions,Percentage (%),Units,Undefined,0.14982663978202881
2004,Local government,Current grants from central government,Percentage (%),Units,Undefined,5.4103239294221135
2004,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.033929479233902056
2004,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.3643706195842782
2005,Local government,,Percentage (%),Units,Undefined,7.968831053547007
2005,Local government,Taxes,Percentage (%),Units,Undefined,1.1225370124304068
2005,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.06557795426742156
2005,Local government,Other receipts,Percentage (%),Units,Undefined,0.4117762915167537
2005,Local government,Market output,Percentage (%),Units,Undefined,1.068166119721377
2005,Local government,Pension contributions,Percentage (%),Units,Undefined,0.16311267812708918
2005,Local government,Current grants from central government,Percentage (%),Units,Undefined,5.623947604213189
2005,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.038226066404613755
2005,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.39335676459900076
2006,Local government,,Percentage (%),Units,Undefined,8.51090957320654
2006,Local government,Taxes,Percentage (%),Units,Undefined,1.1528431557399854
2006,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.06277725043206632
2006,Local government,Other receipts,Percentage (%),Units,Undefined,0.4431684899261962
2006,Local government,Market output,Percentage (%),Units,Undefined,1.244902049661019
2006,Local government,Pension contributions,Percentage (%),Units,Undefined,0.15526834573301085
2006,Local government,Current grants from central government,Percentage (%),Units,Undefined,5.962055960354167
2006,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.04041082902167436
2006,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.4249620067974472
2007,Local government,,Percentage (%),Units,Undefined,8.579909451823578
2007,Local government,Taxes,Percentage (%),Units,Undefined,1.1875343725226715
2007,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.026970225082626
2007,Local government,Other receipts,Percentage (%),Units,Undefined,0.46746630833036895
2007,Local government,Market output,Percentage (%),Units,Undefined,1.2361968921433781
2007,Local government,Pension contributions,Percentage (%),Units,Undefined,0.15321832370814734
2007,Local government,Current grants from central government,Percentage (%),Units,Undefined,5.969761680324192
2007,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.040640065192998086
2007,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.44793796531555163
2008,Local government,,Percentage (%),Units,Undefined,8.995549383111367
2008,Local government,Taxes,Percentage (%),Units,Undefined,1.2457916556622972
2008,Local government,Interest and dividends,Percentage (%),Units,Undefined,0.003228536451499708
2008,Local government,Other receipts,Percentage (%),Units,Undefined,0.508732661833036
2008,Local government,Market output,Percentage (%),Units,Undefined,1.2762775080567863
2008,Local government,Pension contributions,Percentage (%),Units,Undefined,0.16788389547798482
2008,Local government,Current grants from central government,Percentage (%),Units,Undefined,6.239226082763796
2008,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.042976583583897755
2008,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.4885675407179313
2009,Local government,,Percentage (%),Units,Undefined,9.808453185786389
2009,Local government,Taxes,Percentage (%),Units,Undefined,1.334954671706578
2009,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.06910743225042944
2009,Local government,Other receipts,Percentage (%),Units,Undefined,0.5536322248177374
2009,Local government,Market output,Percentage (%),Units,Undefined,1.39931510781201
2009,Local government,Pension contributions,Percentage (%),Units,Undefined,0.18706476669065922
2009,Local government,Current grants from central government,Percentage (%),Units,Undefined,6.8848003391342365
2009,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.04945707611532331
2009,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.5316635682397255
2010,Local government,,Percentage (%),Units,Undefined,10.055173808582628
2010,Local government,Taxes,Percentage (%),Units,Undefined,1.3435198218518132
2010,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.07462496897385801
2010,Local government,Other receipts,Percentage (%),Units,Undefined,0.5383812979012539
2010,Local government,Market output,Percentage (%),Units,Undefined,1.4038687098045854
2010,Local government,Pension contributions,Percentage (%),Units,Undefined,0.16920400573855196
2010,Local government,Current grants from central government,Percentage (%),Units,Undefined,7.15593968788377
2010,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.03758286480929806
2010,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.518697610432787
2011,Local government,,Percentage (%),Units,Undefined,9.618717689410403
2011,Local government,Taxes,Percentage (%),Units,Undefined,1.3396246765603859
2011,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.050458181647318134
2011,Local government,Other receipts,Percentage (%),Units,Undefined,0.553651730688933
2011,Local government,Market output,Percentage (%),Units,Undefined,1.3256352124422934
2011,Local government,Pension contributions,Percentage (%),Units,Undefined,0.1632282130114831
2011,Local government,Current grants from central government,Percentage (%),Units,Undefined,6.77848270912914
2011,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.04207518215670549
2011,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.5335218529312199
2012,Local government,,Percentage (%),Units,Undefined,9.503976045811124
2012,Local government,Taxes,Percentage (%),Units,Undefined,1.33768436523821
2012,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.12665651028149752
2012,Local government,Other receipts,Percentage (%),Units,Undefined,0.579482487605455
2012,Local government,Market output,Percentage (%),Units,Undefined,1.2886220761349865
2012,Local government,Pension contributions,Percentage (%),Units,Undefined,0.16234774634585966
2012,Local government,Current grants from central government,Percentage (%),Units,Undefined,6.773543844946321
2012,Local government,Capital grants from private sector,Percentage (%),Units,Undefined,0.04811473416346165
2012,Local government,Less gross operating surplus,Percentage (%),Units,Undefined,-0.5591626983416735
2013,Local government,,Percentage (%),Units,Undefined,9.154343676831576
2013,Local government,Taxes,Percentage (%),Units,Undefined,1.362333250049584
2013,Local government,Interest and dividends,Percentage (%),Units,Undefined,-0.025448766327263925
