Year,Sex,Age,Observation status,Unit multiplier,Unit measure,Value
2009,,25 to 49,Undefined,Units,Percentage (%),8.3
2009,,50 to 64,Undefined,Units,Percentage (%),8.8
2009,,65 and over,Undefined,Units,Percentage (%),11.7
2009,Males,,Undefined,Units,Percentage (%),9.8
2009,Males,15 and under,Undefined,Units,Percentage (%),11.1
2009,Males,16 to 24,Undefined,Units,Percentage (%),12.9
2009,Males,25 to 49,Undefined,Units,Percentage (%),8.4
2009,Males,50 to 64,Undefined,Units,Percentage (%),9.4
2009,Males,65 and over,Undefined,Units,Percentage (%),9.8
2009,Females,,Undefined,Units,Percentage (%),10.6
2009,Females,15 and under,Undefined,Units,Percentage (%),13.4
2009,Females,16 to 24,Undefined,Units,Percentage (%),13.2
2009,Females,25 to 49,Undefined,Units,Percentage (%),8.3
2009,Females,50 to 64,Undefined,Units,Percentage (%),8.1
2009,Females,65 and over,Undefined,Units,Percentage (%),13.3
2010,,,Undefined,Units,Percentage (%),9.9
2010,,15 and under,Undefined,Units,Percentage (%),9.9
2010,,16 to 24,Undefined,Units,Percentage (%),11.9
2010,,25 to 49,Undefined,Units,Percentage (%),8.1
2010,,50 to 64,Undefined,Units,Percentage (%),9.8
2010,,65 and over,Undefined,Units,Percentage (%),12.1
2010,Males,,Undefined,Units,Percentage (%),9.8
2010,Males,15 and under,Undefined,Units,Percentage (%),10.3
2010,Males,16 to 24,Undefined,Units,Percentage (%),13.9
2010,Males,25 to 49,Undefined,Units,Percentage (%),7.8
2010,Males,50 to 64,Undefined,Units,Percentage (%),10.4
2010,Males,65 and over,Undefined,Units,Percentage (%),9.6
2010,Females,,Undefined,Units,Percentage (%),9.9
2010,Females,15 and under,Undefined,Units,Percentage (%),9.4
2010,Females,16 to 24,Undefined,Units,Percentage (%),9.8
2010,Females,25 to 49,Undefined,Units,Percentage (%),8.4
2010,Females,50 to 64,Undefined,Units,Percentage (%),9.2
2010,Females,65 and over,Undefined,Units,Percentage (%),14.1
2011,,,Undefined,Units,Percentage (%),9.4
2011,,15 and under,Undefined,Units,Percentage (%),9.5
2011,,16 to 24,Undefined,Units,Percentage (%),11.2
2011,,25 to 49,Undefined,Units,Percentage (%),7.4
2011,,50 to 64,Undefined,Units,Percentage (%),9.1
2011,,65 and over,Undefined,Units,Percentage (%),12.4
2011,Males,,Undefined,Units,Percentage (%),8.6
2011,Males,15 and under,Undefined,Units,Percentage (%),9.5
2011,Males,16 to 24,Undefined,Units,Percentage (%),9.2
2011,Males,25 to 49,Undefined,Units,Percentage (%),7.2
2011,Males,50 to 64,Undefined,Units,Percentage (%),9.1
2011,Males,65 and over,Undefined,Units,Percentage (%),9.7
2011,Females,,Undefined,Units,Percentage (%),10.1
2011,Females,15 and under,Undefined,Units,Percentage (%),9.6
2011,Females,16 to 24,Undefined,Units,Percentage (%),13.2
2011,Females,25 to 49,Undefined,Units,Percentage (%),7.5
2011,Females,50 to 64,Undefined,Units,Percentage (%),9.0
2011,Females,65 and over,Undefined,Units,Percentage (%),14.6
2012,,,Undefined,Units,Percentage (%),9.2
2012,,15 and under,Undefined,Units,Percentage (%),8.2
2012,,16 to 24,Undefined,Units,Percentage (%),15.1
2012,,25 to 49,Undefined,Units,Percentage (%),7.2
2012,,50 to 64,Undefined,Units,Percentage (%),9.8
2012,,65 and over,Undefined,Units,Percentage (%),9.3
2012,Males,,Undefined,Units,Percentage (%),9.4
2012,Males,15 and under,Undefined,Units,Percentage (%),8.0
2012,Males,16 to 24,Undefined,Units,Percentage (%),17.7
2012,Males,25 to 49,Undefined,Units,Percentage (%),7.4
2012,Males,50 to 64,Undefined,Units,Percentage (%),9.8
2012,Males,65 and over,Undefined,Units,Percentage (%),8.4
2012,Females,,Undefined,Units,Percentage (%),9.0
2012,Females,15 and under,Undefined,Units,Percentage (%),8.5
2012,Females,16 to 24,Undefined,Units,Percentage (%),12.4
2012,Females,25 to 49,Undefined,Units,Percentage (%),7.0
2012,Females,50 to 64,Undefined,Units,Percentage (%),9.9
2012,Females,65 and over,Undefined,Units,Percentage (%),10.0
2013,,,Undefined,Units,Percentage (%),9.0
2013,,15 and under,Undefined,Units,Percentage (%),8.8
2013,,16 to 24,Undefined,Units,Percentage (%),13.3
2013,,25 to 49,Undefined,Units,Percentage (%),7.3
2013,,50 to 64,Undefined,Units,Percentage (%),9.8
2013,,65 and over,Undefined,Units,Percentage (%),9.0
2013,Males,,Undefined,Units,Percentage (%),8.8
2013,Males,15 and under,Undefined,Units,Percentage (%),8.7
2013,Males,16 to 24,Undefined,Units,Percentage (%),13.1
2013,Males,25 to 49,Undefined,Units,Percentage (%),7.1
2013,Males,50 to 64,Undefined,Units,Percentage (%),10.7
2013,Males,65 and over,Undefined,Units,Percentage (%),7.3
2013,Females,,Undefined,Units,Percentage (%),9.2
2013,Females,15 and under,Undefined,Units,Percentage (%),8.8
2013,Females,16 to 24,Undefined,Units,Percentage (%),13.6
2013,Females,25 to 49,Undefined,Units,Percentage (%),7.5
2013,Females,50 to 64,Undefined,Units,Percentage (%),9.0
2013,Females,65 and over,Undefined,Units,Percentage (%),10.5
2014,,,Undefined,Units,Percentage (%),9.5
2014,,15 and under,Undefined,Units,Percentage (%),9.7
2014,,16 to 24,Undefined,Units,Percentage (%),14.1
2014,,25 to 49,Undefined,Units,Percentage (%),7.7
2014,,50 to 64,Undefined,Units,Percentage (%),9.6
2014,,65 and over,Undefined,Units,Percentage (%),9.8
2014,Males,,Undefined,Units,Percentage (%),9.0
2014,Males,15 and under,Undefined,Units,Percentage (%),9.6
2014,Males,16 to 24,Undefined,Units,Percentage (%),12.2
2014,Males,25 to 49,Undefined,Units,Percentage (%),7.9
2014,Males,50 to 64,Undefined,Units,Percentage (%),9.7
2014,Males,65 and over,Undefined,Units,Percentage (%),7.6
2014,Females,,Undefined,Units,Percentage (%),10.0
2014,Females,15 and under,Undefined,Units,Percentage (%),9.8
2014,Females,16 to 24,Undefined,Units,Percentage (%),16.2
2014,Females,25 to 49,Undefined,Units,Percentage (%),7.5
2014,Females,50 to 64,Undefined,Units,Percentage (%),9.5
2014,Females,65 and over,Undefined,Units,Percentage (%),11.6
2015,,,Undefined,Units,Percentage (%),9.7
2015,,15 and under,Undefined,Units,Percentage (%),9.2
2015,,16 to 24,Undefined,Units,Percentage (%),14.7
2015,,25 to 49,Undefined,Units,Percentage (%),8.2
2015,,50 to 64,Undefined,Units,Percentage (%),10.0
2015,,65 and over,Undefined,Units,Percentage (%),9.8
2015,Males,,Undefined,Units,Percentage (%),9.6
2015,Males,15 and under,Undefined,Units,Percentage (%),8.6
2015,Males,16 to 24,Undefined,Units,Percentage (%),15.3
2015,Males,25 to 49,Undefined,Units,Percentage (%),8.5
2015,Males,50 to 64,Undefined,Units,Percentage (%),9.9
2015,Males,65 and over,Undefined,Units,Percentage (%),8.6
2015,Females,,Undefined,Units,Percentage (%),9.8
2015,Females,15 and under,Undefined,Units,Percentage (%),9.8
2015,Females,16 to 24,Undefined,Units,Percentage (%),14.2
2015,Females,25 to 49,Undefined,Units,Percentage (%),7.8
2015,Females,50 to 64,Undefined,Units,Percentage (%),10.1
2015,Females,65 and over,Undefined,Units,Percentage (%),10.8
2016,,,Undefined,Units,Percentage (%),9.9
2016,,15 and under,Undefined,Units,Percentage (%),9.9
2016,,16 to 24,Undefined,Units,Percentage (%),13.6
2016,,25 to 49,Undefined,Units,Percentage (%),8.3
2016,,50 to 64,Undefined,Units,Percentage (%),10.2
2016,,65 and over,Undefined,Units,Percentage (%),10.0
2016,Males,,Undefined,Units,Percentage (%),9.6
2016,Males,15 and under,Undefined,Units,Percentage (%),9.9
2016,Males,16 to 24,Undefined,Units,Percentage (%),12.5
2016,Males,25 to 49,Undefined,Units,Percentage (%),8.6
2016,Males,50 to 64,Undefined,Units,Percentage (%),10.6
2016,Males,65 and over,Undefined,Units,Percentage (%),8.3
2016,Females,,Undefined,Units,Percentage (%),10.1
2016,Females,15 and under,Undefined,Units,Percentage (%),9.8
2016,Females,16 to 24,Undefined,Units,Percentage (%),14.6
2016,Females,25 to 49,Undefined,Units,Percentage (%),8.1
2016,Females,50 to 64,Undefined,Units,Percentage (%),9.9
2016,Females,65 and over,Undefined,Units,Percentage (%),11.5
2017,,,Undefined,Units,Percentage (%),9.7
2017,,15 and under,Undefined,Units,Percentage (%),10.9
2017,,16 to 24,Undefined,Units,Percentage (%),13.8
2017,,25 to 49,Undefined,Units,Percentage (%),7.8
2017,,50 to 64,Undefined,Units,Percentage (%),10.9
2017,,65 and over,Undefined,Units,Percentage (%),8.4
2017,Males,,Undefined,Units,Percentage (%),9.4
2017,Males,15 and under,Undefined,Units,Percentage (%),11.1
2017,Males,16 to 24,Undefined,Units,Percentage (%),13.7
2017,Males,25 to 49,Undefined,Units,Percentage (%),7.2
2017,Males,50 to 64,Undefined,Units,Percentage (%),11.1
2017,Males,65 and over,Undefined,Units,Percentage (%),6.8
2017,Females,,Undefined,Units,Percentage (%),10.1
2017,Females,15 and under,Undefined,Units,Percentage (%),10.8
2017,Females,16 to 24,Undefined,Units,Percentage (%),13.8
2017,Females,25 to 49,Undefined,Units,Percentage (%),8.4
2017,Females,50 to 64,Undefined,Units,Percentage (%),10.7
2017,Females,65 and over,Undefined,Units,Percentage (%),9.7
2018,,,Undefined,Units,Percentage (%),12.1
2018,,15 and under,Undefined,Units,Percentage (%),14.3
2018,,16 to 24,Undefined,Units,Percentage (%),16.3
2018,,25 to 49,Undefined,Units,Percentage (%),9.8
2018,,50 to 64,Undefined,Units,Percentage (%),12.0
2018,,65 and over,Undefined,Units,Percentage (%),11.4
2018,Males,,Undefined,Units,Percentage (%),11.5
2018,Males,15 and under,Undefined,Units,Percentage (%),13.8
2018,Males,16 to 24,Undefined,Units,Percentage (%),15.3
2018,Males,25 to 49,Undefined,Units,Percentage (%),9.1
2018,Males,50 to 64,Undefined,Units,Percentage (%),12.4
2018,Males,65 and over,Undefined,Units,Percentage (%),9.9
2018,Females,,Undefined,Units,Percentage (%),12.6
2018,Females,15 and under,Undefined,Units,Percentage (%),14.7
2018,Females,16 to 24,Undefined,Units,Percentage (%),17.4
2018,Females,25 to 49,Undefined,Units,Percentage (%),10.6
2018,Females,50 to 64,Undefined,Units,Percentage (%),11.6
2018,Females,65 and over,Undefined,Units,Percentage (%),12.7
