Year,Series,Treatment type,Economic activity,Unit measure,Observation status,Unit multiplier,Value
2012,Hazardous waste generated (absolute number),,Manufacture of coke and refined petroleum products,Tonnes,Normal value,Units,31985.84620554017
2014,Hazardous waste generated (absolute number),,Manufacture of coke and refined petroleum products,Tonnes,Normal value,Units,31516.39690506276
2016,Hazardous waste generated (absolute number),,Manufacture of coke and refined petroleum products,Tonnes,Normal value,Units,31257.42257309561
2018,Hazardous waste generated (absolute number),,Manufacture of coke and refined petroleum products,Tonnes,Normal value,Units,14633.215589295216
2010,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Normal value,Units,51657.66552775386
2012,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Normal value,Units,62423.555611862794
2014,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Normal value,Units,54466.463208723544
2016,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Normal value,Units,51493.734127916236
2018,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Normal value,Units,47851.6078186318
2010,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Normal value,Units,25643.930463963985
2012,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Normal value,Units,30614.55832400281
2014,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Normal value,Units,30996.80736007317
2016,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Normal value,Units,50765.84165353879
2018,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Normal value,Units,25150.68159659967
2010,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Normal value,Units,9425.929424907135
2012,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Normal value,Units,8203.032366251346
2014,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Normal value,Units,10558.46116295605
2016,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Normal value,Units,12437.938592211232
2018,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Normal value,Units,32316.127961847444
2010,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Normal value,Units,43409.562697677815
2012,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Normal value,Units,41510.34580913834
2014,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Normal value,Units,56466.3937822877
2016,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Normal value,Units,45023.514068378805
2018,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Normal value,Units,47533.39826033829
2010,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Normal value,Units,52901.49454320876
2012,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Normal value,Units,50502.77927458053
2014,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Normal value,Units,43330.997161583415
2016,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Normal value,Units,67550.83264981136
2018,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Normal value,Units,56561.95101745211
2010,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Normal value,Units,3472.338574099116
2012,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Normal value,Units,4439.6704329908325
2014,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Normal value,Units,3501.734203009619
2016,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Normal value,Units,5076.058304838042
2018,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Normal value,Units,5535.318291086361
2010,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Normal value,Units,1703.599481297694
2012,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Normal value,Units,12950.747587611408
2014,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Normal value,Units,10791.286218877507
2016,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Normal value,Units,12181.045298916259
2018,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Normal value,Units,7892.143696635577
2010,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Normal value,Units,34397.46
2012,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Normal value,Units,122303.22800000002
2014,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Normal value,Units,149384.552
2016,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Normal value,Units,97795.78860999999
2018,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Normal value,Units,96492.06221999999
2010,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Normal value,Units,1799479.5471023777
2012,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Normal value,Units,1491513.824539115
2014,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Normal value,Units,1465242.9653791199
2016,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Normal value,Units,1629748.5257388682
2016,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Normal value,Units,1798954.1798303921
2010,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Normal value,Units,1353.3730139626286
2012,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Normal value,Units,3477.0712571803324
2014,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Normal value,Units,2210.4279372048163
2016,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Normal value,Units,5994.974276152929
2018,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Normal value,Units,3516.700520955945
2010,Hazardous waste generated (absolute number),,,Tonnes,Normal value,Units,4075524.78636676
2012,Hazardous waste generated (absolute number),,,Tonnes,Normal value,Units,4182830.49637335
2014,Hazardous waste generated (absolute number),,,Tonnes,Normal value,Units,4206810.731532314
2016,Hazardous waste generated (absolute number),,,Tonnes,Normal value,Units,4505384.311884105
2018,Hazardous waste generated (absolute number),,,Tonnes,Normal value,Units,4574432.128876306
2010,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Normal value,Units,0.003869948648634025
2012,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Normal value,Units,0.0035835473098219566
2014,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Normal value,Units,0.0036684360684156544
2016,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Normal value,Units,0.0036085652971263814
2018,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Normal value,Units,0.003595194075456834
2010,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Normal value,Units,0.010967392836203009
2012,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Normal value,Units,0.014507956283810925
2014,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Normal value,Units,0.01149944005603498
2016,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Normal value,Units,0.012194339552289489
2018,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Normal value,Units,0.012887871760737883
2010,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Normal value,Units,0.0007116835090959993
2012,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Normal value,Units,0.0008797404736665724
2014,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Normal value,Units,0.001096836163794934
2016,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Normal value,Units,0.001208650158201491
2018,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Normal value,Units,0.0016088977769705835
2010,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Normal value,Units,0.00581871510804682
2012,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Normal value,Units,0.0052407664669493126
2014,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Normal value,Units,0.005127133843987722
2016,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Normal value,Units,0.005536181372334269
2018,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Normal value,Units,0.005059260486290849
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Normal value,Units,0.0027051596102378914
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Normal value,Units,0.002674246342563889
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Normal value,Units,0.0022581645580166533
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Normal value,Units,0.002339576168507084
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Normal value,Units,0.0025703393423956375
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Normal value,Units,0.008320738935204564
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Normal value,Units,0.009577203496176304
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Normal value,Units,0.012703895249377107
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Normal value,Units,0.013134509636710376
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Normal value,Units,0.010975577502613522
2010,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Normal value,Units,0.00030390235002537174
2012,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Normal value,Units,0.0005020929462797548
2014,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Normal value,Units,0.00048789445179941494
2016,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Normal value,Units,0.0004761363158319302
2018,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Normal value,Units,0.00022026182652653913
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Normal value,Units,0.0008231056930728313
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Normal value,Units,0.0009798842510844558
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Normal value,Units,0.0008431764991639757
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Normal value,Units,0.0007843908690410874
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Normal value,Units,0.0007202711171749436
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Normal value,Units,0.00040860664031192344
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Normal value,Units,0.0004805673637388258
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Normal value,Units,0.000479850865567872
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Normal value,Units,0.0007733030693269109
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Normal value,Units,0.00037857264065097176
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Normal value,Units,0.00015019138191553374
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Normal value,Units,0.00012876585045562878
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Normal value,Units,0.00016345188939152931
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Normal value,Units,0.00018946393433400528
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Normal value,Units,0.00048642824454448624
2010,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Normal value,Units,0.0006916816279873079
2012,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Normal value,Units,0.0006516023273066247
2014,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Normal value,Units,0.0008741367334117309
2016,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Normal value,Units,0.0006858316633175266
2018,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Normal value,Units,0.00071548136894085
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Normal value,Units,0.0008429246828272183
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Normal value,Units,0.0007927596812148198
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Normal value,Units,0.0006707921965114192
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Normal value,Units,0.0010289845400415275
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Normal value,Units,0.0008513807896141767
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Normal value,Units,5.532773537901788e-05
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Normal value,Units,6.969105003154119e-05
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Normal value,Units,5.4209137372876253e-05
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Normal value,Units,7.732229663407909e-05
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Normal value,Units,8.331861918937016e-05
2010,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Normal value,Units,2.7144905164533198e-05
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Normal value,Units,0.00020329238660764162
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Normal value,Units,0.0001670561736428715
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Normal value,Units,0.00018555074456458768
2018,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Normal value,Units,0.00011879398449528267
2010,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Normal value,Units,0.0005480841006652448
2012,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Normal value,Units,0.001919836282943435
2014,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Normal value,Units,0.0023125706382265162
2016,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Normal value,Units,0.0014896982111609887
2018,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Normal value,Units,0.0014524160968035938
2010,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Normal value,Units,0.028672644120789986
2012,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Normal value,Units,0.02341281095918352
2014,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Normal value,Units,0.022682920116155685
2016,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Normal value,Units,0.024825542060071853
2018,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Normal value,Units,0.02707818599876711
2010,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Normal value,Units,2.156444781743533e-05
2012,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Normal value,Units,5.458079616602225e-05
2014,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Normal value,Units,3.421887120895515e-05
2016,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Normal value,Units,9.131990837310926e-05
2018,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Normal value,Units,5.293401681714e-05
2010,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Normal value,Units,0.06493881633337867
2012,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Normal value,Units,0.06565934426800128
2014,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Normal value,Units,0.0651241835120799
2016,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Normal value,Units,0.06862936579786669
2018,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Normal value,Units,0.06885518564798976
2010,Proportion of hazardous waste treated,Deposit onto or into land,,Percentage (%),Normal value,Units,31.82053565655806
2012,Proportion of hazardous waste treated,Deposit onto or into land,,Percentage (%),Normal value,Units,24.742400122156837
2014,Proportion of hazardous waste treated,Deposit onto or into land,,Percentage (%),Normal value,Units,20.661850686194185
2016,Proportion of hazardous waste treated,Deposit onto or into land,,Percentage (%),Normal value,Units,18.745020414181372
2018,Proportion of hazardous waste treated,Deposit onto or into land,,Percentage (%),Normal value,Units,17.879068045128168
2010,Proportion of hazardous waste treated,Energy recovery,,Percentage (%),Normal value,Units,3.047928708850734
2012,Proportion of hazardous waste treated,Energy recovery,,Percentage (%),Normal value,Units,2.6766169486684084
2014,Proportion of hazardous waste treated,Energy recovery,,Percentage (%),Normal value,Units,2.4431072981161654
2016,Proportion of hazardous waste treated,Energy recovery,,Percentage (%),Normal value,Units,0.7585095440106615
2018,Proportion of hazardous waste treated,Energy recovery,,Percentage (%),Normal value,Units,0.4945673727933837
2010,Proportion of hazardous waste treated,Incineration,,Percentage (%),Normal value,Units,6.447240141416088
2012,Proportion of hazardous waste treated,Incineration,,Percentage (%),Normal value,Units,5.726236580891111
2014,Proportion of hazardous waste treated,Incineration,,Percentage (%),Normal value,Units,5.734272813413048
2016,Proportion of hazardous waste treated,Incineration,,Percentage (%),Normal value,Units,6.660254469490835
2016,Proportion of hazardous waste treated,Incineration,,Percentage (%),Normal value,Units,6.793939007696808
2010,Proportion of hazardous waste treated,Land treatment and release into water bodies,,Percentage (%),Normal value,Units,0.8538978915511108
2012,Proportion of hazardous waste treated,Land treatment and release into water bodies,,Percentage (%),Normal value,Units,0.0
2014,Proportion of hazardous waste treated,Land treatment and release into water bodies,,Percentage (%),Normal value,Units,0.0
2016,Proportion of hazardous waste treated,Land treatment and release into water bodies,,Percentage (%),Normal value,Units,0.0
2018,Proportion of hazardous waste treated,Land treatment and release into water bodies,,Percentage (%),Normal value,Units,0.0
2010,Proportion of hazardous waste treated,Recovery other than energy recovery - Backfilling,,Percentage (%),Normal value,Units,0.0
2012,Proportion of hazardous waste treated,Recovery other than energy recovery - Backfilling,,Percentage (%),Normal value,Units,0.30611433277115013
2014,Proportion of hazardous waste treated,Recovery other than energy recovery - Backfilling,,Percentage (%),Normal value,Units,0.20321917351594385
2016,Proportion of hazardous waste treated,Recovery other than energy recovery - Backfilling,,Percentage (%),Normal value,Units,0.01067611477074751
2018,Proportion of hazardous waste treated,Recovery other than energy recovery - Backfilling,,Percentage (%),Normal value,Units,0.0
2010,Proportion of hazardous waste treated,Recovery other than energy recovery - Except backfilling,,Percentage (%),Normal value,Units,6.252291765350045
2012,Proportion of hazardous waste treated,Recovery other than energy recovery - Except backfilling,,Percentage (%),Normal value,Units,12.278541697659275
2014,Proportion of hazardous waste treated,Recovery other than energy recovery - Except backfilling,,Percentage (%),Normal value,Units,16.02321022495839
2016,Proportion of hazardous waste treated,Recovery other than energy recovery - Except backfilling,,Percentage (%),Normal value,Units,16.68541272461395
2018,Proportion of hazardous waste treated,Recovery other than energy recovery - Except backfilling,,Percentage (%),Normal value,Units,19.167593385141853
2010,Proportion of hazardous waste treated,,,Percentage (%),Normal value,Units,48.42189416372604
2012,Proportion of hazardous waste treated,,,Percentage (%),Normal value,Units,45.72990968214678
2014,Proportion of hazardous waste treated,,,Percentage (%),Normal value,Units,45.065660196197726
2016,Proportion of hazardous waste treated,,,Percentage (%),Normal value,Units,42.85987326706757
2018,Proportion of hazardous waste treated,,,Percentage (%),Normal value,Units,44.33516781076021
