Year,Units,Treatment type,Economic activity,Unit measure,Observation status,Unit multiplier,Value
2010,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Undefined,Units,0.028672644120789986
2010,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Undefined,Units,0.00581871510804682
2010,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Undefined,Units,0.06493881633337867
2012,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Undefined,Units,0.0035835473098219566
2012,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Undefined,Units,0.001919836282943435
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Undefined,Units,0.0004805673637388258
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Undefined,Units,6.969105003154119e-05
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Undefined,Units,0.00020329238660764162
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Undefined,Units,0.0007927596812148198
2012,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Undefined,Units,0.0005020929462797548
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Undefined,Units,0.009577203496176304
2012,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Undefined,Units,0.0006516023273066247
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Undefined,Units,0.002674246342563889
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Undefined,Units,0.0009798842510844558
2012,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Undefined,Units,0.00012876585045562878
2012,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Undefined,Units,0.0008797404736665724
2012,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Undefined,Units,5.458079616602225e-05
2012,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Undefined,Units,0.014507956283810925
2012,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Undefined,Units,0.02341281095918352
2012,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Undefined,Units,0.0052407664669493126
2012,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Undefined,Units,0.06565934426800128
2014,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Undefined,Units,0.0036684360684156544
2014,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Undefined,Units,0.0023125706382265162
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Undefined,Units,0.000479850865567872
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Undefined,Units,5.4209137372876253e-05
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Undefined,Units,0.0001670561736428715
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Undefined,Units,0.0006707921965114192
2014,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Undefined,Units,0.00048789445179941494
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Undefined,Units,0.012703895249377107
2014,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Undefined,Units,0.0008741367334117309
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Undefined,Units,0.0022581645580166533
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Undefined,Units,0.0008431764991639757
2014,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Undefined,Units,0.00016345188939152931
2014,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Undefined,Units,0.001096836163794934
2014,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Undefined,Units,3.421887120895515e-05
2014,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Undefined,Units,0.01149944005603498
2014,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Undefined,Units,0.022682920116155685
2014,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Undefined,Units,0.005127133843987722
2014,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Undefined,Units,0.0651241835120799
2016,Hazardous waste generated (tonnes per capita),,"Agriculture, forestry and fishing",Tonnes per capita,Undefined,Units,0.0036085652971263814
2016,Hazardous waste generated (tonnes per capita),,Mining and quarrying,Tonnes per capita,Undefined,Units,0.0014896982111609887
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of food products, beverages and tobacco products",Tonnes per capita,Undefined,Units,0.0007733030693269109
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes per capita,Undefined,Units,7.732229663407909e-05
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes per capita,Undefined,Units,0.00018555074456458768
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes per capita,Undefined,Units,0.0010289845400415275
2016,Hazardous waste generated (tonnes per capita),,Manufacture of coke and refined petroleum products,Tonnes per capita,Undefined,Units,0.0004761363158319302
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes per capita,Undefined,Units,0.013134509636710376
2016,Hazardous waste generated (tonnes per capita),,Manufacture of other non-metallic mineral products,Tonnes per capita,Undefined,Units,0.0006858316633175266
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes per capita,Undefined,Units,0.002339576168507084
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes per capita,Undefined,Units,0.0007843908690410874
2016,Hazardous waste generated (tonnes per capita),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes per capita,Undefined,Units,0.00018946393433400528
2016,Hazardous waste generated (tonnes per capita),,"Electricity, gas, steam and air conditioning supply",Tonnes per capita,Undefined,Units,0.001208650158201491
2016,Hazardous waste generated (tonnes per capita),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes per capita,Undefined,Units,9.131990837310926e-05
2016,Hazardous waste generated (tonnes per capita),,Construction,Tonnes per capita,Undefined,Units,0.012194339552289489
2016,Hazardous waste generated (tonnes per capita),,Services (except wholesale of waste and scrap),Tonnes per capita,Undefined,Units,0.024825542060071853
2016,Hazardous waste generated (tonnes per capita),,Households,Tonnes per capita,Undefined,Units,0.005536181372334269
2016,Hazardous waste generated (tonnes per capita),,,Tonnes per capita,Undefined,Units,0.06862936579786669
2010,Percentage of hazardous waste treated (%),,,Percentage (%),Undefined,Units,48.42189416372604
2012,Percentage of hazardous waste treated (%),,,Percentage (%),Undefined,Units,45.72990968214678
2014,Percentage of hazardous waste treated (%),,,Percentage (%),Undefined,Units,45.065660196197726
2016,Percentage of hazardous waste treated (%),,,Percentage (%),Undefined,Units,42.85987326706757
2010,Percentage of hazardous waste treated (%),Energy recovery,,Percentage (%),Undefined,Units,3.047928708850734
2010,Percentage of hazardous waste treated (%),Incineration,,Percentage (%),Undefined,Units,6.447240141416088
2010,Percentage of hazardous waste treated (%),Recovery other than energy recovery - Except backfilling,,Percentage (%),Undefined,Units,6.252291765350045
2010,Percentage of hazardous waste treated (%),Recovery other than energy recovery - Backfilling,,Percentage (%),Undefined,Units,0.0
2010,Percentage of hazardous waste treated (%),Deposit onto or into land,,Percentage (%),Undefined,Units,31.82053565655806
2010,Percentage of hazardous waste treated (%),Land treatment and release into water bodies,,Percentage (%),Undefined,Units,0.8538978915511108
2012,Percentage of hazardous waste treated (%),Energy recovery,,Percentage (%),Undefined,Units,2.6766169486684084
2012,Percentage of hazardous waste treated (%),Incineration,,Percentage (%),Undefined,Units,5.726236580891111
2012,Percentage of hazardous waste treated (%),Recovery other than energy recovery - Except backfilling,,Percentage (%),Undefined,Units,12.278541697659275
2012,Percentage of hazardous waste treated (%),Recovery other than energy recovery - Backfilling,,Percentage (%),Undefined,Units,0.30611433277115013
2012,Percentage of hazardous waste treated (%),Deposit onto or into land,,Percentage (%),Undefined,Units,24.742400122156837
2012,Percentage of hazardous waste treated (%),Land treatment and release into water bodies,,Percentage (%),Undefined,Units,0.0
2014,Percentage of hazardous waste treated (%),Energy recovery,,Percentage (%),Undefined,Units,2.4431072981161654
2014,Percentage of hazardous waste treated (%),Incineration,,Percentage (%),Undefined,Units,5.734272813413048
2014,Percentage of hazardous waste treated (%),Recovery other than energy recovery - Except backfilling,,Percentage (%),Undefined,Units,16.02321022495839
2014,Percentage of hazardous waste treated (%),Recovery other than energy recovery - Backfilling,,Percentage (%),Undefined,Units,0.20321917351594385
2014,Percentage of hazardous waste treated (%),Deposit onto or into land,,Percentage (%),Undefined,Units,20.661850686194185
2014,Percentage of hazardous waste treated (%),Land treatment and release into water bodies,,Percentage (%),Undefined,Units,0.0
2016,Percentage of hazardous waste treated (%),Energy recovery,,Percentage (%),Undefined,Units,0.7585095440106615
2016,Percentage of hazardous waste treated (%),Incineration,,Percentage (%),Undefined,Units,6.660254469490835
2016,Percentage of hazardous waste treated (%),Recovery other than energy recovery - Except backfilling,,Percentage (%),Undefined,Units,16.68541272461395
2016,Percentage of hazardous waste treated (%),Recovery other than energy recovery - Backfilling,,Percentage (%),Undefined,Units,0.01067611477074751
2016,Percentage of hazardous waste treated (%),Deposit onto or into land,,Percentage (%),Undefined,Units,18.745020414181372
2016,Percentage of hazardous waste treated (%),Land treatment and release into water bodies,,Percentage (%),Undefined,Units,0.0
2010,Hazardous waste generated (absolute number),,"Agriculture, forestry and fishing",Tonnes,Undefined,Units,242875.87193620656
2010,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Undefined,Units,34397.46
2010,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Undefined,Units,25643.930463963985
2010,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Undefined,Units,3472.338574099116
2010,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Undefined,Units,1703.599481297694
2010,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Undefined,Units,52901.49454320876
2010,Hazardous waste generated (absolute number),,Manufacture of coke and refined petroleum products,Tonnes,Undefined,Units,19072.746164713917
2010,Hazardous waste generated (absolute number),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes,Undefined,Units,522205.04909145774
2010,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Undefined,Units,43409.562697677815
2010,Hazardous waste generated (absolute number),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes,Undefined,Units,169774.3455317021
2010,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Undefined,Units,51657.66552775386
2010,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Undefined,Units,9425.929424907135
2010,Hazardous waste generated (absolute number),,"Electricity, gas, steam and air conditioning supply",Tonnes,Undefined,Units,44664.86987503596
2010,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Undefined,Units,1353.3730139626286
2010,Hazardous waste generated (absolute number),,Construction,Tonnes,Undefined,Units,688307.6081383979
2010,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Undefined,Units,1799479.5471023777
2010,Hazardous waste generated (absolute number),,Households,Tonnes,Undefined,Units,365179.39479999966
2010,Hazardous waste generated (absolute number),,,Tonnes,Undefined,Units,4075524.78636676
2012,Hazardous waste generated (absolute number),,"Agriculture, forestry and fishing",Tonnes,Undefined,Units,228289.98887862705
2012,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Undefined,Units,122303.22800000002
2012,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Undefined,Units,30614.55832400281
2012,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Undefined,Units,4439.6704329908325
2012,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Undefined,Units,12950.747587611408
2012,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Undefined,Units,50502.77927458053
2012,Hazardous waste generated (absolute number),,Manufacture of coke and refined petroleum products,Tonnes,Undefined,Units,31985.84620554017
2012,Hazardous waste generated (absolute number),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes,Undefined,Units,610116.0360400163
2012,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Undefined,Units,41510.34580913834
2012,Hazardous waste generated (absolute number),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes,Undefined,Units,170362.94348042284
2012,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Undefined,Units,62423.555611862794
2012,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Undefined,Units,8203.032366251346
2012,Hazardous waste generated (absolute number),,"Electricity, gas, steam and air conditioning supply",Tonnes,Undefined,Units,56043.893267143205
2012,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Undefined,Units,3477.0712571803324
2012,Hazardous waste generated (absolute number),,Construction,Tonnes,Undefined,Units,924229.7902988635
2012,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Undefined,Units,1491513.824539115
2012,Hazardous waste generated (absolute number),,Households,Tonnes,Undefined,Units,333863.18499999994
2012,Hazardous waste generated (absolute number),,,Tonnes,Undefined,Units,4182830.49637335
2014,Hazardous waste generated (absolute number),,"Agriculture, forestry and fishing",Tonnes,Undefined,Units,236969.05493930107
2014,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Undefined,Units,149384.552
2014,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Undefined,Units,30996.80736007317
2014,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Undefined,Units,3501.734203009619
2014,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Undefined,Units,10791.286218877507
2014,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Undefined,Units,43330.997161583415
2014,Hazardous waste generated (absolute number),,Manufacture of coke and refined petroleum products,Tonnes,Undefined,Units,31516.39690506276
2014,Hazardous waste generated (absolute number),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes,Undefined,Units,820630.3708579912
2014,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Undefined,Units,56466.3937822877
2014,Hazardous waste generated (absolute number),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes,Undefined,Units,145870.09592939136
2014,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Undefined,Units,54466.463208723544
2014,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Undefined,Units,10558.46116295605
2014,Hazardous waste generated (absolute number),,"Electricity, gas, steam and air conditioning supply",Tonnes,Undefined,Units,70852.05365729272
2014,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Undefined,Units,2210.4279372048163
2014,Hazardous waste generated (absolute number),,Construction,Tonnes,Undefined,Units,742826.4774385577
2014,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Undefined,Units,1465242.9653791199
2014,Hazardous waste generated (absolute number),,Households,Tonnes,Undefined,Units,331196.1933908815
2014,Hazardous waste generated (absolute number),,,Tonnes,Undefined,Units,4206810.731532314
2016,Hazardous waste generated (absolute number),,"Agriculture, forestry and fishing",Tonnes,Undefined,Units,236895.28948827874
2016,Hazardous waste generated (absolute number),,Mining and quarrying,Tonnes,Undefined,Units,97795.78860999999
2016,Hazardous waste generated (absolute number),,"Manufacture of food products, beverages and tobacco products",Tonnes,Undefined,Units,50765.84165353879
2016,Hazardous waste generated (absolute number),,"Manufacture of textiles, wearing apparel, leather and related products",Tonnes,Undefined,Units,5076.058304838042
2016,Hazardous waste generated (absolute number),,"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials",Tonnes,Undefined,Units,12181.045298916259
2016,Hazardous waste generated (absolute number),,"Manufacture of paper and paper products, printing and reproduction or recorded media",Tonnes,Undefined,Units,67550.83264981136
2016,Hazardous waste generated (absolute number),,Manufacture of coke and refined petroleum products,Tonnes,Undefined,Units,31257.42257309561
2016,Hazardous waste generated (absolute number),,"Manufacture of chemical, pharmaceutical, rubber and plastic products",Tonnes,Undefined,Units,862254.9978942832
2016,Hazardous waste generated (absolute number),,Manufacture of other non-metallic mineral products,Tonnes,Undefined,Units,45023.514068378805
2016,Hazardous waste generated (absolute number),,"Manufacture of basic metals and fabricated metal products, except machinery and equipment",Tonnes,Undefined,Units,153588.62264726617
2016,Hazardous waste generated (absolute number),,"Manufacture of computer, electronic and optical products, electrical equipment, motor vehicles and other transport equipment",Tonnes,Undefined,Units,51493.734127916236
2016,Hazardous waste generated (absolute number),,"Manufacture of furniture, jewellery, musical instruments, toys, repair and installation or machinery and equipment",Tonnes,Undefined,Units,12437.938592211232
2016,Hazardous waste generated (absolute number),,"Electricity, gas, steam and air conditioning supply",Tonnes,Undefined,Units,79345.53085272002
2016,Hazardous waste generated (absolute number),,"Water collection, treatment and supply, sewerage, remediation activities and other waste management services",Tonnes,Undefined,Units,5994.974276152929
2016,Hazardous waste generated (absolute number),,Construction,Tonnes,Undefined,Units,800534.6614230361
2016,Hazardous waste generated (absolute number),,Services (except wholesale of waste and scrap),Tonnes,Undefined,Units,1629748.5257388682
2016,Hazardous waste generated (absolute number),,Households,Tonnes,Undefined,Units,363439.53368479415
2016,Hazardous waste generated (absolute number),,,Tonnes,Undefined,Units,4505384.311884105
